# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn8.1343            K06941   59.20  367.4  1.3e-110 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
* Pn8.1350            K14495  112.70  227.6   2.4e-68 F-box protein GID2
* Pn8.1354            K20292  181.30  204.0   6.2e-61 conserved oligomeric Golgi complex subunit 5
* Pn8.1361            K01358   53.23  159.8   1.6e-47 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* Pn8.1378            K12845  118.83  301.1   8.3e-91 U4/U6 small nuclear ribonucleoprotein SNU13
* Pn8.1379            K16290  532.57  541.2  5.9e-163 xylem cysteine proteinase [EC:3.4.22.-]
* Pn8.1380            K18801  154.07  284.8   1.5e-85 glucuronoxylan 4-O-methyltransferase [EC:2.1.1.112]
* Pn8.1390            K14487  766.90  951.6  3.3e-287 auxin responsive GH3 gene family
* Pn8.1392            K14487  766.90  864.4  8.2e-261 auxin responsive GH3 gene family
* Pn8.1394            K14505  308.83  475.3    4e-143 cyclin D3, plant
* Pn8.1395            K07130  125.77  154.8   4.6e-46 arylformamidase [EC:3.5.1.9]
* Pn8.1396            K07130  125.77  148.6   3.5e-44 arylformamidase [EC:3.5.1.9]
* Pn8.1398            K02178  520.50  551.1    7e-166 checkpoint serine/threonine-protein kinase [EC:2.7.11.1]
* Pn8.1401            K06215  110.37  594.8  8.8e-180 pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]
* Pn8.1402            K09422  126.07  177.2   9.2e-53 transcription factor MYB, plant
* Pn8.1406            K00083  566.23  588.6  6.8e-178 cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
* Pn8.1410            K19707  156.10  276.1   3.9e-83 sigma-B regulation protein RsbQ
* Pn8.1412            K20301   63.37  151.7   4.1e-45 trafficking protein particle complex subunit 2
* Pn8.1413            K06941   59.20  367.4  1.3e-110 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]
* Pn8.1414            K08332  179.93  182.3   2.4e-54 vacuolar protein 8
* Pn8.1417            K18588   29.30  246.7   5.6e-74 coenzyme Q-binding protein COQ10
* Pn8.1420            K15040   73.10  307.3   2.4e-92 voltage-dependent anion channel protein 2
* Pn8.1424            K14495  112.70  227.2   3.4e-68 F-box protein GID2
* Pn8.1426            K01537  945.67 1167.1         0 P-type Ca2+ transporter type 2C [EC:7.2.2.10]
* Pn8.1430            K20292  181.30  182.5   1.9e-54 conserved oligomeric Golgi complex subunit 5
* Pn8.1436            K01358   53.23   90.4   2.1e-26 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* Pn8.1438            K13430  481.77  562.5  1.3e-169 serine/threonine-protein kinase PBS1 [EC:2.7.11.1]
* Pn8.1449            K00472  165.33  242.3   1.9e-72 prolyl 4-hydroxylase [EC:1.14.11.2]
* Pn8.1451            K03097  238.40  755.0  5.1e-228 casein kinase II subunit alpha [EC:2.7.11.1]
* Pn8.1455            K00430  113.80  239.6   1.2e-71 peroxidase [EC:1.11.1.7]
* Pn8.1461            K00430  113.80  445.9  4.1e-134 peroxidase [EC:1.11.1.7]
* Pn8.1472            K09587  711.63  844.2  3.3e-255 steroid 22S-hydroxylase [EC:1.14.14.178]
* Pn8.1473            K19001  793.23  932.5  3.4e-281 ATP-dependent DNA helicase
* Pn8.1475            K18730  105.00  144.1   9.5e-43 PERQ amino acid-rich with GYF domain-containing protein
* Pn8.1480            K08789  388.30  411.3  1.3e-123 microtubule-associated serine/threonine kinase [EC:2.7.11.1]
* Pn8.1482            K22763  101.87  307.0   3.3e-92 deubiquitinase DESI2 [EC:3.4.19.12]
* Pn8.1488            K09338   75.40  129.7   2.4e-38 homeobox-leucine zipper protein
* Pn8.1490            K13789  360.47  480.6  4.9e-145 geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
* Pn8.1491            K19001  793.23  805.0  1.2e-242 ATP-dependent DNA helicase
* Pn8.1492            K18730  105.00  140.2   1.5e-41 PERQ amino acid-rich with GYF domain-containing protein
* Pn8.1499            K08789  388.30  411.4  1.2e-123 microtubule-associated serine/threonine kinase [EC:2.7.11.1]
* Pn8.1501            K22763  101.87  305.1   1.2e-91 deubiquitinase DESI2 [EC:3.4.19.12]
* Pn8.1501            K17508   99.33  111.3     8e-33 protein phosphatase PTC7 [EC:3.1.3.16]
* Pn8.1505            K09338   75.40  131.0   9.6e-39 homeobox-leucine zipper protein
* Pn8.1507            K13789  360.47  478.5  2.1e-144 geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]
* Pn8.1512            K20858  125.90  226.3   1.1e-67 calcium uniporter protein, mitochondrial
* Pn8.1515            K20893  425.63  614.3  9.1e-186 probable galacturonosyltransferase-like 1 [EC:2.4.1.-]
* Pn8.1516            K08994   70.27  159.9   1.6e-47 ion channel-forming bestrophin family protein
* Pn8.1519            K24763  190.63  657.6  3.9e-198 regulator of MON1-CCZ1 complex
* Pn3.3242            K16732  123.33  444.0    2e-133 Ase1/PRC1/MAP65 family protein
* Pn3.3241            K22817   69.43  299.1     9e-90 non-structural maintenance of chromosomes element 1 [EC:2.3.2.27]
* Pn3.3239            K14379  169.77  379.8  2.4e-114 tartrate-resistant acid phosphatase type 5 [EC:3.1.3.2]
* Pn3.3238            K14379  169.77  333.8  2.2e-100 tartrate-resistant acid phosphatase type 5 [EC:3.1.3.2]
* Pn3.3232            K14638  384.90  739.9  5.4e-223 solute carrier family 15 (peptide/histidine transporter), member 3/4
* Pn3.3227            K14431  125.50  556.0  1.1e-167 transcription factor TGA
* Pn3.3224            K24814  468.73  560.8  9.9e-169 HEAT repeat-containing protein 5
* Pn3.3222            K15032   75.30  100.4   1.3e-29 mTERF domain-containing protein, mitochondrial
* Pn3.3221            K15032   75.30  165.0   3.5e-49 mTERF domain-containing protein, mitochondrial
* Pn3.3209            K14494  256.90  872.6  7.5e-263 DELLA protein
* Pn3.3206            K22390  139.30  183.1   1.4e-54 acid phosphatase type 7
* Pn3.3204            K03955  106.03  160.0   8.8e-48 NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1, acyl-carrier protein
* Pn3.3204            K02078   40.00   80.0   4.2e-23 acyl carrier protein
* Pn3.3200            K14508  182.70  580.9  5.4e-175 regulatory protein NPR1
* Pn3.3195            K17098  347.77  497.3  8.8e-150 annexin D
* Pn3.3191            K06934   42.20   46.2   5.1e-13 uncharacterized protein
* Pn3.3188            K01114  133.97  449.4  4.6e-135 phospholipase C [EC:3.1.4.3]
* Pn3.3186            K16297  480.00  722.0  8.2e-218 serine carboxypeptidase-like clade II [EC:3.4.16.-]
* Pn3.3185            K02881   47.57  180.2   1.1e-53 large subunit ribosomal protein L18
* Pn3.3178            K00858   38.97  382.5    6e-115 NAD+ kinase [EC:2.7.1.23]
* Pn3.3172            K22803  357.73 1118.3         0 structural maintenance of chromosomes protein 5
* Pn3.3172            K15376  407.03  813.1  4.1e-245 gephyrin [EC:2.10.1.1 2.7.7.75]
* Pn3.3172            K03750  174.40  421.6  5.8e-127 molybdopterin molybdotransferase [EC:2.10.1.1]
* Pn3.3169            K19784  105.33  319.3   5.8e-96 chromate reductase, NAD(P)H dehydrogenase (quinone)
* Pn3.3165            K01940  125.43  137.6   8.9e-41 argininosuccinate synthase [EC:6.3.4.5]
* Pn3.3163            K14492  115.67  297.0   1.6e-89 two-component response regulator ARR-A family
* Pn3.3155            K15188  277.67  325.2   1.6e-97 cyclin T
* Pn3.3152            K18636  260.00  392.9  2.4e-118 microtubule-binding protein TANGLED1
* Pn3.3140            K22530  327.23  375.4    8e-113 ATPase family AAA domain-containing protein 1 [EC:3.6.1.-]
* Pn3.3057            K18170   61.63   96.8   2.3e-28 complex III assembly factor LYRM7
* Pn3.3124            K14567   96.07  133.4   1.2e-39 U3 small nucleolar RNA-associated protein 14
* Pn3.3064            K06269  421.93  616.3  9.2e-186 serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]
* Pn3.3066            K10418   84.23  121.8   3.4e-36 dynein light chain LC8-type
* Pn3.3070            K03327  104.53  445.6  6.5e-134 multidrug resistance protein, MATE family
* Pn3.3071            K02883   32.20  390.3    1e-117 large subunit ribosomal protein L18e
* Pn3.3078            K09286   88.90  157.8     6e-47 EREBP-like factor
* Pn3.3082            K01213  513.57  551.9  2.2e-166 galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]
* Pn3.3082            K01184  446.20  448.4  4.6e-135 polygalacturonase [EC:3.2.1.15]
* Pn3.3085            K01051   76.27  512.0  2.4e-154 pectinesterase [EC:3.1.1.11]
* Pn3.3088            K19038  161.53  184.6     4e-55 E3 ubiquitin-protein ligase ATL41 [EC:2.3.2.27]
* Pn3.3094            K01679  667.97  995.7  3.6e-300 fumarate hydratase, class II [EC:4.2.1.2]
* Pn3.3093            K14780  739.20 1394.8         0 ATP-dependent RNA helicase DHX37/DHR1 [EC:3.6.4.13]
* Pn3.3099            K19038  161.53  185.9   1.7e-55 E3 ubiquitin-protein ligase ATL41 [EC:2.3.2.27]
* Pn3.3103            K01051   76.27  512.8  1.3e-154 pectinesterase [EC:3.1.1.11]
* Pn3.3109            K09286   88.90  159.7   1.6e-47 EREBP-like factor
* Pn3.3116            K03327  104.53  440.4  2.4e-132 multidrug resistance protein, MATE family
* Pn3.3120            K06269  421.93  618.7  1.8e-186 serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16]
* Pn3.3122            K11091  375.83  391.2  5.7e-118 U1 small nuclear ribonucleoprotein A
* Pn3.3122            K11094  336.00  339.0  3.3e-102 U2 small nuclear ribonucleoprotein B''
* Pn3.3059            K14567   96.07  234.7   3.1e-70 U3 small nucleolar RNA-associated protein 14
* Pn3.3126            K18170   61.63   97.3   1.6e-28 complex III assembly factor LYRM7
* Pn3.3258            K07198  448.73  474.0  1.1e-142 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]
* Pn3.3261            K22207  389.37  693.6  2.5e-209 L-cysteine desulfhydrase [EC:4.4.1.28]
* Pn3.3269            K04799  253.40  423.4    2e-127 flap endonuclease-1 [EC:3.1.-.-]
* Pn3.3270            K16911  560.07  750.0  5.1e-226 ATP-dependent RNA helicase DDX21 [EC:3.6.4.13]
* Pn3.3272            K23362  122.27  160.1   9.6e-48 ethanolamine phosphate phosphodiesterase [EC:3.1.-.-]
* Pn3.3273            K22207  389.37  693.6  2.5e-209 L-cysteine desulfhydrase [EC:4.4.1.28]
* Pn3.3279            K07198  448.73  487.5  9.1e-147 5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]
* Pn3.3285            K00789   17.40  694.0  2.7e-209 S-adenosylmethionine synthetase [EC:2.5.1.6]
* Pn3.3286            K08341  145.50  192.8   9.6e-58 GABA(A) receptor-associated protein
* Pn3.3289            K21596  109.60  546.2  2.9e-164 calmodulin-binding transcription activator
* Pn3.3292            K00382  475.97  749.2  6.6e-226 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
* Pn3.3297            K24194  398.97  993.8    8e-300 boron transporter
* Pn3.3299            K21843  373.93  424.6  1.3e-127 tetratricopeptide repeat protein 7
* Pn3.3299            K15121  219.03  380.5  1.8e-114 solute carrier family 25, member 44
* Pn3.3302            K09422  126.07  237.6   3.8e-71 transcription factor MYB, plant
* Pn3.3304            K11324  112.47  453.8  2.1e-136 DNA methyltransferase 1-associated protein 1
* Pn3.3306            K21362  414.37  935.1  2.7e-282 galactolipid galactosyltransferase [EC:2.4.1.184]
* Pn3.3310            K12820  988.97 1370.3         0 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]
* Pn3.3312            K18674  496.17  623.4  5.8e-188 N-acetylgalactosamine kinase [EC:2.7.1.157]
* Pn3.3319            K03065  440.90  936.1  2.4e-282 26S proteasome regulatory subunit T5
* Pn3.3320            K14400  180.70  329.9   4.4e-99 pre-mRNA cleavage complex 2 protein Pcf11
* Pn3.3321            K12121 2057.33 2092.5         0 phytochrome B
* Pn3.3322            K10899  718.97  944.8  4.9e-285 ATP-dependent DNA helicase Q1 [EC:5.6.2.4]
* Pn3.3332            K00382  475.97  636.5  8.2e-192 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
* Pn3.3332            K07953  151.43  160.5   9.2e-48 GTP-binding protein SAR1 [EC:3.6.5.-]
* Pn3.3333            K11797 1602.33 1646.3         0 PH-interacting protein
* Pn3.3334            K25786  101.77  150.7   5.5e-45 bZIP transcription factor 1/2/11/44/53
* Pn3.3335            K05953  231.17  314.8   8.6e-95 nicotianamine synthase [EC:2.5.1.43]
* Pn3.3336            K23002  273.13  379.2  6.2e-114 RNA polymerase II-associated protein 3
* Pn3.3341            K17911  132.97  174.0   8.5e-52 beta-carotene isomerase [EC:5.2.1.14]
* Pn3.3343            K10899  718.97  942.8    2e-284 ATP-dependent DNA helicase Q1 [EC:5.6.2.4]
* Pn3.3344            K12121 2057.33 2092.7         0 phytochrome B
* Pn3.3345            K14400  180.70  329.6   5.2e-99 pre-mRNA cleavage complex 2 protein Pcf11
* Pn3.3346            K03065  440.90  932.8  2.5e-281 26S proteasome regulatory subunit T5
* Pn3.3349            K05953  231.17  490.7    3e-148 nicotianamine synthase [EC:2.5.1.43]
* Pn3.3350            K25786  101.77  151.4   3.3e-45 bZIP transcription factor 1/2/11/44/53
* Pn3.3352            K11797 1602.33 1676.0         0 PH-interacting protein
* Pn3.3353            K00382  475.97  636.0  1.2e-191 dihydrolipoamide dehydrogenase [EC:1.8.1.4]
* Pn3.3353            K07953  151.43  191.7   2.9e-57 GTP-binding protein SAR1 [EC:3.6.5.-]
* Pn3.3355            K21596  109.60  451.9  8.9e-136 calmodulin-binding transcription activator
* Pn3.3356            K15920  737.20 1090.7         0 xylan 1,4-beta-xylosidase [EC:3.2.1.37]
* Pn3.3356            K05349  314.83  574.6    5e-173 beta-glucosidase [EC:3.2.1.21]
* Pn3.3357            K03127   85.50  111.2     9e-33 transcription initiation factor TFIID subunit 13
* Pn3.3358            K11866  386.27  539.6  2.8e-162 STAM-binding protein [EC:3.4.19.12]
* Pn3.3359            K09422  126.07  258.6   1.6e-77 transcription factor MYB, plant
* Pn3.3361            K10532  111.70  451.1    1e-135 heparan-alpha-glucosaminide N-acetyltransferase [EC:2.3.1.78]
* Pn3.3367            K15042  655.90  861.4  8.3e-260 importin subunit alpha-6/7
* Pn3.3374            K01679  667.97  994.9  5.9e-300 fumarate hydratase, class II [EC:4.2.1.2]
* Pn3.3375            K14780  739.20 1393.6         0 ATP-dependent RNA helicase DHX37/DHR1 [EC:3.6.4.13]
* Pn3.3378            K23313   47.37  115.6   3.6e-34 CST complex subunit TEN1
* Pn3.3392            K14360   77.97   80.9   9.8e-24 organic solute transporter subunit alpha
* Pn3.3402            K14085  794.13  995.5  1.8e-300 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3]
* Pn3.3407            K15688   84.80  207.1   8.1e-62 E3 ubiquitin-protein ligase MUL1 [EC:2.3.2.27]
* Pn3.3410            K09285  278.43  287.3   3.4e-86 AP2-like factor, ANT lineage
* Pn3.3412            K02138   50.17  170.1   1.3e-50 F-type H+-transporting ATPase subunit d
* Pn3.3415            K13566  281.13  506.5  7.2e-153 omega-amidase [EC:3.5.1.3]
* Pn3.3416            K00679  251.07  916.1  2.2e-276 phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
* Pn3.3418            K10696   86.97  488.0    1e-146 E3 ubiquitin-protein ligase BRE1 [EC:2.3.2.27]
* Pn3.3424            K03652   40.13  247.8   2.6e-74 DNA-3-methyladenine glycosylase [EC:3.2.2.21]
* Pn3.3428            K23877  183.47  269.4   9.4e-81 xyloglucan O-acetyltransferase
* Pn3.3429            K09338   75.40  213.8   6.5e-64 homeobox-leucine zipper protein
* Pn3.3430            K13449  155.07  226.4   6.3e-68 pathogenesis-related protein 1
* Pn3.3434            K13464   34.33  190.6   8.7e-57 jasmonate ZIM domain-containing protein
* Pn3.3435            K13201  210.27  453.2  2.2e-136 nucleolysin TIA-1/TIAR
* Pn3.3439            K20471  120.63  795.4  6.8e-240 coatomer subunit delta
* Pn3.3440            K09286   88.90  126.8   1.7e-37 EREBP-like factor
* Pn3.3441            K04078   24.43  243.1   3.5e-73 chaperonin GroES
* Pn3.3444            K03564  155.23  222.3   1.4e-66 thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]
* Pn3.3445            K05658  913.93 1576.4         0 ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:7.6.2.2]
* Pn3.3449            K14488   34.97   92.2   8.9e-27 SAUR family protein
* Pn3.3450            K14488   34.97   38.0     3e-10 SAUR family protein
* Pn3.3453            K22913  408.93 1002.5  5.7e-302 phosphatidylinositol 3,5-bisphosphate 5-phosphatase [EC:3.1.3.-]
* Pn3.3460            K19038  161.53  174.5   4.9e-52 E3 ubiquitin-protein ligase ATL41 [EC:2.3.2.27]
* Pn3.3473            K01051   76.27  542.3  1.5e-163 pectinesterase [EC:3.1.1.11]
* Pn3.3474            K01051   76.27  514.9  3.2e-155 pectinesterase [EC:3.1.1.11]
* Pn3.3475            K01051   76.27  139.4     2e-41 pectinesterase [EC:3.1.1.11]
* Pn3.3477            K01051   76.27  267.9   2.2e-80 pectinesterase [EC:3.1.1.11]
* Pn3.3478            K01051   76.27  500.0    1e-150 pectinesterase [EC:3.1.1.11]
* Pn3.3479            K20290   95.07  229.7   1.1e-68 conserved oligomeric Golgi complex subunit 3
* Pn3.3482            K22913  408.93 1002.5  5.7e-302 phosphatidylinositol 3,5-bisphosphate 5-phosphatase [EC:3.1.3.-]
* Pn3.3483            K02998  212.43  497.5  3.1e-150 small subunit ribosomal protein SAe
* Pn3.3484            K14832  179.97  884.7  1.5e-266 ribosome biogenesis protein MAK21
* Pn3.3485            K09286   88.90  167.9   5.3e-50 EREBP-like factor
* Pn3.3490            K20290   95.07  205.0   3.1e-61 conserved oligomeric Golgi complex subunit 3
* Pn3.3492            K01051   76.27  497.5  5.9e-150 pectinesterase [EC:3.1.1.11]
* Pn3.3493            K01051   76.27  281.4   1.8e-84 pectinesterase [EC:3.1.1.11]
* Pn3.3495            K01051   76.27  140.8   7.8e-42 pectinesterase [EC:3.1.1.11]
* Pn3.3497            K01051   76.27  520.2  7.7e-157 pectinesterase [EC:3.1.1.11]
* Pn3.3498            K01051   76.27  542.3  1.5e-163 pectinesterase [EC:3.1.1.11]
* Pn3.3510            K19038  161.53  175.0   3.6e-52 E3 ubiquitin-protein ligase ATL41 [EC:2.3.2.27]
* Pn3.3511            K03691   73.10  184.3   7.7e-55 peptide-O-fucosyltransferase [EC:2.4.1.221]
* Pn3.3523            K22991  307.27  612.7  1.2e-184 WD repeat-containing protein 45
* Pn3.3524            K00799   55.17  128.2   6.9e-38 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3527            K00799   55.17  125.1   6.2e-37 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3528            K00799   55.17  123.3   2.1e-36 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3529            K00799   55.17  123.9   1.4e-36 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3531            K00799   55.17  125.4   5.1e-37 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3533            K00799   55.17  119.2   3.8e-35 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3535            K00799   55.17  113.0     3e-33 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3536            K00799   55.17  125.4   5.1e-37 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3537            K00799   55.17  120.0   2.2e-35 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3541            K00799   55.17  110.0   2.5e-32 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3542            K00799   55.17   75.4   8.4e-22 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3545            K10686  283.73  646.2  6.2e-195 NEDD8-activating enzyme E1 [EC:6.2.1.64]
* Pn3.3548            K13754  241.47  415.5  4.7e-125 solute carrier family 24 (sodium/potassium/calcium exchanger), member 6
* Pn3.3554            K00799   55.17  125.4   5.1e-37 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3555            K00799   55.17  120.0   2.2e-35 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3558            K00799   55.17  110.0   2.5e-32 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3559            K00799   55.17   76.3   4.6e-22 glutathione S-transferase [EC:2.5.1.18]
* Pn3.3562            K10686  283.73  646.2  6.2e-195 NEDD8-activating enzyme E1 [EC:6.2.1.64]
* Pn3.3565            K13754  241.47  414.9  6.9e-125 solute carrier family 24 (sodium/potassium/calcium exchanger), member 6
* Pn3.3578            K00432   50.63  275.7   1.2e-82 glutathione peroxidase [EC:1.11.1.9]
* Pn3.3583            K02358  360.00  853.2  4.9e-257 elongation factor Tu
* Pn3.3583            K10523  143.13  209.5   1.6e-62 speckle-type POZ protein
* Pn3.3586            K08272   75.63  401.0  1.4e-120 calcium binding protein 39
* Pn3.3590            K05283  117.17  471.0    8e-142 glucosaminylphosphatidylinositol acyltransferase [EC:2.3.-.-]
* Pn3.3603            K18726  249.93  287.9   2.7e-86 FAS-associated factor 2
* Pn3.3605            K14493  382.23  635.1  3.4e-192 gibberellin receptor GID1 [EC:3.-.-.-]
* Pn3.3606            K07541   59.73  185.4   2.8e-55 GPI mannosyltransferase 1 subunit X
* Pn3.3609            K01090  362.47  527.0  1.1e-158 protein phosphatase [EC:3.1.3.16]
* Pn3.3611            K13207  178.67  455.0  7.2e-137 CUG-BP- and ETR3-like factor
* Pn3.3624            K04565   83.20  236.9   3.5e-71 superoxide dismutase, Cu-Zn family [EC:1.15.1.1]
* Pn3.3641            K07232   40.33   69.9     3e-20 glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]
* Pn3.3651            K03676   76.57  111.4   6.7e-33 glutaredoxin 3
* Pn3.3653            K20628  126.20  127.1   1.3e-37 expansin
* Pn3.3666            K00477  141.17  144.8   5.5e-43 phytanoyl-CoA hydroxylase [EC:1.14.11.18]
* Pn3.3677            K09422  126.07  271.3   2.3e-81 transcription factor MYB, plant
* Pn3.3687            K11109   97.27  133.3   1.6e-39 protection of telomeres protein 1
* Pn3.3691            K07276   95.33  190.9     6e-57 uncharacterized protein
* Pn3.3694            K01051   76.27   78.3   6.5e-23 pectinesterase [EC:3.1.1.11]
* Pn3.3698            K01193  396.67  574.2  5.3e-173 beta-fructofuranosidase [EC:3.2.1.26]
* Pn3.3702            K10398  589.47 1092.7         0 kinesin family member 11
* Pn3.3709            K08099  110.43  479.6  8.7e-145 chlorophyllase [EC:3.1.1.14]
* Pn3.3710            K13116  494.37  979.2  1.2e-295 ATP-dependent RNA helicase DDX41 [EC:3.6.4.13]
* Pn3.3713            K17479   82.73  269.3   7.1e-81 glutaredoxin domain-containing cysteine-rich protein 1
* Pn3.3715            K22063  171.30  174.3   6.5e-52 iron-sulfur cluster assembly 1
* Pn3.3716            K14431  125.50  257.9   2.8e-77 transcription factor TGA
* Pn3.3719            K01597  215.90  620.4  6.6e-187 diphosphomevalonate decarboxylase [EC:4.1.1.33]
* Pn3.3720            K01267  490.10  763.9  2.2e-230 aspartyl aminopeptidase [EC:3.4.11.21]
* Pn3.3722            K00786  488.30  596.2  5.1e-180 beta-1,6-galactosyltransferase [EC:2.4.1.-]
* Pn3.3723            K24687  126.77  130.5   1.9e-38 AN1-type zinc finger protein 5/6
* Pn3.3724            K01240  351.23  495.7  1.9e-149 uridine nucleosidase [EC:3.2.2.3]
* Pn3.3727            K10756  288.33  352.7  4.4e-106 replication factor C subunit 3/5
* Pn3.3728            K15430  167.60  581.4  3.9e-175 tRNA (guanine10-N2)-methyltransferase [EC:2.1.1.214]
* Pn3.3730            K14153  378.47  614.8  2.5e-185 hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]
* Pn3.3730            K00941  323.00  360.1  2.6e-108 hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
* Pn3.3730            K00788  164.50  239.0   1.1e-71 thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]
* Pn3.3738            K00889  348.20  643.2  9.1e-194 1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
* Pn3.3743            K10751  302.67  470.5  9.7e-142 chromatin assembly factor 1 subunit B
* Pn3.3744            K00430  113.80  442.0  6.1e-133 peroxidase [EC:1.11.1.7]
* Pn3.3761            K01613   26.87  262.9   9.6e-79 phosphatidylserine decarboxylase [EC:4.1.1.65]
* Pn3.3763            K20183  538.50  768.3  1.6e-231 Vam6/Vps39-like protein vacuolar protein sorting-associated protein 39
* Pn3.3764            K06170   36.97   42.9   6.3e-12 presenilin enhancer 2
* Pn3.3765            K14570  177.50  288.2   2.9e-86 RNA exonuclease [EC:3.1.-.-]
