"","Descripccion","Especie","X..identidad","Acceso.NCBI","EC.1.14.19","Homologia","Rango.de.Homología","Top.20.homología","Cluster","Tamaño.cluster","Anotacion","Seleccionada","Respaldo.por.articulos","Interaccion.con.metabolitos","X.Interacción.con.proteínas.similares.a.la.vía.de.P..nigrum","Docking","Puntuacion..Total","DNA.Length"
"11","putative CYP719 [synthetic construct]","synthetic construct",50.76,"ANY58161.1","NCBI",0.5076,10,1,NA,NA,1,1,NA,NA,NA,NA,1.7076,1476
"12","putative CYP719 [synthetic construct]","synthetic construct",50.63,"ANY58181.1","NCBI",0.5063,11,1,NA,NA,1,1,NA,NA,NA,NA,1.7063,1509
"13","putative CYP719 [synthetic construct]","synthetic construct",50.53,"ANY58165.1","NCBI",0.5053,13,1,NA,NA,1,1,NA,NA,NA,NA,1.7053,1503
"14","(S)-canadine synthase-like [Magnolia sinica]","Magnolia sinica",50.51,"XP_058075593.1","NCBI",0.5051,14,1,NA,NA,1,1,NA,NA,NA,NA,1.7051,1515
"15","(S)-canadine synthase [Thalictrum thalictroides]","Thalictrum thalictroides",50.32,"KAF5183394.1","NCBI",0.5032,15,1,NA,NA,1,1,NA,NA,NA,NA,1.7032,1476
"16","S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae]","Cinnamomum micranthum f. kanehirae",50.32,"RWR90111.1","NCBI",0.5032,15,1,NA,NA,1,1,NA,NA,NA,NA,1.7032,1494
"17","(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_027019 PE=3 SV=1","Thalictrum thalictroides",50.3,"A0A7J6VE74","UNIPROT",0.503,17,1,NA,NA,1,1,NA,NA,NA,NA,NA,1476
"18","S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01919200 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",50.3,"A0A443PH96","UNIPROT",0.503,17,1,NA,NA,1,1,NA,NA,NA,NA,NA,1494
"19","hypothetical protein AQUCO_02000479v1 [Aquilegia coerulea]","Aquilegia coerulea",50.22,"PIA43054.1","NCBI",0.5022,20,1,NA,NA,1,1,NA,NA,NA,NA,1.7022,1482
"20","Cytochrome p450 [Thalictrum thalictroides]","Thalictrum thalictroides",49.25,"KAF5205209.1","NCBI",0.4925,45,NA,1,88,1,1,NA,NA,NA,NA,1.6925,1863
"21","Cytochrome P450 OS=Kalanchoe fedtschenkoi OX=63787 PE=3 SV=1","Kalanchoe fedtschenkoi",29.3,"A0A7N0TS06","UNIPROT",0.293,253,NA,1,51,1,1,NA,NA,NA,NA,NA,1542
"22","S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae]","Cinnamomum micranthum f. kanehirae",49.48,"RWR90114.1","NCBI",0.4948,36,NA,1,29,1,1,NA,NA,NA,NA,1.6948,1497
"23","Salutaridine synthase OS=Papaver somniferum OX=3469 GN=C5167_047533 PE=4 SV=1","Papaver somniferum",42.8,"A0A4Y7LKP9","UNIPROT",0.428,169,NA,1,15,1,1,NA,NA,NA,NA,NA,1515
"24","Cytochrome P450 77A1-like OS=Pyrus ussuriensis x Pyrus communis OX=2448454 GN=D8674_031919 PE=3 SV=1","Pyrus ussuriensis x Pyrus communis",28.1,"A0A5N5F034","UNIPROT",0.281,324,NA,1,12,1,1,NA,NA,NA,NA,NA,1611
"25","Cytochrome P450 OS=Tetracentron sinense OX=13715 GN=HHK36_030440 PE=3 SV=1","Tetracentron sinense",46.7,"A0A835CYP6","UNIPROT",0.467,141,NA,1,9,1,1,NA,NA,NA,NA,NA,1503
"26","p450 OS=Brachypodium distachyon OX=15368 GN=BRADI_3g17090v3 PE=3 SV=1","Brachypodium distachyon",29.5,"C3SAE5","UNIPROT",0.295,231,NA,1,7,1,1,NA,NA,NA,NA,NA,1593
"27","putative CYP719 [synthetic construct]","synthetic construct",47.07,"ANY58167.1","NCBI",0.4707,130,NA,1,6,1,1,NA,NA,NA,NA,1.6707,1503
"28","Premnaspirodiene oxygenase-like OS=Coffea arabica OX=13443 GN=LOC113689899 PE=3 SV=1","Coffea arabica",29.6,"A0A6P6SBC5","UNIPROT",0.296,226,NA,1,6,1,1,NA,NA,NA,NA,NA,1524
"29","Cytochrome P450 OS=Arabis nemorensis OX=586526 GN=ANE_LOCUS1623 PE=3 SV=1","Arabis nemorensis",30.4,"A0A565ARE3","UNIPROT",0.304,193,NA,1,5,1,1,NA,NA,NA,NA,NA,1512
"30","putative cytochrome P450 [Eschscholzia californica subsp. californica]","Eschscholzia californica subsp. californica",48.56,"BBD34766.1","NCBI",0.4856,59,NA,1,4,1,1,NA,NA,NA,NA,1.6856,1503
"31","Cytochrome P450 OS=Dendrobium nobile OX=94219 GN=KFK09_023903 PE=3 SV=1","Dendrobium nobile",27.6,"A0A8T3ACD7","UNIPROT",0.276,342,NA,1,4,1,1,NA,NA,NA,NA,NA,1551
"32","PREDICTED: (S)-canadine synthase-like [Nelumbo nucifera]","Nelumbo nucifera",47.76,"XP_010267084.1","NCBI",0.4776,88,NA,1,2,1,1,NA,NA,NA,NA,1.6776,1485
"33","Pluviatolide synthase OS=Podophyllum peltatum OX=35933 GN=CYP719A24 PE=1 SV=2","Podophyllum peltatum",47.3,"L7T720","UNIPROT",0.473,117,NA,1,2,1,1,NA,NA,NA,NA,NA,1467
"34","Cytochrome P450 OS=Coptis chinensis OX=261450 GN=IFM89_021646 PE=4 SV=1","Coptis chinensis",44.2,"A0A835IBP9","UNIPROT",0.442,162,NA,1,2,1,1,NA,NA,NA,NA,NA,1128
"35","Cytochrome P450 89A2 OS=Colocasia esculenta OX=4460 GN=Taro_028736 PE=4 SV=1","Colocasia esculenta",30,"A0A843VC20","UNIPROT",0.3,204,NA,1,2,1,1,NA,NA,NA,NA,NA,2706
"36","Cytochrome P450 89A2 OS=Colocasia esculenta OX=4460 GN=Taro_029806 PE=3 SV=1","Colocasia esculenta",28.7,"A0A843VER5","UNIPROT",0.287,292,NA,1,2,1,1,NA,NA,NA,NA,NA,1557
"37","Cytochrome P450 2D6-like OS=Branchiostoma belcheri OX=7741 GN=LOC109481790 PE=3 SV=1","Branchiostoma belcheri",28.6,"A0A6P4ZSW0","UNIPROT",0.286,301,NA,1,2,1,1,NA,NA,NA,NA,NA,1476
"38","Premnaspirodiene oxygenase OS=Helianthus annuus OX=4232 GN=HanXRQr2_Chr11g0480401 PE=3 SV=1","Helianthus annuus",27.9,"A0A9K3HN25","UNIPROT",0.279,331,NA,1,2,1,1,NA,NA,NA,NA,NA,1509
"39","Cytochrome P450 71D8 OS=Glycine soja OX=3848 GN=D0Y65_026741 PE=3 SV=1","Glycine soja",27.8,"A0A445IL45","UNIPROT",0.278,334,NA,1,2,1,1,NA,NA,NA,NA,NA,1524
"40","Cytochrome P450 OS=Ceratodon purpureus OX=3225 GN=KC19_10G041300 PE=3 SV=1","Ceratodon purpureus",27.4,"A0A8T0GKA6","UNIPROT",0.274,345,NA,1,2,1,1,NA,NA,NA,NA,NA,1695
"41","Cytochrome P450 OS=Marchantia polymorpha subsp. ruderalis OX=1480154 GN=AXG93_1390s1190 PE=3 SV=1","Marchantia polymorpha subsp. ruderalis",27.1,"A0A176WAN7","UNIPROT",0.271,348,NA,1,2,1,1,NA,NA,NA,NA,NA,1560
"42","(S)-canadine synthase OS=Coptis chinensis OX=261450 GN=IFM89_021655 PE=3 SV=1","Coptis chinensis",47.6,"A0A835M5Z6","UNIPROT",0.476,97,NA,1,1,1,1,NA,NA,NA,NA,NA,1269
"43","Cytochrome P450 OS=Aquilegia coerulea OX=218851 GN=AQUCO_01500066v1 PE=3 SV=1","Aquilegia coerulea",47.4,"A0A2G5DSS1","UNIPROT",0.474,107,NA,1,1,1,1,NA,NA,NA,NA,NA,1485
"44","Cytochrome P450 OS=Tetracentron sinense OX=13715 GN=HHK36_008412 PE=3 SV=1","Tetracentron sinense",47.3,"A0A834ZMF6","UNIPROT",0.473,117,NA,1,1,1,1,NA,NA,NA,NA,NA,1053
"45","Cytochrome P450 OS=Coptis chinensis OX=261450 GN=IFM89_009396 PE=3 SV=1","Coptis chinensis",39.9,"A0A835GWZ8","UNIPROT",0.399,176,NA,1,1,1,1,NA,NA,NA,NA,NA,1053
"46","Cytochrome P450 OS=Amborella trichopoda OX=13333 GN=AMTR_s00040p00200250 PE=3 SV=1","Amborella trichopoda",30.2,"W1PYM1","UNIPROT",0.302,200,NA,1,1,1,1,NA,NA,NA,NA,NA,1488
"47","Cytochrome P450 71A1 OS=Apostasia shenzhenica OX=1088818 GN=CYP71A1 PE=3 SV=1","Apostasia shenzhenica",29.3,"A0A2I0A2V1","UNIPROT",0.293,253,NA,1,1,1,1,NA,NA,NA,NA,NA,1518
"48","Cytochrome P450 71B4-like OS=Raphanus sativus OX=3726 GN=LOC108811121 PE=3 SV=1","Raphanus sativus",28.9,"A0A6J0JV73","UNIPROT",0.289,283,NA,1,1,1,1,NA,NA,NA,NA,NA,1503
"49","Uncharacterized protein CYP77D1 (Fragment) OS=Selaginella moellendorffii OX=88036 GN=CYP77D1 PE=3 SV=1","Selaginella moellendorffii",28.8,"D8R0C2","UNIPROT",0.288,288,NA,1,1,1,1,NA,NA,NA,NA,NA,1347
"50","Cytochrome P450 OS=Amborella trichopoda OX=13333 GN=AMTR_s00059p00204120 PE=3 SV=1","Amborella trichopoda",28.7,"U5CWH8","UNIPROT",0.287,292,NA,1,1,1,1,NA,NA,NA,NA,NA,1548
"51","Cytochrome P450 81D1 OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00110332pilonHSYRG01310 PE=3 SV=1","Hibiscus syriacus",28.7,"A0A6A3AX34","UNIPROT",0.287,292,NA,1,1,1,1,NA,NA,NA,NA,NA,1500
"52","Cytochrome P450 71A1 OS=Colocasia esculenta OX=4460 GN=Taro_026024 PE=3 SV=1","Colocasia esculenta",28.6,"A0A843VMC4","UNIPROT",0.286,301,NA,1,1,1,1,NA,NA,NA,NA,NA,1587
"53","Cytochrome P450 71A1-like OS=Lupinus angustifolius OX=3871 GN=TanjilG_07185 PE=3 SV=1","Lupinus angustifolius",28.5,"A0A1J7HRW5","UNIPROT",0.285,307,NA,1,1,1,1,NA,NA,NA,NA,NA,1458
"54","p-coumaroyl shikimate/quinate 3'-hydroxylase OS=Selaginella moellendorffii OX=88036 GN=C3'H1-2 PE=3 SV=1","Selaginella moellendorffii",27.7,"D8SCG3","UNIPROT",0.277,337,NA,1,1,1,1,NA,NA,NA,NA,NA,1572
"55","Ferruginol synthase-like OS=Coffea arabica OX=13443 GN=LOC113703564 PE=3 SV=1","Coffea arabica",27.7,"A0A6P6TQN0","UNIPROT",0.277,337,NA,1,1,1,1,NA,NA,NA,NA,NA,1500
"56","p450 domain-containing protein","Cephalotus follicularis",27.6,"A0A1Q3C6R7","UNIPROT",0.276,342,NA,1,1,1,1,NA,NA,1,NA,2.076,1554
"57","Uncharacterized protein OS=Lactuca sativa OX=4236 GN=LSAT_V11C900474820 PE=4 SV=1","Lactuca sativa",30.6,"A0A9R1UCN1","UNIPROT",0.306,189,NA,1,48,0,0,NA,NA,NA,NA,NA,0
"58","putative N-methyltransferase [synthetic construct]","synthetic construct",50.61,"ANY58189.1","NCBI",0.5061,12,1,NA,NA,0,NA,NA,NA,NA,NA,0.5061,0
"59","Steroid 21-hydroxylase OS=Electrophorus electricus OX=8005 GN=LOC113570604 PE=3 SV=1","Electrophorus electricus",29.2,"A0A4W4FVA0","UNIPROT",0.292,261,NA,1,9,NA,NA,NA,NA,NA,NA,NA,0
"60","Uncharacterized protein OS=Panicum virgatum OX=38727 GN=PVAP13_7NG214500 PE=3 SV=1","Panicum virgatum",29.4,"A0A8T0PY70","UNIPROT",0.294,237,NA,1,7,NA,NA,NA,NA,NA,NA,NA,0
"61","Uncharacterized protein OS=Papaver somniferum OX=3469 GN=C5167_017881 PE=3 SV=1","Papaver somniferum",43.3,"A0A4Y7IL67","UNIPROT",0.433,167,NA,1,5,NA,NA,NA,NA,NA,NA,NA,0
"62","Uncharacterized protein OS=Spirodela intermedia OX=51605 GN=SI8410_13017456 PE=3 SV=1","Spirodela intermedia",29.4,"A0A7I8LBY7","UNIPROT",0.294,237,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0
"63","S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae]","Cinnamomum micranthum f. kanehirae",50.11,"RWR90117.1","NCBI",0.5011,21,NA,NA,NA,1,NA,NA,NA,NA,NA,1.7011,0
"64","S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae]","Cinnamomum micranthum f. kanehirae",50.11,"RWR90112.1","NCBI",0.5011,21,NA,NA,NA,1,NA,NA,NA,NA,NA,1.7011,0
"65","S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01919800 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",50.1,"A0A443PH60","UNIPROT",0.501,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"66","S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01919300 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",50.1,"A0A443PH93","UNIPROT",0.501,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"67","CYP719A7 [synthetic construct]","synthetic construct",50,"ANY58139.1","NCBI",0.5,25,NA,NA,NA,1,NA,NA,NA,NA,NA,1.7,0
"68","RecName: Full=Cheilanthifoline synthase; Short=CHS; AltName: Full=Cytochrome P450 719A5 [Eschscholzia californica]","Eschscholzia californica",49.9,"B5UAQ8.1","NCBI",0.499,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499,0
"69","RecName: Full=(S)-canadine synthase; AltName: Full=(S)-tetrahydrocolumbamine oxidase (methylenedioxy-bridge-forming); AltName: Full=Cytochrome P450 719A1 [Coptis japonica]","Coptis japonica",49.8,"Q948Y1.1","NCBI",0.498,27,NA,NA,NA,1,NA,NA,NA,NA,NA,1.698,0
"70","(S)-canadine synthase [Coptis chinensis]","Coptis chinensis",49.8,"AGL76711.1","NCBI",0.498,27,NA,NA,NA,1,NA,NA,NA,NA,NA,1.698,0
"71","(S)-canadine synthase OS=Coptis japonica OX=3442 GN=CYP719A1 PE=1 SV=1","Coptis japonica",49.8,"Q948Y1","UNIPROT",0.498,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"72","(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_032409 PE=4 SV=1","Thalictrum thalictroides",49.7,"A0A7J6V0U2","UNIPROT",0.497,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"73","Putative CYP719 OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01917700 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",49.7,"A0A443PH38","UNIPROT",0.497,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"74","(S)-canadine synthase [Thalictrum thalictroides]","Thalictrum thalictroides",49.68,"KAF5178002.1","NCBI",0.4968,32,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6968,0
"75","Cytochrome P450 [Macleaya cordata]","Macleaya cordata",49.6,"OVA11723.1","NCBI",0.496,33,NA,NA,NA,1,NA,NA,NA,NA,NA,1.696,0
"76","Cytochrome P450 OS=Macleaya cordata OX=56857 GN=BVC80_41g7 PE=3 SV=1","Macleaya cordata",49.6,"A0A200QMM5","UNIPROT",0.496,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"77","S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01919500 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",49.5,"A0A3S3QV59","UNIPROT",0.495,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"78","putative CYP719 [synthetic construct]","synthetic construct",49.47,"ANY58182.1","NCBI",0.4947,37,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6947,0
"79","S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae]","Cinnamomum micranthum f. kanehirae",49.47,"RWR90113.1","NCBI",0.4947,37,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6947,0
"80","putative N-methyltransferase [synthetic construct]","synthetic construct",49.4,"ANY58188.1","NCBI",0.494,39,NA,NA,NA,0,NA,NA,NA,NA,NA,0.494,0
"81","(S)-canadine synthase [Thalictrum thalictroides]","Thalictrum thalictroides",49.4,"KAF5195557.1","NCBI",0.494,39,NA,NA,NA,1,NA,NA,NA,NA,NA,1.694,0
"82","(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_014856 PE=3 SV=1","Thalictrum thalictroides",49.4,"A0A7J6WF91","UNIPROT",0.494,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83","RecName: Full=Cheilanthifoline synthase; Short=CHS; AltName: Full=Cytochrome P450 719A14 [Argemone mexicana]","Argemone mexicana",49.39,"B1NF20.1","NCBI",0.4939,42,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6939,0
"84","Cytochrome p450 OS=Thalictrum thalictroides OX=46969 GN=FRX31_005205 PE=3 SV=1","Thalictrum thalictroides",49.3,"A0A7J6X6B7","UNIPROT",0.493,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"85","putative CYP719 [synthetic construct]","synthetic construct",49.26,"ANY58183.1","NCBI",0.4926,44,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6926,0
"86","Cheilanthifoline synthase OS=Argemone mexicana OX=54796 GN=CYP719A14 PE=1 SV=1","Argemone mexicana",49.2,"B1NF20","UNIPROT",0.492,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"87","(S)-canadine synthase OS=Aquilegia coerulea OX=218851 GN=AQUCO_02000479v1 PE=3 SV=1","Aquilegia coerulea",49.1,"A0A2G5DHT1","UNIPROT",0.491,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"88","(S)-canadine synthase [Thalictrum flavum subsp. glaucum]","Thalictrum flavum subsp. glaucum",49.09,"AAU20771.1","NCBI",0.4909,48,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6909,0
"89","Cheilanthifoline synthase OS=Eschscholzia californica OX=3467 GN=CYP719A5 PE=1 SV=1","Eschscholzia californica",49,"B5UAQ8","UNIPROT",0.49,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"90","putative CYP719 [synthetic construct]","synthetic construct",48.95,"ANY58163.1","NCBI",0.4895,50,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6895,0
"91","hypothetical protein MKX03_028093 [Papaver bracteatum]","Papaver bracteatum",48.81,"KAI3854715.1","NCBI",0.4881,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4881,0
"92","hypothetical protein C5167_018254 [Papaver somniferum]","Papaver somniferum",48.81,"RZC49831.1","NCBI",0.4881,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4881,0
"93","Stylopine synthase OS=Papaver somniferum OX=3469 GN=C5167_018254 PE=3 SV=1","Papaver somniferum",48.8,"A0A4Y7IQ36","UNIPROT",0.488,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"94","S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01919400 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",48.7,"A0A3S3NLP2","UNIPROT",0.487,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"95","putative CYP719 [synthetic construct]","synthetic construct",48.67,"ANY58184.1","NCBI",0.4867,55,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6867,0
"96","hypothetical protein MRB53_015143 [Persea americana]","Persea americana",48.63,"KAJ8618957.1","NCBI",0.4863,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4863,0
"97","hypothetical protein MRB53_015135 [Persea americana]","Persea americana",48.62,"KAJ8618949.1","NCBI",0.4862,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4862,0
"98","putative CYP719 [synthetic construct]","synthetic construct",48.6,"ANY58168.1","NCBI",0.486,58,NA,NA,NA,1,NA,NA,NA,NA,NA,1.686,0
"99","hypothetical protein MKX03_028095 [Papaver bracteatum]","Papaver bracteatum",48.55,"KAI3854717.1","NCBI",0.4855,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4855,0
"100","putative CYP719 [synthetic construct]","synthetic construct",48.48,"ANY58141.1","NCBI",0.4848,61,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6848,0
"101","hypothetical protein MKX01_018788 [Papaver californicum]","Papaver californicum",48.48,"KAI3986246.1","NCBI",0.4848,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4848,0
"102","S-canadine synthase-like protein OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01917900 PE=3 SV=1","Cinnamomum micranthum f. kanehirae",48.4,"A0A443PH43","UNIPROT",0.484,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"103","S-canadine synthase-like protein [Cinnamomum micranthum f. kanehirae]","Cinnamomum micranthum f. kanehirae",48.35,"RWR90098.1","NCBI",0.4835,64,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6835,0
"104","putative CYP719 [synthetic construct]","synthetic construct",48.28,"ANY58180.1","NCBI",0.4828,65,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6828,0
"105","(S)-canadine synthase [Thalictrum thalictroides]","Thalictrum thalictroides",48.21,"KAF5192636.1","NCBI",0.4821,66,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6821,0
"106","(S)-canadine synthase OS=Thalictrum thalictroides OX=46969 GN=FRX31_017777 PE=4 SV=1","Thalictrum thalictroides",48.2,"A0A7J6W5J9","UNIPROT",0.482,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"107","hypothetical protein MRB53_001171 [Persea americana]","Persea americana",48.19,"KAJ8648148.1","NCBI",0.4819,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4819,0
"108","hypothetical protein MKW98_032030 [Papaver atlanticum]","Papaver atlanticum",48.16,"KAI3903376.1","NCBI",0.4816,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4816,0
"109","hypothetical protein [Papaver nudicaule]","Papaver nudicaule",48.14,"MCL7039105.1","NCBI",0.4814,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4814,0
"110","stylopine synthase [synthetic construct]","synthetic construct",48.09,"AHF65153.1","NCBI",0.4809,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4809,0
"111","hypothetical protein MKW98_001746 [Papaver atlanticum]","Papaver atlanticum",48.08,"KAI3867312.1","NCBI",0.4808,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4808,0
"112","RecName: Full=Trifunctional (S)-stylopine synthase/(S)-nandinine synthase/(S)-canadine synthase; Short=STS; AltName: Full=Cytochrome P450 719A13 [Argemone mexicana]","Argemone mexicana",48.02,"B1NF19.1","NCBI",0.4802,73,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6802,0
"113","Cytochrome P450 [Macleaya cordata]","Macleaya cordata",48.02,"OVA13716.1","NCBI",0.4802,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4802,0
"114","hypothetical protein AQUCO_02200105v1 [Aquilegia coerulea]","Aquilegia coerulea",48,"PIA41454.1","NCBI",0.48,75,NA,NA,NA,1,NA,NA,NA,NA,NA,1.68,0
"115","putative CYP719 [synthetic construct]","synthetic construct",48,"ANY58148.1","NCBI",0.48,75,NA,NA,NA,1,NA,NA,NA,NA,NA,1.68,0
"116","(S)-canadine synthase OS=Aquilegia coerulea OX=218851 GN=AQUCO_02200105v1 PE=4 SV=1","Aquilegia coerulea",48,"A0A2G5DDA9","UNIPROT",0.48,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"117","(S)-canadine synthase-like OS=Nelumbo nucifera OX=4432 GN=LOC104604446 PE=3 SV=1","Nelumbo nucifera",48,"A0A1U8AVU0","UNIPROT",0.48,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"118","cheilanthifoline synthase [Papaver somniferum]","Papaver somniferum",47.93,"XP_026447356.1","NCBI",0.4793,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4793,0
"119","hypothetical protein MKW92_004387 [Papaver armeniacum]","Papaver armeniacum",47.93,"KAI3870761.1","NCBI",0.4793,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4793,0
"120","cheilanthifoline synthase [Papaver somniferum]","Papaver somniferum",47.93,"ADB89213.1","NCBI",0.4793,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4793,0
"121","hypothetical protein MKW92_032091 [Papaver armeniacum]","Papaver armeniacum",47.93,"KAI3924519.1","NCBI",0.4793,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4793,0
"122","putative CYP719 [synthetic construct]","synthetic construct",47.93,"ANY58175.1","NCBI",0.4793,79,NA,NA,NA,1,NA,NA,NA,NA,NA,1.6793,0
"123","putative CYP719 [synthetic construct]","synthetic construct",47.9,"ANY58179.1","NCBI",0.479,84,NA,NA,NA,1,NA,NA,NA,NA,NA,1.679,0
