Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A7Z809	reviewed	2-succinylbenzoate--CoA ligase	326423	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42)	487	PF13193	399..472
A7ZA74	reviewed	D-alanine--D-alanyl carrier protein ligase	326423	Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42)	503	PF13193	412..491
A7ZHC8	reviewed	Crotonobetaine/carnitine--CoA ligase	331111	Escherichia coli O139:H28 (strain E24377A / ETEC)	517	PF13193	435..510
A7ZVY7	reviewed	Crotonobetaine/carnitine--CoA ligase	331112	Escherichia coli O9:H4 (strain HS)	517	PF13193	435..510
A8ALR6	reviewed	Crotonobetaine/carnitine--CoA ligase	290338	Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)	517	PF13193	435..510
A8AN29	reviewed	Acetyl-coenzyme A synthetase	290338	Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696)	652	PF13193	531..609
A8FGK6	reviewed	2-succinylbenzoate--CoA ligase	315750	Bacillus pumilus (strain SAFR-032)	486	PF13193	397..470
A8FNJ7	reviewed	Acetyl-coenzyme A synthetase	407148	Campylobacter jejuni subsp. jejuni serotype O:6 (strain 81116 / NCTC 11828)	657	PF13193	535..617
A8FUF1	reviewed	Acetyl-coenzyme A synthetase	425104	Shewanella sediminis (strain HAW-EB3)	650	PF13193	531..609
A8G8G7	reviewed	Acetyl-coenzyme A synthetase	399741	Serratia proteamaculans (strain 568)	652	PF13193	531..609
A8H5P1	reviewed	Acetyl-coenzyme A synthetase	398579	Shewanella pealeana (strain ATCC 700345 / ANG-SQ1)	650	PF13193	531..609
A8PDE3	reviewed	Acetyl-coenzyme A synthetase	240176	Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)	661	PF13193	539..621
A8Z1J1	reviewed	D-alanine--D-alanyl carrier protein ligase	451516	Staphylococcus aureus (strain USA300 / TCH1516)	485	PF13193	395..473
A8Z4L9	reviewed	2-succinylbenzoate--CoA ligase	451516	Staphylococcus aureus (strain USA300 / TCH1516)	492	PF13193	411..483
A9IYZ3	reviewed	Acetyl-coenzyme A synthetase	382640	Bartonella tribocorum (strain CIP 105476 / IBS 506)	647	PF13193	531..609
A9KY56	reviewed	Acetyl-coenzyme A synthetase	399599	Shewanella baltica (strain OS195)	650	PF13193	531..609
A9M849	reviewed	Acetyl-coenzyme A synthetase	483179	Brucella canis (strain ATCC 23365 / NCTC 10854)	651	PF13193	531..611
A9MQH7	reviewed	Crotonobetaine/carnitine--CoA ligase	41514	Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)	517	PF13193	435..510
A9MYJ6	reviewed	Crotonobetaine/carnitine--CoA ligase	1016998	Salmonella paratyphi B (strain ATCC BAA-1250 / SPB7)	517	PF13193	435..510
A9R2S1	reviewed	Bifunctional protein Aas	349746	Yersinia pestis bv. Antiqua (strain Angola)	718	PF13193	630..701
A9VKV6	reviewed	D-alanine--D-alanyl carrier protein ligase	315730	Bacillus mycoides (strain KBAB4)	504	PF13193	413..492
A9VM74	reviewed	2-succinylbenzoate--CoA ligase	315730	Bacillus mycoides (strain KBAB4)	481	PF13193	395..468
A9W5V0	reviewed	Acetyl-coenzyme A synthetase	419610	Methylorubrum extorquens (strain PA1)	649	PF13193	530..608
A9WWT6	reviewed	Acetyl-coenzyme A synthetase	470137	Brucella suis (strain ATCC 23445 / NCTC 10510)	651	PF13193	531..611
B0CN26	reviewed	Nonribosomal peptide synthase SfmB	1914	Streptomyces lavendulae	1082	PF13193	853..930
B0S8X7	reviewed	Acetyl-coenzyme A synthetase	355278	Leptospira biflexa serovar Patoc (strain Patoc 1 / Ames)	654	PF13193	535..613
B0SRX5	reviewed	Acetyl-coenzyme A synthetase	456481	Leptospira biflexa serovar Patoc (strain Patoc 1 / ATCC 23582 / Paris)	654	PF13193	535..613
B0TPY4	reviewed	Acetyl-coenzyme A synthetase	458817	Shewanella halifaxensis (strain HAW-EB4)	650	PF13193	531..609
B1IRD9	reviewed	Crotonobetaine/carnitine--CoA ligase	481805	Escherichia coli (strain ATCC 8739 / DSM 1576 / NBRC 3972 / NCIMB 8545 / WDCM 00012 / Crooks)	517	PF13193	435..510
B1JQC1	reviewed	Bifunctional protein Aas	502800	Yersinia pseudotuberculosis serotype O:3 (strain YPIII)	718	PF13193	630..701
B1LFX0	reviewed	Crotonobetaine/carnitine--CoA ligase	439855	Escherichia coli (strain SMS-3-5 / SECEC)	517	PF13193	435..510
B1M0M1	reviewed	Acetyl-coenzyme A synthetase	426355	Methylobacterium radiotolerans (strain ATCC 27329 / DSM 1819 / JCM 2831 / NBRC 15690 / NCIMB 10815 / 0-1)	648	PF13193	530..608
B1XBG2	reviewed	Crotonobetaine/carnitine--CoA ligase	316385	Escherichia coli (strain K12 / DH10B)	517	PF13193	435..510
B1ZB59	reviewed	Acetyl-coenzyme A synthetase	441620	Methylorubrum populi (strain ATCC BAA-705 / NCIMB 13946 / BJ001)	649	PF13193	530..608
B2HHZ8	reviewed	Medium/long-chain-fatty-acid--CoA ligase FadD17	216594	Mycobacterium marinum (strain ATCC BAA-535 / M)	503	PF13193	403..479
B2HI05	reviewed	Medium/long-chain-fatty-acid--CoA/3-oxocholest-4-en-26-oate--CoA ligase	216594	Mycobacterium marinum (strain ATCC BAA-535 / M)	550	PF13193	450..525
B2HIL6	reviewed	p-hydroxybenzoic acid--AMP ligase FadD22	216594	Mycobacterium marinum (strain ATCC BAA-535 / M)	702	PF13193	402..480
B2HKM1	reviewed	Fatty acid--[acyl-carrier-protein] ligase MmaC	216594	Mycobacterium marinum (strain ATCC BAA-535 / M)	531	PF13193	434..514
B2IB12	reviewed	Acetyl-coenzyme A synthetase	395963	Beijerinckia indica subsp. indica (strain ATCC 9039 / DSM 1715 / NCIMB 8712)	645	PF13193	529..607
B2JD61	reviewed	Acetyl-coenzyme A synthetase	391038	Paraburkholderia phymatum (strain DSM 17167 / CIP 108236 / LMG 21445 / STM815)	660	PF13193	544..625
B2JZ75	reviewed	Bifunctional protein Aas	502801	Yersinia pseudotuberculosis serotype IB (strain PB1/+)	718	PF13193	630..701
B2KWI3	reviewed	Acyl-CoA ligase SID4	5037	Ajellomyces capsulatus	589	PF13193	489..572
B2S7N5	reviewed	Acetyl-coenzyme A synthetase	430066	Brucella abortus (strain S19)	651	PF13193	531..611
B2U6V1	reviewed	Acetyl-coenzyme A synthetase	402626	Ralstonia pickettii (strain 12J)	660	PF13193	544..625
B3PS41	reviewed	Acetyl-coenzyme A synthetase	491916	Rhizobium etli (strain CIAT 652)	651	PF13193	531..609
B3R1X2	reviewed	Acetyl-coenzyme A synthetase	977880	Cupriavidus taiwanensis (strain DSM 17343 / BCRC 17206 / CCUG 44338 / CIP 107171 / LMG 19424 / R1)	660	PF13193	544..625
B3WC77	reviewed	D-alanine--D-alanyl carrier protein ligase	543734	Lacticaseibacillus casei (strain BL23)	506	PF13193	416..494
B4EY25	reviewed	Crotonobetaine/carnitine--CoA ligase	529507	Proteus mirabilis (strain HI4320)	518	PF13193	436..511
B4T6J6	reviewed	Crotonobetaine/carnitine--CoA ligase	423368	Salmonella newport (strain SL254)	517	PF13193	435..510
B4TIH0	reviewed	Crotonobetaine/carnitine--CoA ligase	454169	Salmonella heidelberg (strain SL476)	517	PF13193	435..510
B4TWR4	reviewed	Crotonobetaine/carnitine--CoA ligase	439843	Salmonella schwarzengrund (strain CVM19633)	517	PF13193	435..510
B5BL55	reviewed	Crotonobetaine/carnitine--CoA ligase	554290	Salmonella paratyphi A (strain AKU_12601)	517	PF13193	435..510
B5F750	reviewed	Crotonobetaine/carnitine--CoA ligase	454166	Salmonella agona (strain SL483)	517	PF13193	435..510
B5FHG5	reviewed	Crotonobetaine/carnitine--CoA ligase	439851	Salmonella dublin (strain CT_02021853)	517	PF13193	435..510
B5R1R0	reviewed	Crotonobetaine/carnitine--CoA ligase	550537	Salmonella enteritidis PT4 (strain P125109)	517	PF13193	435..510
B5XLX5	reviewed	D-alanine--D-alanyl carrier protein ligase	471876	Streptococcus pyogenes serotype M49 (strain NZ131)	512	PF13193	419..499
B5YYD1	reviewed	Crotonobetaine/carnitine--CoA ligase	444450	Escherichia coli O157:H7 (strain EC4115 / EHEC)	517	PF13193	435..510
B5Z6E9	reviewed	Acetyl-coenzyme A synthetase	563041	Helicobacter pylori (strain G27)	662	PF13193	541..623
B5ZV36	reviewed	Acetyl-coenzyme A synthetase	395492	Rhizobium leguminosarum bv. trifolii (strain WSM2304)	651	PF13193	531..609
B6HJU6	reviewed	Nonribosomal peptide synthase roqA	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	2372	PF13193	667..712
B6HLU1	reviewed	N-(5-amino-5-carboxypentanoyl)-L-cysteinyl-D-valine synthase	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	3746	PF13193	1809..1883,2891..2971
B6HYY8	reviewed	Crotonobetaine/carnitine--CoA ligase	409438	Escherichia coli (strain SE11)	517	PF13193	435..510
B6JKX8	reviewed	Acetyl-coenzyme A synthetase	570508	Helicobacter pylori (strain P12)	662	PF13193	541..623
B7HHC6	reviewed	D-alanine--D-alanyl carrier protein ligase	405532	Bacillus cereus (strain B4264)	504	PF13193	413..492
B7HK95	reviewed	D-alanine--D-alanyl carrier protein ligase	405534	Bacillus cereus (strain AH187)	504	PF13193	413..492
B7HTW3	reviewed	2-succinylbenzoate--CoA ligase	405534	Bacillus cereus (strain AH187)	481	PF13193	395..468
B7IN64	reviewed	D-alanine--D-alanyl carrier protein ligase	405531	Bacillus cereus (strain G9842)	504	PF13193	413..492
B7JDD6	reviewed	2-succinylbenzoate--CoA ligase	405535	Bacillus cereus (strain AH820)	482	PF13193	396..469
B7JFV5	reviewed	D-alanine--D-alanyl carrier protein ligase	405535	Bacillus cereus (strain AH820)	504	PF13193	413..492
B7KPN8	reviewed	Acetyl-coenzyme A synthetase	440085	Methylorubrum extorquens (strain CM4 / NCIMB 13688)	652	PF13193	530..608
B7L4G0	reviewed	Crotonobetaine/carnitine--CoA ligase	585055	Escherichia coli (strain 55989 / EAEC)	517	PF13193	435..510
B7LWM8	reviewed	Crotonobetaine/carnitine--CoA ligase	585054	Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CCUG 18766 / IAM 14443 / JCM 21226 / LMG 7866 / NBRC 102419 / NCTC 12128 / CDC 0568-73)	517	PF13193	435..510
B7M0D4	reviewed	Crotonobetaine/carnitine--CoA ligase	585034	Escherichia coli O8 (strain IAI1)	517	PF13193	435..510
B7MAG0	reviewed	Crotonobetaine/carnitine--CoA ligase	585035	Escherichia coli O45:K1 (strain S88 / ExPEC)	517	PF13193	435..510
B7MNP4	reviewed	Crotonobetaine/carnitine--CoA ligase	585397	Escherichia coli O81 (strain ED1a)	517	PF13193	435..510
B7N7R2	reviewed	Crotonobetaine/carnitine--CoA ligase	585056	Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC)	517	PF13193	435..510
B7NHE1	reviewed	Crotonobetaine/carnitine--CoA ligase	585057	Escherichia coli O7:K1 (strain IAI39 / ExPEC)	517	PF13193	435..510
B7UI83	reviewed	Crotonobetaine/carnitine--CoA ligase	574521	Escherichia coli O127:H6 (strain E2348/69 / EPEC)	517	PF13193	435..510
B8DEG2	reviewed	D-alanine--D-alanyl carrier protein ligase	552536	Listeria monocytogenes serotype 4a (strain HCC23)	510	PF13193	420..498
B8EPJ0	reviewed	Acetyl-coenzyme A synthetase	395965	Methylocella silvestris (strain DSM 15510 / CIP 108128 / LMG 27833 / NCIMB 13906 / BL2)	645	PF13193	529..607
B8FIN2	reviewed	Acetyl-coenzyme A synthetase	218208	Desulfatibacillum aliphaticivorans	646	PF13193	527..605
B8N0E8	reviewed	Nonribosomal peptide synthetase asaC	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	1021	PF13193	426..500
B8NY88	reviewed	Nonribosomal peptide synthase agiA	332952	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	7763	PF13193	1976..2059,4695..4777,7335..7412
B8ZQ14	reviewed	D-alanine--D-alanyl carrier protein ligase	561276	Streptococcus pneumoniae (strain ATCC 700669 / Spain 23F-1)	516	PF13193	425..503
B9DGD6	reviewed	Acetyl-coenzyme A synthetase, chloroplastic/glyoxysomal	3702	Arabidopsis thaliana	743	PF13193	627..705
B9IUW2	reviewed	D-alanine--D-alanyl carrier protein ligase	361100	Bacillus cereus (strain Q1)	504	PF13193	413..492
B9J2F2	reviewed	2-succinylbenzoate--CoA ligase	361100	Bacillus cereus (strain Q1)	481	PF13193	395..468
B9JEV4	reviewed	Acetyl-coenzyme A synthetase	311403	Agrobacterium radiobacter (strain K84 / ATCC BAA-868)	652	PF13193	531..609
B9JV43	reviewed	Acetyl-coenzyme A synthetase	311402	Allorhizobium ampelinum (strain ATCC BAA-846 / DSM 112012 / S4)	651	PF13193	531..609
C0MBD6	reviewed	D-alanine--D-alanyl carrier protein ligase	553482	Streptococcus equi subsp. equi (strain 4047)	512	PF13193	420..499
C0Q4L3	reviewed	Crotonobetaine/carnitine--CoA ligase	476213	Salmonella paratyphi C (strain RKS4594)	517	PF13193	435..510
C0RF62	reviewed	Acetyl-coenzyme A synthetase	546272	Brucella melitensis biotype 2 (strain ATCC 23457)	651	PF13193	531..611
C0SPB0	reviewed	Uncharacterized acyl--CoA ligase YtcI	224308	Bacillus subtilis (strain 168)	529	PF13193	432..510
C1AA44	reviewed	Acetyl-coenzyme A synthetase	379066	Gemmatimonas aurantiaca (strain T-27 / DSM 14586 / JCM 11422 / NBRC 100505)	654	PF13193	537..615
C1CB20	reviewed	D-alanine--D-alanyl carrier protein ligase	488221	Streptococcus pneumoniae (strain 70585)	516	PF13193	425..503
C1CNE9	reviewed	D-alanine--D-alanyl carrier protein ligase	488223	Streptococcus pneumoniae (strain P1031)	516	PF13193	425..503
C1CU95	reviewed	D-alanine--D-alanyl carrier protein ligase	487213	Streptococcus pneumoniae (strain Taiwan19F-14)	516	PF13193	425..503
C1D6V9	reviewed	Acetyl-coenzyme A synthetase	557598	Laribacter hongkongensis (strain HLHK9)	653	PF13193	537..618
C1EM80	reviewed	D-alanine--D-alanyl carrier protein ligase	572264	Bacillus cereus (strain 03BB102)	504	PF13193	413..492
C1L1P5	reviewed	D-alanine--D-alanyl carrier protein ligase	568819	Listeria monocytogenes serotype 4b (strain CLIP80459)	510	PF13193	420..498
C3LAH8	reviewed	D-alanine--D-alanyl carrier protein ligase	568206	Bacillus anthracis (strain CDC 684 / NRRL 3495)	503	PF13193	412..491
C3LB87	reviewed	2-succinylbenzoate--CoA ligase	568206	Bacillus anthracis (strain CDC 684 / NRRL 3495)	482	PF13193	396..469
C3MAS0	reviewed	Acetyl-coenzyme A synthetase	394	Sinorhizobium fredii (strain NBRC 101917 / NGR234)	649	PF13193	531..609
C3P4I7	reviewed	D-alanine--D-alanyl carrier protein ligase	592021	Bacillus anthracis (strain A0248)	503	PF13193	412..491
C3PCK3	reviewed	2-succinylbenzoate--CoA ligase	592021	Bacillus anthracis (strain A0248)	482	PF13193	396..469
C4ZPW3	reviewed	Crotonobetaine/carnitine--CoA ligase	595496	Escherichia coli (strain K12 / MC4100 / BW2952)	517	PF13193	435..510
C5D6U5	reviewed	2-succinylbenzoate--CoA ligase	471223	Geobacillus sp. (strain WCH70)	492	PF13193	399..474
C5NN18	reviewed	Acyl-CoA synthetase ACTT5	5599	Alternaria alternata	578	PF13193	472..551
C7ZBE4	reviewed	Nonribosomal peptide synthetase 30	660122	Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)	5911	PF13193	5239..5335
C8VTR6	reviewed	Putative acyl-coenzyme A synthetase	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	554	PF13193	456..534
C9K7B5	reviewed	AM-toxin synthetase AMT1	5599	Alternaria alternata	4363	PF13193	1774..1856
D4AU31	reviewed	PKS-NRPS hybrid synthetase swnK	663331	Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371)	2567	PF13193	437..509
D7PHZ3	reviewed	Malonamoyl-CoA synthetase vrtB	36650	Penicillium aethiopicum	723	PF13193	615..684
D9XF47	reviewed	Phosphinothricin tripeptide synthase PhsC	591159	Streptomyces viridochromogenes (strain DSM 40736 / JCM 4977 / BCRC 1201 / Tue 494)	1086	PF13193	909..984
