Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
68	TR	A0A7J8T6H4	4-coumarate--CoA ligase OS=Gossypium davidsonii OX=34287 GN=Godav_002013 PE=4 SV=1	Gossypium davidsonii	545	1783	60.9	79.3	0.0
69	TR	A0A6P5S936	4-coumarate--CoA ligase-like 7 OS=Prunus avium OX=42229 GN=LOC110755459 PE=4 SV=1	Prunus avium	542	1783	62.9	78.8	0.0
70	TR	A0A6J5XGF1	4-coumarate--CoA ligase OS=Prunus armeniaca OX=36596 GN=ORAREDHAP_LOCUS35746 PE=4 SV=1	Prunus armeniaca	542	1782	62.9	78.8	0.0
71	TR	A0A314U7H8	4-coumarate--CoA ligase-like 7 OS=Prunus yedoensis var. nudiflora OX=2094558 GN=Pyn_40077 PE=4 SV=1	Prunus yedoensis var. nudiflora	542	1782	62.7	78.8	0.0
72	TR	A0A5C7IX43	4-coumarate--CoA ligase OS=Acer yangbiense OX=1000413 GN=EZV62_002372 PE=4 SV=1	Acer yangbiense	549	1781	61.4	78.0	0.0
73	TR	A0A2H5QQL4	4-coumarate--CoA ligase OS=Citrus unshiu OX=55188 GN=CUMW_252520 PE=4 SV=1	Citrus unshiu	546	1780	61.5	78.9	0.0
74	TR	A0A1Q3BF15	AMP-binding domain-containing protein/DUF4009 domain-containing protein OS=Cephalotus follicularis OX=3775 GN=CFOL_v3_09999 PE=4 SV=1	Cephalotus follicularis	539	1779	61.6	79.0	0.0
75	TR	A0A2P5WRY0	4-coumarate--CoA ligase-like 7 OS=Gossypium barbadense OX=3634 GN=ES319_A03G038500v1 PE=4 SV=1	Gossypium barbadense	545	1779	62.2	77.8	0.0
76	TR	A0A1U8PXT3	4-coumarate--CoA ligase-like 7 OS=Gossypium hirsutum OX=3635 GN=LOC107963914 PE=4 SV=1	Gossypium hirsutum	545	1775	62.2	77.6	0.0
77	TR	M5W8J3	4-coumarate--CoA ligase OS=Prunus persica OX=3760 GN=PRUPE_6G109000 PE=4 SV=1	Prunus persica	542	1772	62.7	78.4	0.0
78	TR	A0A7J9AXN3	4-coumarate--CoA ligase OS=Gossypium laxum OX=34288 GN=Golax_001702 PE=4 SV=1	Gossypium laxum	545	1772	60.7	78.7	0.0
79	TR	A0A830CYU9	4-coumarate--coa ligase-like 7 OS=Phtheirospermum japonicum OX=374723 GN=PHJA_002165600 PE=4 SV=1	Phtheirospermum japonicum	541	1772	61.9	79.4	0.0
80	TR	A0A5D2ZUW7	4-coumarate--CoA ligase OS=Gossypium mustelinum OX=34275 GN=E1A91_A03G043300v1 PE=4 SV=1	Gossypium mustelinum	545	1771	62.0	77.6	0.0
81	TR	A0A7J9FGP4	4-coumarate--CoA ligase (Fragment) OS=Gossypium trilobum OX=34281 GN=Gotri_001942 PE=4 SV=1	Gossypium trilobum	580	1770	60.7	78.7	0.0
82	TR	A0A803MGV5	4-coumarate--CoA ligase OS=Chenopodium quinoa OX=63459 PE=4 SV=1	Chenopodium quinoa	540	1770	61.8	79.0	0.0
83	TR	A0A0D2VKP5	4-coumarate--CoA ligase-like 7 (Fragment) OS=Gossypium raimondii OX=29730 GN=B456_013G269100 PE=4 SV=1	Gossypium raimondii	583	1770	60.5	78.9	0.0
84	TR	A0A8B7CYJ5	4-coumarate--CoA ligase OS=Phoenix dactylifera OX=42345 GN=LOC103720770 PE=4 SV=1	Phoenix dactylifera	544	1770	63.4	79.9	0.0
85	TR	A0A2P6QGZ0	Putative AMP-dependent synthetase/ligase, AMP-binding enzyme domain-containing protein OS=Rosa chinensis OX=74649 GN=RchiOBHm_Chr5g0057621 PE=4 SV=1	Rosa chinensis	543	1769	62.8	79.2	0.0
86	TR	H9A1V5	Acyl-activating enzyme 3 OS=Cannabis sativa OX=3483 GN=F8388_015665 PE=2 SV=1	Cannabis sativa	543	1767	63.8	79.2	0.0
87	TR	A0A5J5BN76	Uncharacterized protein OS=Nyssa sinensis OX=561372 GN=F0562_022136 PE=4 SV=1	Nyssa sinensis	515	1766	65.6	81.7	0.0
88	TR	A0A5E4FSV5	PREDICTED: 4-coumarate--CoA ligase OS=Prunus dulcis OX=3755 GN=ALMOND_2B001093 PE=4 SV=1	Prunus dulcis	542	1766	62.5	78.2	0.0
89	TR	A0A6P6VVW6	LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 7 OS=Coffea arabica OX=13443 GN=LOC113727337 PE=4 SV=1	Coffea arabica	548	1765	62.0	79.0	0.0
90	TR	A0A484KVQ8	Uncharacterized protein OS=Cuscuta campestris OX=132261 GN=CCAM_LOCUS9013 PE=4 SV=1	Cuscuta campestris	544	1764	62.5	79.3	0.0
91	TR	A0A5N5FZ22	4-coumarate--CoA ligase-like 7 OS=Pyrus ussuriensis x Pyrus communis OX=2448454 GN=D8674_006377 PE=4 SV=1	Pyrus ussuriensis x Pyrus communis	545	1763	62.2	78.4	0.0
92	TR	A0A484LNG9	Uncharacterized protein OS=Cuscuta campestris OX=132261 GN=CCAM_LOCUS19573 PE=4 SV=1	Cuscuta campestris	544	1763	62.5	79.3	0.0
93	TR	A0A6J1DG10	4-coumarate--CoA ligase-like 7 OS=Momordica charantia OX=3673 GN=LOC111020482 PE=4 SV=1	Momordica charantia	544	1763	61.4	79.1	0.0
94	TR	A0A1U8MBI0	4-coumarate--CoA ligase-like 7 OS=Gossypium hirsutum OX=3635 GN=LOC107936009 PE=4 SV=1	Gossypium hirsutum	545	1762	60.2	78.7	0.0
95	TR	A0A6P5ZK61	4-coumarate--CoA ligase-like 7 isoform X1 OS=Durio zibethinus OX=66656 GN=LOC111301477 PE=4 SV=1	Durio zibethinus	545	1761	62.2	78.0	0.0
96	TR	A0A5B6UEZ0	AMP-binding, conserved site-containing protein OS=Gossypium australe OX=47621 GN=EPI10_003403 PE=4 SV=1	Gossypium australe	926	1761	61.7	77.5	0.0
97	TR	A0A5D2WMR7	4-coumarate--CoA ligase OS=Gossypium mustelinum OX=34275 GN=E1A91_A13G267100v1 PE=4 SV=1	Gossypium mustelinum	545	1759	60.2	78.9	0.0
98	TR	A0A8J6D2G4	4-coumarate--CoA ligase OS=Gossypium anomalum OX=47600 GN=CXB51_009410 PE=4 SV=1	Gossypium anomalum	1125	1758	62.0	77.4	0.0
99	TR	A0A118JTR2	AMP-binding, conserved site-containing protein OS=Cynara cardunculus var. scolymus OX=59895 GN=Ccrd_007234 PE=4 SV=1	Cynara cardunculus var. scolymus	1065	1756	61.6	79.5	0.0
100	TR	A0A3Q7IZU3	Uncharacterized protein OS=Solanum lycopersicum OX=4081 GN=101249706 PE=4 SV=1	Solanum lycopersicum	538	1756	60.6	79.2	0.0
101	TR	A0A1R3K5Z6	AMP-dependent synthetase/ligase OS=Corchorus olitorius OX=93759 GN=COLO4_11060 PE=4 SV=1	Corchorus olitorius	547	1756	60.5	77.2	0.0
102	TR	A0A022PR31	Uncharacterized protein OS=Erythranthe guttata OX=4155 GN=MIMGU_mgv1a004091mg PE=4 SV=1	Erythranthe guttata	544	1753	61.7	78.4	0.0
103	TR	A0A6P6U3U2	4-coumarate--CoA ligase-like 7 OS=Coffea arabica OX=13443 GN=LOC113707236 PE=4 SV=1	Coffea arabica	548	1752	62.2	78.8	0.0
104	TR	W1P4C6	4-coumarate--CoA ligase OS=Amborella trichopoda OX=13333 GN=AMTR_s00076p00189570 PE=4 SV=1	Amborella trichopoda	543	1749	60.6	79.4	0.0
105	TR	A0A6A2ZMC0	4-coumarate--CoA ligase-like 7 OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00110824pilonHSYRG00010 PE=4 SV=1	Hibiscus syriacus	547	1749	61.4	76.9	0.0
106	TR	A0A7J8WV11	4-coumarate--CoA ligase-like 7 OS=Gossypium aridum OX=34290 GN=Goari_020075 PE=4 SV=1	Gossypium aridum	558	1747	60.2	75.8	0.0
107	TR	A0A0A0LXU2	4-coumarate--CoA ligase OS=Cucumis sativus OX=3659 GN=Csa_1G108800 PE=4 SV=1	Cucumis sativus	543	1747	61.4	79.4	0.0
108	TR	A0A1U8LJM9	4-coumarate--CoA ligase-like 7 isoform X1 OS=Gossypium hirsutum OX=3635 GN=LOC107927154 PE=4 SV=1	Gossypium hirsutum	545	1746	61.6	76.9	0.0
109	TR	A0A5B6WUV3	4-coumarate--CoA ligase-like 7 OS=Gossypium australe OX=47621 GN=EPI10_029716 PE=4 SV=1	Gossypium australe	551	1745	59.7	77.9	0.0
110	TR	A0A2P5YCB4	4-coumarate--CoA ligase-like 7 OS=Gossypium barbadense OX=3634 GN=GOBAR_AA07409 PE=4 SV=1	Gossypium barbadense	550	1745	59.6	78.2	0.0
111	TR	A0A8S0R2G8	4-coumarate-- ligase-like 7 OS=Olea europaea subsp. europaea OX=158383 GN=OLEA9_A039066 PE=4 SV=1	Olea europaea subsp. europaea	542	1745	61.2	79.2	0.0
112	TR	A0A8J4VU10	4-coumarate--CoA ligase OS=Castanea mollissima OX=60419 GN=CMV_004399 PE=4 SV=1	Castanea mollissima	780	1744	61.3	79.2	0.0
113	TR	A0A498IK94	4-coumarate--CoA ligase OS=Malus domestica OX=3750 GN=DVH24_005852 PE=4 SV=1	Malus domestica	545	1744	61.8	77.3	0.0
114	TR	A0A7J8NL67	4-coumarate--CoA ligase-like 7 OS=Gossypium lobatum OX=34289 GN=Golob_025232 PE=4 SV=1	Gossypium lobatum	558	1742	60.4	75.8	0.0
115	TR	A0A1S3CIB0	4-coumarate--CoA ligase-like 7 OS=Cucumis melo OX=3656 GN=LOC103501298 PE=4 SV=1	Cucumis melo	543	1741	60.7	79.6	0.0
116	TR	A0A5D3DCX7	4-coumarate--CoA ligase-like 7 OS=Cucumis melo var. makuwa OX=1194695 GN=E5676_scaffold609G00860 PE=4 SV=1	Cucumis melo var. makuwa	543	1741	60.7	79.6	0.0
117	TR	D7M1Y8	Uncharacterized protein OS=Arabidopsis lyrata subsp. lyrata OX=81972 GN=ARALYDRAFT_490166 PE=4 SV=1	Arabidopsis lyrata subsp. lyrata	544	1737	60.1	79.2	0.0
118	TR	A0A151TNK3	4-coumarate--CoA ligase-like 7 OS=Cajanus cajan OX=3821 GN=KK1_022208 PE=4 SV=1	Cajanus cajan	539	1732	60.4	77.2	0.0
119	TR	A0A540N8D7	4-coumarate--CoA ligase OS=Malus baccata OX=106549 GN=C1H46_007129 PE=4 SV=1	Malus baccata	548	1731	61.5	76.9	0.0
120	TR	A0A834SMZ8	4-coumarate--CoA ligase-like 7 OS=Senna tora OX=362788 GN=G2W53_037794 PE=4 SV=1	Senna tora	545	1730	59.5	78.4	0.0
121	TR	R0H9R2	4-coumarate--CoA ligase OS=Capsella rubella OX=81985 GN=CARUB_v10000646mg PE=4 SV=1	Capsella rubella	544	1729	60.3	78.5	0.0
122	TR	A0A8X8YS58	4-coumarate--CoA ligase OS=Salvia splendens OX=180675 GN=SASPL_100055 PE=4 SV=1	Salvia splendens	545	1728	60.5	78.0	0.0
123	TR	A0A5N5JNC7	AMP-dependent synthetase/ligase domain-containing protein OS=Salix brachista OX=2182728 GN=DKX38_027225 PE=4 SV=1	Salix brachista	586	1727	59.2	73.7	0.0
124	TR	A0A1S3TX94	4-coumarate--CoA ligase-like 7 OS=Vigna radiata var. radiata OX=3916 GN=LOC106759615 PE=4 SV=1	Vigna radiata var. radiata	536	1726	60.5	77.0	0.0
125	TR	A0A6D2JSJ2	4-coumarate--CoA ligase OS=Microthlaspi erraticum OX=1685480 GN=MERR_LOCUS34201 PE=4 SV=1	Microthlaspi erraticum	541	1724	61.2	78.1	0.0
126	TR	A0A0S3SGN8	Uncharacterized protein OS=Vigna angularis var. angularis OX=157739 GN=Vigan.07G065800 PE=4 SV=1	Vigna angularis var. angularis	536	1723	60.3	76.8	0.0
127	TR	A0A6J1KDQ6	4-coumarate--CoA ligase-like 7 OS=Cucurbita maxima OX=3661 GN=LOC111493400 PE=4 SV=1	Cucurbita maxima	543	1723	60.8	78.7	0.0
128	TR	A0A834LZG5	4-coumarate--CoA ligase OS=Rhododendron simsii OX=118357 GN=RHSIM_Rhsim01G0211500 PE=4 SV=1	Rhododendron simsii	547	1720	60.4	78.1	0.0
129	SP	Q9M0X9	4-coumarate--CoA ligase-like 7 OS=Arabidopsis thaliana OX=3702 GN=4CLL7 PE=1 SV=1	Arabidopsis thaliana	544	1719	59.7	78.7	0.0
130	TR	V7BVX4	4-coumarate--CoA ligase-like 7 OS=Phaseolus vulgaris OX=3885 GN=PHAVU_005G131400g PE=4 SV=1	Phaseolus vulgaris	536	1717	60.1	77.0	0.0
131	TR	A0A6A1WPJ6	4-coumarate--CoA ligase-like 7 OS=Morella rubra OX=262757 GN=CJ030_MR1G019274 PE=4 SV=1	Morella rubra	595	1717	59.6	75.9	0.0
132	TR	A0A6J0LD18	4-coumarate--CoA ligase-like 7 OS=Raphanus sativus OX=3726 GN=LOC108828363 PE=4 SV=1	Raphanus sativus	538	1716	60.0	78.4	0.0
133	TR	A0A8K0IFP1	4-coumarate--CoA ligase OS=Cocos nucifera OX=13894 GN=COCNU_07G010980 PE=4 SV=1	Cocos nucifera	515	1715	64.1	80.6	0.0
134	TR	A0A078HKZ9	(rape) hypothetical protein OS=Brassica napus OX=3708 GN=BnaC09g21890D PE=4 SV=1	Brassica napus	542	1714	59.9	78.5	0.0
135	TR	A0A6P5TD16	4-coumarate--CoA ligase-like 7 OS=Prunus avium OX=42229 GN=LOC110766263 PE=4 SV=1	Prunus avium	543	1711	61.1	76.8	0.0
136	TR	A0A2G5D130	4-coumarate--CoA ligase OS=Aquilegia coerulea OX=218851 GN=AQUCO_03000071v1 PE=4 SV=1	Aquilegia coerulea	520	1711	64.6	79.5	0.0
137	TR	V4LE97	4-coumarate--CoA ligase OS=Eutrema salsugineum OX=72664 GN=EUTSA_v10028563mg PE=4 SV=1	Eutrema salsugineum	543	1710	60.8	78.1	0.0
138	TR	A0A445ID57	4-coumarate--CoA ligase-like 7 isoform A OS=Glycine soja OX=3848 GN=D0Y65_032420 PE=4 SV=1	Glycine soja	540	1709	59.8	77.7	0.0
139	TR	H2BER4	4-coumarate:CoA ligase OS=Glycine max OX=3847 GN=4CL PE=2 SV=1	Glycine max	540	1709	59.8	77.7	0.0
140	TR	V4KJQ8	4-coumarate--CoA ligase OS=Eutrema salsugineum OX=72664 GN=EUTSA_v10028562mg PE=4 SV=1	Eutrema salsugineum	543	1707	59.7	78.1	0.0
141	TR	A0A072VCC0	4-coumarate:CoA ligase-like protein OS=Medicago truncatula OX=3880 GN=25487863 PE=4 SV=1	Medicago truncatula	539	1707	59.2	77.7	0.0
