"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn1.1283",18,"UDP-Glycosyltransferase superfamily protein [0.883] | UDP-glycosyltransferase 74 F1 [0.117]","UDP-Glycosyltransferase superfamily protein | UDP-glucosyl transferase 88A1 | UDP-glucosyl transferase 74D1 | UDP-glucosyl transferase 74B1 | UDP-glucosyl transferase 75B2 | Uridine diphosphate glycosyltransferase 74E2 | UDP-glucosyl transferase 72B3 | UDP-glucosyltransferase 75B1 | UDP-glycosyltransferase 74 F1 | indole-3-acetate beta-D-glucosyltransferase | UDP-glucosyltransferase 74F2","UDPGT (PF00201) [0.977] | CCT (PF06203) [0.002] | PLAC8 (PF04749) [0.002] | AAA (PF00004) [0.002] | F-box (PF00646) [0.002]","transferase activity, transferring hexosyl groups (GO:0016758) [0.977] | protein binding (GO:0005515) [0.003] | ATP binding (GO:0005524) [0.002]","metabolic process (GO:0008152) [0.977]","2"
"Pn1.13",1139,"Phototropic-responsive NPH3 family protein [1.000]","Phototropic-responsive NPH3 family protein","NPH3 (PF03000) [1.000] | BTB (PF00651) [0.114]","protein binding (GO:0005515) [0.114]","NULL / Representative annotation below 0.1%","6"
"Pn1.1331",727,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.144",4515,"Epimerase family protein SDR39U1 [0.412] | NAD(P)-binding Rossmann-fold superfamily protein [0.353] | Epimerase family protein slr1223 [0.206] | Iron-sulphur cluster biosynthesis family protein [0.029]","NAD(P)-binding Rossmann-fold superfamily protein","DUF1731 (PF08338) [0.882] | Epimerase (PF01370) [0.529] | NAD_binding_10 (PF13460) [0.353] | Fe-S_biosyn (PF01521) [0.029]","coenzyme binding (GO:0050662) [0.529] | catalytic activity (GO:0003824) [0.529]","cellular metabolic process (GO:0044237) [0.529]","6"
"Pn1.1452",7362,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn1.1469",402,"Tubby-like F-box protein 8 [0.369] | Tubby-like F-box protein 6 [0.225] | Tubby-like F-box protein 3 [0.189] | Tubby-like F-box protein 14 [0.099] | Tubby-like F-box protein 10 [0.027] | Tubby-like F-box protein 1 [0.027] | Tubby-like F-box protein 13 [0.027] | Tubby-like F-box protein 7 [0.018] | Tubby-like F-box protein 5 [0.018]","tubby like protein 5 | tubby like protein 10 | tubby like protein 1 | tubby like protein 3","Tub (PF01167) [1.000] | F-box (PF00646) [1.000]","protein binding (GO:0005515) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn1.1486",18,"UDP-Glycosyltransferase superfamily protein [0.883] | UDP-glycosyltransferase 74 F1 [0.117]","UDP-Glycosyltransferase superfamily protein | UDP-glucosyl transferase 88A1 | UDP-glucosyl transferase 74D1 | UDP-glucosyl transferase 74B1 | UDP-glucosyl transferase 75B2 | Uridine diphosphate glycosyltransferase 74E2 | UDP-glucosyl transferase 72B3 | UDP-glucosyltransferase 75B1 | UDP-glycosyltransferase 74 F1 | indole-3-acetate beta-D-glucosyltransferase | UDP-glucosyltransferase 74F2","UDPGT (PF00201) [0.977] | CCT (PF06203) [0.002] | PLAC8 (PF04749) [0.002] | AAA (PF00004) [0.002] | F-box (PF00646) [0.002]","transferase activity, transferring hexosyl groups (GO:0016758) [0.977] | protein binding (GO:0005515) [0.003] | ATP binding (GO:0005524) [0.002]","metabolic process (GO:0008152) [0.977]","2"
"Pn1.1492",18,"UDP-Glycosyltransferase superfamily protein [0.883] | UDP-glycosyltransferase 74 F1 [0.117]","UDP-Glycosyltransferase superfamily protein | UDP-glucosyl transferase 88A1 | UDP-glucosyl transferase 74D1 | UDP-glucosyl transferase 74B1 | UDP-glucosyl transferase 75B2 | Uridine diphosphate glycosyltransferase 74E2 | UDP-glucosyl transferase 72B3 | UDP-glucosyltransferase 75B1 | UDP-glycosyltransferase 74 F1 | indole-3-acetate beta-D-glucosyltransferase | UDP-glucosyltransferase 74F2","UDPGT (PF00201) [0.977] | CCT (PF06203) [0.002] | PLAC8 (PF04749) [0.002] | AAA (PF00004) [0.002] | F-box (PF00646) [0.002]","transferase activity, transferring hexosyl groups (GO:0016758) [0.977] | protein binding (GO:0005515) [0.003] | ATP binding (GO:0005524) [0.002]","metabolic process (GO:0008152) [0.977]","2"
"Pn1.1494",18,"UDP-Glycosyltransferase superfamily protein [0.883] | UDP-glycosyltransferase 74 F1 [0.117]","UDP-Glycosyltransferase superfamily protein | UDP-glucosyl transferase 88A1 | UDP-glucosyl transferase 74D1 | UDP-glucosyl transferase 74B1 | UDP-glucosyl transferase 75B2 | Uridine diphosphate glycosyltransferase 74E2 | UDP-glucosyl transferase 72B3 | UDP-glucosyltransferase 75B1 | UDP-glycosyltransferase 74 F1 | indole-3-acetate beta-D-glucosyltransferase | UDP-glucosyltransferase 74F2","UDPGT (PF00201) [0.977] | CCT (PF06203) [0.002] | PLAC8 (PF04749) [0.002] | AAA (PF00004) [0.002] | F-box (PF00646) [0.002]","transferase activity, transferring hexosyl groups (GO:0016758) [0.977] | protein binding (GO:0005515) [0.003] | ATP binding (GO:0005524) [0.002]","metabolic process (GO:0008152) [0.977]","2"
"Pn1.1509",2624,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF1637)","DUF1637 (PF07847) [1.000]","cysteamine dioxygenase activity (GO:0047800) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn1.1567",9352,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [1.000]","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein","TauD (PF02668) [1.000]","oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","5"
"Pn1.1649",1984,"Gibberellin 2-beta-dioxygenase [0.370] | Gibberellin 2-beta-dioxygenase 1 [0.352] | gibberellin 2-oxidase [0.241] | Gibberellin 2-beta-dioxygenase 2 [0.037]","Arabidopsis thaliana gibberellin 2-oxidase 1 | gibberellin 2-oxidase","DIOX_N (PF14226) [1.000] | 2OG-FeII_Oxy (PF03171) [1.000]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","1"
"Pn1.1684",3806,"3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial [0.649] | 3-hydroxyisobutyryl-CoA hydrolase-like protein 1, mitochondrial [0.351]","ATP-dependent caseinolytic (Clp) protease/crotonase family protein","ECH_C (PF13766) [1.000] | ECH (PF00378) [0.162]","catalytic activity (GO:0003824) [0.162]","metabolic process (GO:0008152) [0.162]","3"
"Pn1.1733",5756,"RNA methyltransferase family protein [0.833] | zinc finger (CCCH-type) family protein [0.167]","RNA methyltransferase family protein","tRNA_U5-meth_tr (PF05958) [0.900] | Methyltransf_31 (PF13847) [0.067]","RNA methyltransferase activity (GO:0008173) [0.900]","RNA processing (GO:0006396) [0.900]","3"
"Pn1.1750",3120,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF640)","DUF640 (PF04852) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn1.1775",124,"late embryogenesis abundant domain-containing protein / LEA domain-containing protein [0.085] | late embryogenesis abundant protein, putative / LEA protein, putative [0.057] | Late embryogenesis abundant (LEA) protein [0.043] | Embryonic protein DC-8 [0.038] | Seed biotin-containing protein SBP65 [0.033] | Late embryogenesis abundant protein 1 [0.028] | diacylglycerol kinase 5 [0.005] | FAR1-related sequence 11 [0.005] | Far-red impaired responsive (FAR1) family protein [0.005] | Late embryogenesis abundant protein (LEA) family protein [0.005]","late embryogenesis abundant domain-containing protein / LEA domain-containing protein | late embryogenesis abundant protein, putative / LEA protein, putative | Late embryogenesis abundant (LEA) protein | embryonic cell protein 63 | Late embryogenesis abundant protein (LEA) family protein","LEA_4 (PF02987) [0.246] | FAR1 (PF03101) [0.019] | TIP_N (PF12457) [0.009]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn1.1781",11082,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NOZZLE (PF08744) [0.176]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn1.1785",2814,"NAD(P)-binding Rossmann-fold superfamily protein [1.000]","NAD(P)-binding Rossmann-fold superfamily protein","adh_short (PF00106) [0.818] | adh_short_C2 (PF13561) [0.182]","oxidoreductase activity (GO:0016491) [0.818]","metabolic process (GO:0008152) [0.818]","2"
"Pn1.1798",9114,"homogentisate 1,2-dioxygenase [1.000]","homogentisate 1,2-dioxygenase","HgmA (PF04209) [1.000] | bZIP_1 (PF00170) [0.043]","homogentisate 1,2-dioxygenase activity (GO:0004411) [1.000] | sequence-specific DNA binding (GO:0043565) [0.043] | sequence-specific DNA binding transcription factor activity (GO:0003700) [0.043]","L-phenylalanine catabolic process (GO:0006559) [1.000] | tyrosine metabolic process (GO:0006570) [1.000] | oxidation-reduction process (GO:0055114) [1.000] | regulation of transcription, DNA-templated (GO:0006355) [0.043]","2"
"Pn1.1799",375,"Cysteine proteinases superfamily protein [1.000]","senescence-associated gene 12","Inhibitor_I29 (PF08246) [1.000] | Peptidase_C1 (PF00112) [1.000]","cysteine-type peptidase activity (GO:0008234) [1.000]","proteolysis (GO:0006508) [1.000]","2"
"Pn1.180",905,"myb domain protein 4 [0.744] | myb domain protein 32 [0.077] | myb domain protein 6 [0.077] | myb domain protein 3 [0.051] | myb domain protein 7 [0.038] | myb domain protein 5 [0.013]","myb domain protein 6 | myb domain protein 4 | myb domain protein 7 | myb domain protein 32 | myb domain protein 3","Myb_DNA-binding (PF00249) [1.000]","chromatin binding (GO:0003682) [1.000]","NULL / Representative annotation below 0.1%","2"
"Pn1.1885",1062,"MATE efflux family protein [1.000]","MATE efflux family protein | root hair specific 2","MatE (PF01554) [1.000]","drug transmembrane transporter activity (GO:0015238) [1.000] | antiporter activity (GO:0015297) [1.000]","drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000]","1"
"Pn1.1942",2134,"Altered inheritance of mitochondria protein 32 [0.981] | Sucrase/ferredoxin-like family protein [0.019]","Sucrase/ferredoxin-like family protein","Suc_Fer-like (PF06999) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.1951",5574,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [1.000]","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","HLH (PF00010) [0.933]","protein dimerization activity (GO:0046983) [0.933]","NULL / Representative annotation below 0.1%","4"
"Pn1.1975",4348,"Plant invertase/pectin methylesterase inhibitor superfamily [1.000]","pectin methylesterase PCR fragment F | Plant invertase/pectin methylesterase inhibitor superfamily","Pectinesterase (PF01095) [1.000] | PMEI (PF04043) [0.971]","pectinesterase activity (GO:0030599) [1.000] | enzyme inhibitor activity (GO:0004857) [0.971]","cell wall modification (GO:0042545) [1.000]","6"
"Pn1.1981",1047,"O-acyltransferase (WSD1-like) family protein [1.000]","O-acyltransferase (WSD1-like) family protein","DUF1298 (PF06974) [0.945] | WES_acyltransf (PF03007) [0.932]","diacylglycerol O-acyltransferase activity (GO:0004144) [1.000]","glycerolipid biosynthetic process (GO:0045017) [0.932]","1"
"Pn1.1985",290,"long-chain acyl-CoA synthetase 2 [0.984] | Long chain acyl-CoA synthetase 1 [0.016]","AMP-dependent synthetase and ligase family protein | long-chain acyl-CoA synthetase 2","AMP-binding (PF00501) [1.000] | AMP-binding_C (PF13193) [0.023] | Glyco_hydro_28 (PF00295) [0.008] | TIR (PF01582) [0.008]","catalytic activity (GO:0003824) [1.000] | polygalacturonase activity (GO:0004650) [0.008] | protein binding (GO:0005515) [0.008]","metabolic process (GO:0008152) [1.000] | carbohydrate metabolic process (GO:0005975) [0.008] | signal transduction (GO:0007165) [0.008]","2"
"Pn1.2045",1802,"response regulator 24 [0.321] | histidine kinase 2 [0.143] | Response regulator MprA [0.089] | histidine kinase 3 [0.089] | response regulator 22 [0.071] | histidine kinase 5 [0.071] | histidine kinase 1 [0.054] | Hybrid signal transduction histidine kinase I [0.054] | Two-component system protein B [0.018] | Signal transduction histidine kinase [0.018] | Hybrid signal transduction histidine kinase A [0.018] | Autoinducer 2 sensor kinase/phosphatase LuxQ [0.018] | Hybrid signal transduction histidine kinase B [0.018] | Response regulator ArlR [0.018]","response regulator 22 | response regulator 24","Response_reg (PF00072) [1.000] | HATPase_c (PF02518) [0.071] | HisKA (PF00512) [0.018]","phosphorelay response regulator activity (GO:0000156) [1.000] | ATP binding (GO:0005524) [0.071] | phosphorelay sensor kinase activity (GO:0000155) [0.018]","phosphorelay signal transduction system (GO:0000160) [1.000] | signal transduction (GO:0007165) [0.018]","1"
"Pn1.2101",3299,"LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 7 growth stages; BEST Arabidopsis thaliana protein match is: nucleolar protein gar2-related . [0.900]","Unkown protein(s) / No TAIR description(s)","NT-C2 (PF10358) [0.875]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn1.2127",2461,"Ankyrin repeat family protein [0.979] | 4-coumarate:CoA ligase 2 [0.021]","Ankyrin repeat family protein","Ank_2 (PF12796) [0.958] | Ank_5 (PF13857) [0.604] | Ank (PF00023) [0.208] | Ank_4 (PF13637) [0.062] | AMP-binding (PF00501) [0.021] | AMP-binding_C (PF13193) [0.021]","protein binding (GO:0005515) [0.208] | catalytic activity (GO:0003824) [0.021]","metabolic process (GO:0008152) [0.021]","6"
"Pn1.2158",8682,"PsbP-like protein 2 [0.833] | Oxygen-evolving enhancer protein 2, chloroplastic [0.125] | PsbP-like protein 2, chloroplastic [0.042]","PsbP-like protein 2","PsbP (PF01789) [1.000]","calcium ion binding (GO:0005509) [1.000]","photosynthesis (GO:0015979) [1.000]","6"
"Pn1.2172",1365,"vesicle-associated membrane protein 725 [0.844] | vesicle-associated membrane protein 726 [0.094] | vesicle-associated membrane protein 721 [0.062]","vesicle-associated membrane protein 726 | vesicle-associated membrane protein 725 | synaptobrevin-related protein 1","Synaptobrevin (PF00957) [1.000] | Longin (PF13774) [1.000]","NULL / Representative annotation below 0.1%","vesicle-mediated transport (GO:0016192) [1.000]","2"
"Pn1.2179",1537,"3-ketoacyl-CoA synthase 12 [0.550] | 3-ketoacyl-CoA synthase 19 [0.283] | 3-ketoacyl-CoA synthase 3 [0.167]","3-ketoacyl-CoA synthase 19 | 3-ketoacyl-CoA synthase 3 | 3-ketoacyl-CoA synthase 12","FAE1_CUT1_RppA (PF08392) [0.967] | ACP_syn_III_C (PF08541) [0.950] | Chal_sti_synt_C (PF02797) [0.017]","transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [1.000] | transferase activity, transferring acyl groups (GO:0016746) [0.017]","fatty acid biosynthetic process (GO:0006633) [0.967] | lipid biosynthetic process (GO:0008610) [0.950]","4"
"Pn1.2184",420,"Major facilitator superfamily protein [1.000]","Major facilitator superfamily protein | peptide transporter 3","PTR2 (PF00854) [1.000]","transporter activity (GO:0005215) [1.000]","transport (GO:0006810) [1.000]","5"
"Pn1.2202",3126,"Serine/threonine-protein kinase SMG1 [0.429] | Transducin/WD40 repeat-like superfamily protein [0.429] | Telomerase Cajal body protein 1 [0.095] | Serine/threonine-protein kinase Smg1 [0.048]","Transducin/WD40 repeat-like superfamily protein","WD40 (PF00400) [0.548] | PI3_PI4_kinase (PF00454) [0.405] | FATC (PF02260) [0.238] | HEAT (PF02985) [0.048] | zf-4CXXC_R1 (PF10497) [0.024] | FAT (PF02259) [0.024]","protein binding (GO:0005515) [0.786] | phosphotransferase activity, alcohol group as acceptor (GO:0016773) [0.405]","NULL / Representative annotation below 0.1%","1"
"Pn1.2220",5221,"NAD(P)-binding Rossmann-fold superfamily protein [0.968] | dihydroflavonol 4-reductase [0.032]","NAD(P)-binding Rossmann-fold superfamily protein","Epimerase (PF01370) [1.000]","coenzyme binding (GO:0050662) [1.000] | catalytic activity (GO:0003824) [1.000]","cellular metabolic process (GO:0044237) [1.000]","1"
"Pn1.2226",4726,"early nodulin-like protein 9 [1.000]","early nodulin-like protein 9","Cu_bind_like (PF02298) [1.000]","copper ion binding (GO:0005507) [1.000] | electron carrier activity (GO:0009055) [1.000]","NULL / Representative annotation below 0.1%","5"
"Pn1.2268",7317,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","Rgp1 (PF08737) [0.962]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn1.2300",2423,"Carbohydrate-binding-like fold [0.812] | Cyclomaltodextrin glucanotransferase [0.125]","Carbohydrate-binding-like fold","CBM_20 (PF00686) [0.938] | Rho_N (PF07498) [0.083]","starch binding (GO:2001070) [0.938]","DNA-templated transcription, termination (GO:0006353) [0.083]","1"
"Pn1.2356",2076,"Mannose-1-phosphate guanyltransferase beta [0.654] | Mannose-1-phosphate guanyltransferase [0.346]","Glucose-1-phosphate adenylyltransferase family protein","NTP_transferase (PF00483) [1.000] | Hexapep (PF00132) [0.962]","nucleotidyltransferase activity (GO:0016779) [1.000]","biosynthetic process (GO:0009058) [1.000]","3"
"Pn1.2390",1491,"Protein kinase superfamily protein [1.000]","Protein kinase superfamily protein","Pkinase (PF00069) [0.852] | Pkinase_Tyr (PF07714) [0.148]","protein kinase activity (GO:0004672) [1.000] | ATP binding (GO:0005524) [0.852]","protein phosphorylation (GO:0006468) [1.000]","1"
"Pn1.2395",9177,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF3741)","DUF4378 (PF14309) [0.957] | DUF3741 (PF12552) [0.826]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.2399",1325,"DOF zinc finger protein 1 [0.615] | DOF zinc finger protein 2 [0.246] | Dof-type zinc finger DNA-binding family protein [0.123] | Dof zinc finger protein DOF2.4 [0.015]","Dof-type zinc finger DNA-binding family protein | OBF-binding protein 3 | DNA binding with one finger 2.4","zf-Dof (PF02701) [1.000] | Menin (PF05053) [0.031]","DNA binding (GO:0003677) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","4"
"Pn1.240",4515,"Epimerase family protein SDR39U1 [0.412] | NAD(P)-binding Rossmann-fold superfamily protein [0.353] | Epimerase family protein slr1223 [0.206] | Iron-sulphur cluster biosynthesis family protein [0.029]","NAD(P)-binding Rossmann-fold superfamily protein","DUF1731 (PF08338) [0.882] | Epimerase (PF01370) [0.529] | NAD_binding_10 (PF13460) [0.353] | Fe-S_biosyn (PF01521) [0.029]","coenzyme binding (GO:0050662) [0.529] | catalytic activity (GO:0003824) [0.529]","cellular metabolic process (GO:0044237) [0.529]","6"
"Pn1.2406",1126,"FYD [0.943] | HSP20-like chaperones superfamily protein [0.057]","HSP20-like chaperones superfamily protein | FYD","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn1.2441",1823,"Ethylene-responsive transcription factor 1 [0.464] | Ethylene-responsive transcription factor 2 [0.357] | Ethylene-responsive transcription factor 5 [0.071] | Ethylene-responsive transcription factor 1A [0.036] | Ethylene-responsive transcription factor 9 [0.036] | Ethylene-responsive transcription factor 11 [0.018] | Ethylene-responsive transcription factor 13 [0.018]","Integrase-type DNA-binding superfamily protein | ethylene response  factor 110 | related to AP2 6l","AP2 (PF00847) [1.000]","sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","2"
"Pn1.2447",5067,"Ubiquitin thioesterase otubain-like [1.000]","Unkown protein(s) / No TAIR description(s)","Peptidase_C65 (PF10275) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn1.2465",272,"F-box protein [0.280] | F-box family protein [0.273] | auxin F-box protein 5 [0.114] | Transport inhibitor response 1-like protein [0.076] | RNI-like superfamily protein [0.076] | F-box/LRR-repeat protein 4 [0.076] | F-box/RNI-like superfamily protein [0.045] | F-box/LRR-repeat protein 2 [0.045] | auxin signaling F-box 2 [0.008] | F-box/LRR-repeat protein 20 [0.008]","auxin signaling F-box 2 | RNI-like superfamily protein | auxin signaling F-box 3 | auxin F-box protein 5 | F-box/RNI-like superfamily protein | GRR1-like protein 1","LRR_6 (PF13516) [0.379] | F-box-like (PF12937) [0.333] | F-box (PF00646) [0.030] | NB-ARC (PF00931) [0.008]","protein binding (GO:0005515) [0.030] | ADP binding (GO:0043531) [0.008]","NULL / Representative annotation below 0.1%","5"
"Pn1.2477",371,"membrane-anchored ubiquitin-fold protein 2 [0.940] | Membrane-anchored ubiquitin-fold protein 4 [0.026] | Membrane-anchored ubiquitin-fold protein 3 [0.026] | Membrane-anchored ubiquitin-fold protein 5 [0.009]","Ubiquitin family protein | membrane-anchored ubiquitin-fold protein 4 precursor | membrane-anchored ubiquitin-fold protein 6 precursor | membrane-anchored ubiquitin-fold protein 5 precursor | membrane-anchored ubiquitin-fold protein 2","Rad60-SLD_2 (PF13881) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","5"
"Pn1.2483",662,"11-beta-hydroxysteroid dehydrogenase 1A [0.611] | 11-beta-hydroxysteroid dehydrogenase-like 5 [0.222] | hydroxysteroid dehydrogenase 1 [0.067] | 11-beta-hydroxysteroid dehydrogenase-like 4A [0.044] | 11-beta-hydroxysteroid dehydrogenase-like 6 [0.022] | hydroxysteroid dehydrogenase 6 [0.022] | hydroxysteroid dehydrogenase 4 [0.011]","hydroxysteroid dehydrogenase 1 | hydroxysteroid dehydrogenase 6 | hydroxysteroid dehydrogenase 5 | hydroxysteroid dehydrogenase 7 | hydroxysteroid dehydrogenase 4","adh_short (PF00106) [0.978]","oxidoreductase activity (GO:0016491) [0.978]","metabolic process (GO:0008152) [0.978]","2"
