"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pn1.1481",11343,"UDP-N-acetylmuramate--L-alanine ligase [1.000]","Unkown protein(s) / No TAIR description(s)","Mur_ligase_C (PF02875) [0.875] | Mur_ligase_M (PF08245) [0.812] | Mur_ligase (PF01225) [0.750]","ATP binding (GO:0005524) [1.000] | ligase activity (GO:0016874) [0.875]","biosynthetic process (GO:0009058) [1.000]",15.3043636582965,-3.90545278136544,0.830472962398255,40.5281895872749,8.23339370021964e-09,2.46634517992464e-08
"Pn1.1509",2624,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF1637)","DUF1637 (PF07847) [1.000]","cysteamine dioxygenase activity (GO:0047800) [1.000]","oxidation-reduction process (GO:0055114) [1.000]",479.21597224163,-1.94259418466748,0.204647301628971,141.489332627031,1.80435197782637e-30,2.50703506739989e-29
"Pn1.1579",1240,"Chaperone protein dnaJ 15 [0.567] | Chaperone protein dnaJ 16 [0.433]","ARG1-like 1 | Chaperone DnaJ-domain superfamily protein","DnaJ (PF00226) [0.970]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",200.090316293853,-2.93485030319619,0.291587829590219,119.627166838471,9.28392635109363e-26,9.76809744003046e-25
"Pn1.1594",8155,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF1218)","DUF1218 (PF06749) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",376.412737106472,-1.40729354564294,0.208578854565349,103.761144911286,2.41344681500723e-22,2.03182956974505e-21
"Pn1.1649",1984,"Gibberellin 2-beta-dioxygenase [0.370] | Gibberellin 2-beta-dioxygenase 1 [0.352] | gibberellin 2-oxidase [0.241] | Gibberellin 2-beta-dioxygenase 2 [0.037]","Arabidopsis thaliana gibberellin 2-oxidase 1 | gibberellin 2-oxidase","DIOX_N (PF14226) [1.000] | 2OG-FeII_Oxy (PF03171) [1.000]","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors (GO:0016706) [1.000] | oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]",190.077306571724,-2.14142964481748,0.327124683364941,145.678671114723,2.25355221061872e-31,3.29500532842822e-30
"Pn1.165",11205,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",12.8982718409471,-5.1254936459941,1.21904584267744,42.471863465795,3.18587946883939e-09,9.92127897162625e-09
"Pn1.1655",380,"Eukaryotic aspartyl protease family protein [0.122] | Transposon Tf2-12 polyprotein [0.035] | Transposon Tf2-11 polyprotein [0.035] | aminoacyl-tRNA ligases;ATP binding;nucleotide binding [0.017] | Transposon Tf2-1 polyprotein [0.017] | Mediator complex, subunit Med10 [0.017] | response regulator 2 [0.009] | Transposon Tf2-7 polyprotein [0.009] | Retrotransposon-derived protein PEG10 [0.009] | Coproporphyrinogen III oxidase [0.009] | response regulator 10 [0.009] | Transposon Ty3-G Gag-Pol polyprotein [0.009] | gamma-irradiation and mitomycin c induced 1 [0.009]","Unkown protein(s) / No TAIR description(s)","Retrotrans_gag (PF03732) [0.391] | Chromo (PF00385) [0.270] | RVP_2 (PF08284) [0.226] | gag-asp_proteas (PF13975) [0.174] | rve (PF00665) [0.052] | RVT_1 (PF00078) [0.043] | Response_reg (PF00072) [0.017] | Myb_DNA-binding (PF00249) [0.017] | Asp_protease_2 (PF13650) [0.017] | Coprogen_oxidas (PF01218) [0.009] | PPR_2 (PF13041) [0.009]","RNA binding (GO:0003723) [0.043] | RNA-directed DNA polymerase activity (GO:0003964) [0.043] | chromatin binding (GO:0003682) [0.017] | phosphorelay response regulator activity (GO:0000156) [0.017] | coproporphyrinogen oxidase activity (GO:0004109) [0.009]","DNA integration (GO:0015074) [0.052] | RNA-dependent DNA replication (GO:0006278) [0.043] | phosphorelay signal transduction system (GO:0000160) [0.017] | porphyrin-containing compound biosynthetic process (GO:0006779) [0.009] | oxidation-reduction process (GO:0055114) [0.009]",67.7706885626382,-2.00531041413837,0.267359309544758,89.8964630796214,2.30566042046193e-19,1.57958980229301e-18
"Pn1.1684",3806,"3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial [0.649] | 3-hydroxyisobutyryl-CoA hydrolase-like protein 1, mitochondrial [0.351]","ATP-dependent caseinolytic (Clp) protease/crotonase family protein","ECH_C (PF13766) [1.000] | ECH (PF00378) [0.162]","catalytic activity (GO:0003824) [0.162]","metabolic process (GO:0008152) [0.162]",39.7115272924311,-5.4518039104393,0.782962642846506,144.683513375519,3.69398402322563e-31,5.33180433766189e-30
"Pn1.1721",58,"Leucine-rich repeat transmembrane protein kinase [1.000]","Leucine-rich repeat transmembrane protein kinase | receptor-like kinase in flowers 1","Malectin (PF11721) [0.935] | Pkinase_Tyr (PF07714) [0.707] | LRR_1 (PF00560) [0.438] | Pkinase (PF00069) [0.265] | LRR_8 (PF13855) [0.250] | LRR_6 (PF13516) [0.114] | LRR_4 (PF12799) [0.037] | LRR_7 (PF13504) [0.009] | RVT_3 (PF13456) [0.003] | RVT_2 (PF07727) [0.003]","protein kinase activity (GO:0004672) [0.948] | protein binding (GO:0005515) [0.438] | ATP binding (GO:0005524) [0.265]","protein phosphorylation (GO:0006468) [0.948]",137.447133844708,-2.45893483305979,0.42944406215159,40.0880418165917,1.02069102682667e-08,3.03128188639064e-08
"Pn1.1750",3120,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF640)","DUF640 (PF04852) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",537.860863236778,-1.45661846675221,0.258362770458321,380.352771365109,3.98672073346823e-82,4.26039348690583e-80
"Pn1.1781",11082,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NOZZLE (PF08744) [0.176]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",124.16293468695,-3.09596865882489,0.268448324712033,212.157992927718,9.94900625356462e-46,3.04701015212983e-44
"Pn1.1885",1062,"MATE efflux family protein [1.000]","MATE efflux family protein | root hair specific 2","MatE (PF01554) [1.000]","drug transmembrane transporter activity (GO:0015238) [1.000] | antiporter activity (GO:0015297) [1.000]","drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000]",145.762654558791,-2.67499027893792,0.350880242305252,176.97528255406,3.96858385239236e-38,8.5963691631744e-37
"Pn1.1886",1062,"MATE efflux family protein [1.000]","MATE efflux family protein | root hair specific 2","MatE (PF01554) [1.000]","drug transmembrane transporter activity (GO:0015238) [1.000] | antiporter activity (GO:0015297) [1.000]","drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000]",172.700122088952,-1.39702904693958,0.555183611538593,34.6875342649475,1.4182188532768e-07,3.78668642189455e-07
"Pn1.1895",558,"Glucan endo-1,3-beta-glucosidase 13 [0.784] | Glucan endo-1,3-beta-glucosidase 12 [0.134] | Glucan endo-1,3-beta-glucosidase 3 [0.041] | Glucan endo-1,3-beta-glucosidase 14 [0.021] | Glucan endo-1,3-beta-glucosidase 11 [0.010] | Glucan endo-1,3-beta-glucosidase 7 [0.010]","O-Glycosyl hydrolases family 17 protein","Glyco_hydro_17 (PF00332) [1.000] | X8 (PF07983) [0.948] | SWIB (PF02201) [0.010]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000] | protein binding (GO:0005515) [0.010]","carbohydrate metabolic process (GO:0005975) [1.000]",92.9642496542034,-2.19104088182913,0.373544912073693,43.833322250347,1.6373683380321e-09,5.22744830599378e-09
"Pn1.1929",7868,"Ufm1-specific protease 2 [0.920] | Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2 [0.080]","Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2","Peptidase_C78 (PF07910) [0.960] | zf-RING_2 (PF13639) [0.040]","protein binding (GO:0005515) [0.040] | zinc ion binding (GO:0008270) [0.040]","NULL / Representative annotation below 0.1%",208.68878870663,-4.03327409627372,0.396820111288979,105.560564213413,9.89835184734769e-23,8.54918121735789e-22
"Pn1.1949",5179,"Histone-lysine N-methyltransferase 2A [0.355] | Histone-lysine N-methyltransferase trithorax [0.355] | trithorax-like protein 2 [0.097] | Histone-lysine N-methyltransferase ATX1 [0.065] | Histone-lysine N-methyltransferase ATX2 [0.032] | Protein Jade-1 [0.032] | Histone-lysine N-methyltransferase, H3 lysine-4 specific [0.032] | Histone-lysine N-methyltransferase 2B [0.032]","homologue of trithorax | trithorax-like protein 2","PWWP (PF00855) [0.871] | FYRN (PF05964) [0.839] | PHD_2 (PF13831) [0.839] | zf-HC5HC2H_2 (PF13832) [0.839] | SET (PF00856) [0.806] | FYRC (PF05965) [0.806] | zf-HC5HC2H (PF13771) [0.032] | LBR_tudor (PF09465) [0.032]","protein binding (GO:0005515) [0.806]","NULL / Representative annotation below 0.1%",286.136672526249,-2.22739033280539,0.228582701334277,120.961648790679,4.78985609565479e-26,5.11380222457307e-25
"Pn1.1973",33,"Pentatricopeptide repeat-containing protein [0.985] | Pentatricopeptide repeat (PPR) superfamily protein [0.007] | pentatricopeptide (PPR) repeat-containing protein [0.004] | nascent polypeptide-associated complex subunit alpha-like protein 3 [0.002] | Pentatricopeptide repeat (PPR-like) superfamily protein [0.002]","Tetratricopeptide repeat (TPR)-like superfamily protein | Pentatricopeptide repeat (PPR) superfamily protein | pentatricopeptide (PPR) repeat-containing protein","PPR_2 (PF13041) [0.987] | PPR (PF01535) [0.987] | DYW_deaminase (PF14432) [0.737] | PPR_3 (PF13812) [0.272] | PPR_1 (PF12854) [0.041] | TPR_7 (PF13176) [0.004] | NAC (PF01849) [0.004] | Pkinase (PF00069) [0.004] | DUF1685 (PF07939) [0.002] | GRAS (PF03514) [0.002] | ABC_tran (PF00005) [0.002] | Ribosomal_60s (PF00428) [0.002] | p450 (PF00067) [0.002] | UBA (PF00627) [0.002] | DUF566 (PF04484) [0.002] | Dirigent (PF03018) [0.002] | ATP-synt_G (PF04718) [0.002] | DUF177 (PF02620) [0.002] | RVT_3 (PF13456) [0.002] | AAA (PF00004) [0.002] | Ribosomal_L10 (PF00466) [0.002] | O-FucT (PF10250) [0.002] | RINGv (PF12906) [0.002] | DUF3537 (PF12056) [0.002] | PP2C (PF00481) [0.002] | zf-RVT (PF13966) [0.002] | Peptidase_S10 (PF00450) [0.002] | Cu_bind_like (PF02298) [0.002]","ATP binding (GO:0005524) [0.009] | protein binding (GO:0005515) [0.007] | protein kinase activity (GO:0004672) [0.004] | iron ion binding (GO:0005506) [0.002] | serine-type carboxypeptidase activity (GO:0004185) [0.002] | copper ion binding (GO:0005507) [0.002] | electron carrier activity (GO:0009055) [0.002] | catalytic activity (GO:0003824) [0.002] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [0.002] | heme binding (GO:0020037) [0.002] | ATPase activity (GO:0016887) [0.002] | hydrogen ion transmembrane transporter activity (GO:0015078) [0.002] | structural constituent of ribosome (GO:0003735) [0.002] | zinc ion binding (GO:0008270) [0.002]","protein phosphorylation (GO:0006468) [0.004] | ATP synthesis coupled proton transport (GO:0015986) [0.002] | ribosome biogenesis (GO:0042254) [0.002] | proteolysis (GO:0006508) [0.002] | translational elongation (GO:0006414) [0.002] | oxidation-reduction process (GO:0055114) [0.002]",61.7574371380135,-3.20370860435103,0.419435854004773,79.3528963785694,4.2250514792242e-17,2.45746691726305e-16
"Pn1.1981",1047,"O-acyltransferase (WSD1-like) family protein [1.000]","O-acyltransferase (WSD1-like) family protein","DUF1298 (PF06974) [0.945] | WES_acyltransf (PF03007) [0.932]","diacylglycerol O-acyltransferase activity (GO:0004144) [1.000]","glycerolipid biosynthetic process (GO:0045017) [0.932]",56.3060727273937,-2.9714000124666,0.443882212097128,207.774376955124,8.81411467203978e-45,2.57330966317372e-43
"Pn1.2045",1802,"response regulator 24 [0.321] | histidine kinase 2 [0.143] | Response regulator MprA [0.089] | histidine kinase 3 [0.089] | response regulator 22 [0.071] | histidine kinase 5 [0.071] | histidine kinase 1 [0.054] | Hybrid signal transduction histidine kinase I [0.054] | Two-component system protein B [0.018] | Signal transduction histidine kinase [0.018] | Hybrid signal transduction histidine kinase A [0.018] | Autoinducer 2 sensor kinase/phosphatase LuxQ [0.018] | Hybrid signal transduction histidine kinase B [0.018] | Response regulator ArlR [0.018]","response regulator 22 | response regulator 24","Response_reg (PF00072) [1.000] | HATPase_c (PF02518) [0.071] | HisKA (PF00512) [0.018]","phosphorelay response regulator activity (GO:0000156) [1.000] | ATP binding (GO:0005524) [0.071] | phosphorelay sensor kinase activity (GO:0000155) [0.018]","phosphorelay signal transduction system (GO:0000160) [1.000] | signal transduction (GO:0007165) [0.018]",54.8537472057946,-5.75038220649106,0.707247427505154,152.656803354576,7.04063693992397e-33,1.12285805007862e-31
"Pn1.2071",1802,"response regulator 24 [0.321] | histidine kinase 2 [0.143] | Response regulator MprA [0.089] | histidine kinase 3 [0.089] | response regulator 22 [0.071] | histidine kinase 5 [0.071] | histidine kinase 1 [0.054] | Hybrid signal transduction histidine kinase I [0.054] | Two-component system protein B [0.018] | Signal transduction histidine kinase [0.018] | Hybrid signal transduction histidine kinase A [0.018] | Autoinducer 2 sensor kinase/phosphatase LuxQ [0.018] | Hybrid signal transduction histidine kinase B [0.018] | Response regulator ArlR [0.018]","response regulator 22 | response regulator 24","Response_reg (PF00072) [1.000] | HATPase_c (PF02518) [0.071] | HisKA (PF00512) [0.018]","phosphorelay response regulator activity (GO:0000156) [1.000] | ATP binding (GO:0005524) [0.071] | phosphorelay sensor kinase activity (GO:0000155) [0.018]","phosphorelay signal transduction system (GO:0000160) [1.000] | signal transduction (GO:0007165) [0.018]",28.3627936549142,-4.94491116174794,0.77894077543656,93.2727655361024,4.3398758524092e-20,3.12601688440426e-19
"Pn1.209",4016,"Peroxidase superfamily protein [1.000]","Peroxidase superfamily protein","peroxidase (PF00141) [1.000]","peroxidase activity (GO:0004601) [1.000] | heme binding (GO:0020037) [1.000]","oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000]",429.603299885866,-1.44646102386112,0.512333768796104,112.688854453607,2.89474694266967e-24,2.76685847061956e-23
"Pn1.2101",3299,"LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 7 growth stages; BEST Arabidopsis thaliana protein match is: nucleolar protein gar2-related . [0.900]","Unkown protein(s) / No TAIR description(s)","NT-C2 (PF10358) [0.875]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",440.287996675115,-1.70853271899613,0.18318468558143,145.805674994426,2.11580561685999e-31,3.09762755296228e-30
"Pn1.2104",6956,"Malate synthase, glyoxysomal [1.000]","malate synthase","Malate_synthase (PF01274) [1.000]","malate synthase activity (GO:0004474) [1.000]","glyoxylate cycle (GO:0006097) [1.000]",42.145991875605,-3.59828329747631,0.544187622161536,117.630261636497,2.49895761489252e-25,2.57096050981053e-24
"Pn1.2105",6956,"Malate synthase, glyoxysomal [1.000]","malate synthase","Malate_synthase (PF01274) [1.000]","malate synthase activity (GO:0004474) [1.000]","glyoxylate cycle (GO:0006097) [1.000]",35.0331638087802,-3.71496968556905,0.590935615592108,109.912553974295,1.14592074165203e-23,1.05580532801402e-22
"Pn1.2108",4421,"Ferredoxin--NADP reductase [0.912] | Ferredoxin--NADP reductase, chloroplastic [0.088]","ferredoxin-NADP(+)-oxidoreductase 2 | ferredoxin-NADP(+)-oxidoreductase 1","NAD_binding_1 (PF00175) [1.000] | FAD_binding_6 (PF00970) [0.912] | DUF615 (PF04751) [0.029]","oxidoreductase activity (GO:0016491) [1.000]","oxidation-reduction process (GO:0055114) [1.000]",20.6673580843318,-2.79344972851854,0.53974991887343,48.4280464840689,1.7265418477388e-10,6.00379639277854e-10
"Pn1.2133",3713,"ATP-dependent RNA helicase has1 [0.553] | ATP-dependent RNA helicase HAS1 [0.421] | WD repeat-containing protein 55 [0.026]","DEA(D/H)-box RNA helicase family protein | P-loop containing nucleoside triphosphate hydrolases superfamily protein","DEAD (PF00270) [0.974] | Helicase_C (PF00271) [0.974] | DUF4217 (PF13959) [0.947] | WD40 (PF00400) [0.079]","ATP-dependent helicase activity (GO:0008026) [0.974] | ATP binding (GO:0005524) [0.974] | nucleic acid binding (GO:0003676) [0.974] | helicase activity (GO:0004386) [0.974] | protein binding (GO:0005515) [0.079]","NULL / Representative annotation below 0.1%",17.0892809472665,-6.73918670316016,1.24604098975462,66.966095531011,1.90419126273006e-14,9.06556242436246e-14
"Pn1.2141",3713,"ATP-dependent RNA helicase has1 [0.553] | ATP-dependent RNA helicase HAS1 [0.421] | WD repeat-containing protein 55 [0.026]","DEA(D/H)-box RNA helicase family protein | P-loop containing nucleoside triphosphate hydrolases superfamily protein","DEAD (PF00270) [0.974] | Helicase_C (PF00271) [0.974] | DUF4217 (PF13959) [0.947] | WD40 (PF00400) [0.079]","ATP-dependent helicase activity (GO:0008026) [0.974] | ATP binding (GO:0005524) [0.974] | nucleic acid binding (GO:0003676) [0.974] | helicase activity (GO:0004386) [0.974] | protein binding (GO:0005515) [0.079]","NULL / Representative annotation below 0.1%",10.3241886810794,-4.01968849672814,0.977711601567197,47.5112530724046,2.70563451550769e-10,9.24411428103669e-10
"Pn1.2150",3713,"ATP-dependent RNA helicase has1 [0.553] | ATP-dependent RNA helicase HAS1 [0.421] | WD repeat-containing protein 55 [0.026]","DEA(D/H)-box RNA helicase family protein | P-loop containing nucleoside triphosphate hydrolases superfamily protein","DEAD (PF00270) [0.974] | Helicase_C (PF00271) [0.974] | DUF4217 (PF13959) [0.947] | WD40 (PF00400) [0.079]","ATP-dependent helicase activity (GO:0008026) [0.974] | ATP binding (GO:0005524) [0.974] | nucleic acid binding (GO:0003676) [0.974] | helicase activity (GO:0004386) [0.974] | protein binding (GO:0005515) [0.079]","NULL / Representative annotation below 0.1%",20.2038818770319,-5.13235540012618,1.27695805738474,28.8262452829746,2.43581762333629e-06,5.74177066299381e-06
"Pn1.2185",1870,"Cyclopropane-fatty-acyl-phospholipid synthase [0.745] | Cyclopropane mycolic acid synthase 1 [0.255]","Cyclopropane-fatty-acyl-phospholipid synthase","CMAS (PF02353) [0.982] | NAD_binding_8 (PF13450) [0.400] | Amino_oxidase (PF01593) [0.109]","oxidoreductase activity (GO:0016491) [0.109]","lipid biosynthetic process (GO:0008610) [0.982] | oxidation-reduction process (GO:0055114) [0.109]",92.1630367746072,-1.66761591012234,0.457827182222528,24.2082991826186,2.25994480189065e-05,4.79757073736896e-05
"Pn1.2191",12783,"sporocyteless (SPL) [0.111]","Unkown protein(s) / No TAIR description(s)","NOZZLE (PF08744) [0.667]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%",12.9351922551404,-5.18530167916185,1.11064712501775,86.9246362048232,1.00225748267167e-18,6.53879990507516e-18
"Pn1.2202",3126,"Serine/threonine-protein kinase SMG1 [0.429] | Transducin/WD40 repeat-like superfamily protein [0.429] | Telomerase Cajal body protein 1 [0.095] | Serine/threonine-protein kinase Smg1 [0.048]","Transducin/WD40 repeat-like superfamily protein","WD40 (PF00400) [0.548] | PI3_PI4_kinase (PF00454) [0.405] | FATC (PF02260) [0.238] | HEAT (PF02985) [0.048] | zf-4CXXC_R1 (PF10497) [0.024] | FAT (PF02259) [0.024]","protein binding (GO:0005515) [0.786] | phosphotransferase activity, alcohol group as acceptor (GO:0016773) [0.405]","NULL / Representative annotation below 0.1%",40.6230710727892,-3.34474604225622,0.472751214518239,141.809079495714,1.53947450474316e-30,2.14500051430233e-29
"Pn1.2220",5221,"NAD(P)-binding Rossmann-fold superfamily protein [0.968] | dihydroflavonol 4-reductase [0.032]","NAD(P)-binding Rossmann-fold superfamily protein","Epimerase (PF01370) [1.000]","coenzyme binding (GO:0050662) [1.000] | catalytic activity (GO:0003824) [1.000]","cellular metabolic process (GO:0044237) [1.000]",2617.99531361599,-9.57665125137643,0.471960080382327,1475.03946404082,1.53422205003082e-319,5.75205414453728e-316
"Pn1.2283",8,"G-type lectin S-receptor-like serine/threonine-protein kinase [0.815] | S-locus lectin protein kinase family protein [0.090] | receptor kinase 3 [0.033] | receptor kinase 2 [0.026] | receptor-like protein kinase 4 [0.013] | receptor kinase 1 [0.010] | cysteine-rich RLK (RECEPTOR-like protein kinase) 10 [0.003] | Protein kinase superfamily protein [0.003] | Cysteine-rich receptor-like protein kinase 10 [0.002] | lectin protein kinase family protein [0.002] | cysteine-rich RLK (RECEPTOR-like protein kinase) 8 [0.002] | cysteine-rich RLK (RECEPTOR-like protein kinase) 19 [0.001]","S-locus lectin protein kinase family protein | receptor kinase 1 | receptor kinase 3 | S-domain-1 13 | S-locus protein kinase, putative | protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding | receptor kinase 2 | S-domain-1 29","S_locus_glycop (PF00954) [0.952] | PAN_2 (PF08276) [0.924] | B_lectin (PF01453) [0.909] | Pkinase_Tyr (PF07714) [0.650] | Pkinase (PF00069) [0.296] | DUF3403 (PF11883) [0.283] | DUF3660 (PF12398) [0.024] | GUB_WAK_bind (PF13947) [0.002] | RVT_2 (PF07727) [0.002] | FAD_binding_4 (PF01565) [0.001] | MatE (PF01554) [0.001] | zf-CCHC (PF00098) [0.001] | PPR_2 (PF13041) [0.001] | Retrotrans_gag (PF03732) [0.001] | Lectin_legB (PF00139) [0.001] | PPR (PF01535) [0.001] | PAN_1 (PF00024) [0.001] | Stress-antifung (PF01657) [0.001] | RVP_2 (PF08284) [0.001]","protein kinase activity (GO:0004672) [0.922] | ATP binding (GO:0005524) [0.296] | protein serine/threonine kinase activity (GO:0004674) [0.286] | polysaccharide binding (GO:0030247) [0.002] | nucleic acid binding (GO:0003676) [0.001] | flavin adenine dinucleotide binding (GO:0050660) [0.001] | drug transmembrane transporter activity (GO:0015238) [0.001] | UDP-N-acetylmuramate dehydrogenase activity (GO:0008762) [0.001] | antiporter activity (GO:0015297) [0.001] | carbohydrate binding (GO:0030246) [0.001] | oxidoreductase activity (GO:0016491) [0.001] | zinc ion binding (GO:0008270) [0.001]","recognition of pollen (GO:0048544) [0.952] | protein phosphorylation (GO:0006468) [0.922] | drug transmembrane transport (GO:0006855) [0.001] | oxidation-reduction process (GO:0055114) [0.001] | transmembrane transport (GO:0055085) [0.001]",23.3089189260591,-5.5396366479134,1.15706587175593,47.7285770440826,2.43236989122539e-10,8.34724038186348e-10
