,Orthogroup.ID,AHRD.Descriptions,TAIR.Gene.s..Descriptions,Pfam.Domains,GO.Molecular.Functions,GO.Biological.Processes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pn16.1236,706,4-coumarate:CoA ligase 2 [0.360] | 4-coumarate--CoA ligase-like 5 [0.221] | 4-coumarate:CoA ligase 3 [0.140] | 4-coumarate--CoA ligase-like 7 [0.093] | 4-coumarate--CoA ligase-like 4 [0.070] | 4-coumarate--CoA ligase-like 1 [0.058] | 4-coumarate--CoA ligase-like 2 [0.023] | 4-coumarate--CoA ligase-like 3 [0.012] | 4-coumarate--CoA ligase-like 8 [0.012] | 4-coumarate:CoA ligase 5 [0.012],AMP-dependent synthetase and ligase family protein | OPC-8:0 CoA ligase1,AMP-binding (PF00501) [1.000] | AMP-binding_C (PF13193) [0.942] | RVT_3 (PF13456) [0.012] | peroxidase (PF00141) [0.012] | Ist1 (PF03398) [0.012],catalytic activity (GO:0003824) [1.000] | peroxidase activity (GO:0004601) [0.012] | heme binding (GO:0020037) [0.012],metabolic process (GO:0008152) [1.000] | oxidation-reduction process (GO:0055114) [0.012] | response to oxidative stress (GO:0006979) [0.012],191.239106217092,-7.50726525883166,0.657896331670593,338.875827133679,3.821953673294E-73,3.17836775899255E-71
Pn2.2373,95,Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.797] | ATP-dependent Clp protease proteolytic subunit [0.091] | terpenoid synthase 13 [0.037] | ATP-dependent Clp protease proteolytic subunit 2 [0.017] | (E)-beta-farnesene synthase [0.008] | Terpenoid synthase 18 [0.008] | Terpenoid synthase 25 [0.008] | Terpenoid synthase 22 [0.004] | Terpenoid synthase 6 [0.004] | Terpenoid synthase 17 [0.004] | ATP-dependent Clp protease proteolytic subunit 1 [0.004] | Terpenoid synthase 20 [0.004] | Terpenoid synthase 30 [0.004] | Terpenoid synthase 19 [0.004] | Terpenoid synthase 29 [0.004],Terpenoid cyclases/Protein prenyltransferases superfamily protein | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | terpene synthase 21,Terpene_synth_C (PF03936) [0.888] | Terpene_synth (PF01397) [0.838] | CLP_protease (PF00574) [0.116] | gag_pre-integrs (PF13976) [0.004] | UBN2 (PF14223) [0.004] | peroxidase (PF00141) [0.004],magnesium ion binding (GO:0000287) [0.888] | lyase activity (GO:0016829) [0.888] | terpene synthase activity (GO:0010333) [0.888] | peroxidase activity (GO:0004601) [0.004] | heme binding (GO:0020037) [0.004],metabolic process (GO:0008152) [0.838] | oxidation-reduction process (GO:0055114) [0.004] | response to oxidative stress (GO:0006979) [0.004],678.030777519854,-9.12397376436746,0.677586858613664,336.259286257549,1.40859707939835E-72,1.14805765583572E-70
Pn17.1121,2288,"Granule-bound starch synthase 1, chloroplastic/amyloplastic [0.900] | Granule-bound starch synthase 1b, chloroplastic/amyloplastic [0.100]",UDP-Glycosyltransferase superfamily protein,Glyco_transf_5 (PF08323) [1.000] | Glycos_transf_1 (PF00534) [0.960],NULL / Representative annotation below 0.1%,biosynthetic process (GO:0009058) [0.960],343.247763089481,-9.28251325342505,0.839607762509074,322.897128163002,1.1005010500242E-69,8.23819338445735E-68
Pn11.266,304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10",Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953],lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992],metabolic process (GO:0008152) [0.953],626.328592030212,-5.90960692913861,0.464505210601534,314.783793643446,6.2789511284194E-68,4.41390642605607E-66
Pn17.571,1897,Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018],alpha/beta-Hydrolases superfamily protein,FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018],calcium ion binding (GO:0005509) [0.018],NULL / Representative annotation below 0.1%,239.719532555177,-5.87628616084656,0.471920318967062,308.188649909147,1.68048929316219E-66,1.11842031507939E-64
Pn3.2282,4201,Ornithine decarboxylase [0.971] | HXXXD-type acyl-transferase family protein [0.029],Unkown protein(s) / No TAIR description(s),Orn_DAP_Arg_deC (PF00278) [0.971] | Orn_Arg_deC_N (PF02784) [0.971] | Transferase (PF02458) [0.057],"catalytic activity (GO:0003824) [0.971] | transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747) [0.057]",NULL / Representative annotation below 0.1%,3434.90030754972,-9.47263367684283,0.59335577841183,306.761165988213,3.42301111151784E-66,2.26139897073697E-64
Pn11.536,36699,Unkown protein / Representative AHRD below 0.1%,Protein of Unknown Function (DUF239),DUF239 (PF03080) [1.000] | DUF4409 (PF14365) [1.000],NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1210.25605441833,-12.2012475255977,1.17333795932296,298.580441288132,2.01836173834338E-64,1.2507726530037E-62
Pn8.615,96,"Non-specific lipid-transfer protein [0.213] | Non-specific lipid-transfer protein 1 [0.149] | Non-specific lipid-transfer protein 2 [0.123] | Non-specific lipid-transfer protein 3 [0.123] | Non-specific lipid-transfer protein A [0.098] | Non-specific lipid-transfer protein B [0.064] | Non-specific lipid-transfer protein 8 [0.064] | Non-specific lipid-transfer protein 4 [0.043] | Non-specific lipid-transfer protein 6 [0.030] | Non-specific lipid-transfer protein 11 [0.026] | Non-specific lipid-transfer protein 10 [0.017] | Non-specific lipid-transfer protein 12 [0.009] | Non-specific lipid-transfer protein 2B [0.009] | Non-specific lipid-transfer protein C, cotyledon-specific isoform [0.009] | Non-specific lipid-transfer protein 5 [0.009] | Non-specific lipid-transfer protein 2A [0.004] | Non-specific lipid-transfer protein P5 [0.004] | Non-specific lipid-transfer protein 7 [0.004] | Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [0.004]",Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein | lipid transfer protein 1 | lipid transfer protein 3 | lipid transfer protein | lipid transfer protein 12 | lipid transfer protein 6 | lipid transfer protein 5 | lipid transfer protein 4 | lipid transfer protein 2,Tryp_alpha_amyl (PF00234) [0.821] | LTP_2 (PF14368) [0.136],NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,867.731583677475,-11.7422533367101,1.1733903333163,290.984078032688,8.89139394992119E-63,5.23591379328474E-61
Pn3.1419,5118,Pectin lyase-like superfamily protein [1.000],Pectin lyase-like superfamily protein,Glyco_hydro_28 (PF00295) [1.000] | Complex1_LYR (PF05347) [0.032],polygalacturonase activity (GO:0004650) [1.000],carbohydrate metabolic process (GO:0005975) [1.000],419.617953888861,-3.46367479475453,0.271780915906893,290.772435269963,9.88031006884591E-63,5.8030698433078E-61
Pn16.847,8488,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,388.748069709015,-5.19809475166958,0.342381920249432,290.443585885414,1.16395251381003E-62,6.78318958501468E-61
Pn1.364,1897,Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018],alpha/beta-Hydrolases superfamily protein,FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018],calcium ion binding (GO:0005509) [0.018],NULL / Representative annotation below 0.1%,160.871511274813,-5.25599522354544,0.441585730485429,289.478957399131,1.88227993947401E-62,1.08152968680633E-60
Pn11.251,304,"terpene synthase 03 [0.496] | terpene synthase 10 [0.205] | Terpenoid cyclases/Protein prenyltransferases superfamily protein [0.173] | terpene synthase 02 [0.110] | Isoprene synthase, chloroplastic [0.008] | 1,8-cineole synthase 1, chloroplastic [0.008]","terpene synthase-like sequence-1,8-cineole | terpene synthase 02 | terpene synthase 03 | Terpenoid cyclases/Protein prenyltransferases superfamily protein | terpene synthase 10",Terpene_synth_C (PF03936) [0.992] | Terpene_synth (PF01397) [0.953],lyase activity (GO:0016829) [1.000] | terpene synthase activity (GO:0010333) [1.000] | magnesium ion binding (GO:0000287) [0.992],metabolic process (GO:0008152) [0.953],3574.59359047276,-5.15834389864337,0.444884820722678,283.857290053968,3.09873686742256E-61,1.72326540995477E-59
Pn6.2605,2165,Copper amine oxidase family protein [1.000],Copper amine oxidase family protein,Cu_amine_oxid (PF01179) [1.000] | Cu_amine_oxidN3 (PF02728) [0.980] | Cu_amine_oxidN2 (PF02727) [0.843],quinone binding (GO:0048038) [1.000] | primary amine oxidase activity (GO:0008131) [1.000] | copper ion binding (GO:0005507) [1.000],amine metabolic process (GO:0009308) [1.000] | oxidation-reduction process (GO:0055114) [1.000],112.201382480836,-5.81130506692762,0.510914671315774,279.829797528369,2.30495436622673E-60,1.25241421420943E-58
Pn21.1229,2366,"Bifunctional aspartokinase/homoserine dehydrogenase 1 [0.837] | Bifunctional aspartokinase/homoserine dehydrogenase 1, chloroplastic [0.061] | Bifunctional aspartokinase/homoserine dehydrogenase 2, chloroplastic [0.041] | Pentatricopeptide repeat (PPR) superfamily protein [0.020] | Bifunctional aspartokinase/homoserine dehydrogenase [0.020] | aspartate kinase 3 [0.020]",aspartate kinase 3 | Aspartate kinase family protein | aspartate kinase 1,AA_kinase (PF00696) [0.980] | ACT (PF01842) [0.592] | PPR (PF01535) [0.020] | Methyltransf_7 (PF03492) [0.020] | PPR_2 (PF13041) [0.020] | PPR_1 (PF12854) [0.020],amino acid binding (GO:0016597) [0.592] | methyltransferase activity (GO:0008168) [0.020],metabolic process (GO:0008152) [0.592],890.557129881742,-4.61160165363375,0.30923721295012,257.392680802293,1.64742343623552E-55,7.57074365640818E-54
Pn1.360,1897,Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018],alpha/beta-Hydrolases superfamily protein,FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018],calcium ion binding (GO:0005509) [0.018],NULL / Representative annotation below 0.1%,435.911494530953,-8.80985668686781,0.767231353815345,248.17451223143,1.62423006208383E-53,6.84855768445657E-52
Pn1.361,1897,Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018],alpha/beta-Hydrolases superfamily protein,FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018],calcium ion binding (GO:0005509) [0.018],NULL / Representative annotation below 0.1%,435.911494530953,-8.80985668686781,0.767231353815345,248.17451223143,1.62423006208383E-53,6.84855768445657E-52
Pn33.249,2510,"Carnitinyl-CoA dehydratase [0.340] | indole-3-butyric acid response 10 [0.298] | 3-hydroxyacyl-CoA dehydratase 1 [0.149] | delta(3), delta(2)-enoyl CoA isomerase 1 [0.128] | Fatty acid oxidation complex subunit alpha [0.064]","delta(3), delta(2)-enoyl CoA isomerase 1 | indole-3-butyric acid response 10 | 3-hydroxyacyl-CoA dehydratase 1",ECH (PF00378) [0.979] | PIF1 (PF05970) [0.021] | Myb_DNA-bind_3 (PF12776) [0.021],catalytic activity (GO:0003824) [0.979] | DNA helicase activity (GO:0003678) [0.021],metabolic process (GO:0008152) [0.979] | telomere maintenance (GO:0000723) [0.021] | DNA repair (GO:0006281) [0.021],1033.4069513113,-3.98732123206445,0.30033718908293,246.269277879647,4.19472828082718E-53,1.73936244566281E-51
Pn16.934,824,3-oxoacyl-[acyl-carrier-protein] synthase 2 [0.679] | DNA replication licensing factor MCM3 homolog [0.123] | DNA replication licensing factor MCM3 homolog 3 [0.074] | DNA replication licensing factor MCM3 homolog 2 [0.062] | DNA replication licensing factor MCM3 homolog 1 [0.062],3-ketoacyl-acyl carrier protein synthase I | Minichromosome maintenance (MCM2/3/5) family protein,ketoacyl-synt (PF00109) [0.691] | Ketoacyl-synt_C (PF02801) [0.679] | MCM (PF00493) [0.321] | MCM_N (PF14551) [0.321],ATP binding (GO:0005524) [0.321] | DNA binding (GO:0003677) [0.321],DNA replication (GO:0006260) [0.321],199.161163187452,-5.4389029841186,0.45581963018765,241.368704299347,4.81416087408689E-52,1.90659417011593E-50
Pn22.492,2165,Copper amine oxidase family protein [1.000],Copper amine oxidase family protein,Cu_amine_oxid (PF01179) [1.000] | Cu_amine_oxidN3 (PF02728) [0.980] | Cu_amine_oxidN2 (PF02727) [0.843],quinone binding (GO:0048038) [1.000] | primary amine oxidase activity (GO:0008131) [1.000] | copper ion binding (GO:0005507) [1.000],amine metabolic process (GO:0009308) [1.000] | oxidation-reduction process (GO:0055114) [1.000],490.781915997059,-5.0781014804058,0.368791994399665,240.355063487476,7.97486900590608E-52,3.14176319243183E-50
Pn19.958,11402,serine carboxypeptidase-like 46 [0.667] | serine carboxypeptidase-like 45 [0.267] | serine carboxypeptidase-like 44 [0.067],Unkown protein(s) / No TAIR description(s),Peptidase_S10 (PF00450) [1.000],serine-type carboxypeptidase activity (GO:0004185) [1.000],proteolysis (GO:0006508) [1.000],86.0076616785899,-2.75214434756523,0.316597731363537,240.332177168133,8.06626993997311E-52,3.17499111635512E-50
Pn22.747,2165,Copper amine oxidase family protein [1.000],Copper amine oxidase family protein,Cu_amine_oxid (PF01179) [1.000] | Cu_amine_oxidN3 (PF02728) [0.980] | Cu_amine_oxidN2 (PF02727) [0.843],quinone binding (GO:0048038) [1.000] | primary amine oxidase activity (GO:0008131) [1.000] | copper ion binding (GO:0005507) [1.000],amine metabolic process (GO:0009308) [1.000] | oxidation-reduction process (GO:0055114) [1.000],119.998272567497,-6.06551727128214,0.55365815326884,236.695889347767,4.93173162318019E-51,1.87397471053105E-49
Pn3.3195,3285,annexin 8 [0.950] | annexin 1 [0.050],annexin 8,Annexin (PF00191) [1.000],calcium ion binding (GO:0005509) [1.000] | calcium-dependent phospholipid binding (GO:0005544) [1.000],NULL / Representative annotation below 0.1%,1978.90454637073,-1.57099923287435,0.250774384325943,235.788308366943,7.74909331597639E-51,2.92721837351619E-49
Pn21.1344,443,Chalcone synthase 2 [0.308] | Chalcone synthase [0.252] | Chalcone synthase 1 [0.121] | Chalcone synthase 3 [0.056] | Chalcone synthase 4 [0.056] | Chalcone synthase 6 [0.047] | Chalcone synthase 1B [0.037] | Chalcone synthase 5 [0.037] | Chalcone synthase 7 [0.028] | Chalcone synthase 1A [0.019] | Chalcone synthase 8 [0.019] | Chalcone synthase C2 [0.009] | Chalcone synthase 9 [0.009],Chalcone and stilbene synthase family protein,Chal_sti_synt_N (PF00195) [1.000] | Chal_sti_synt_C (PF02797) [1.000],"transferase activity, transferring acyl groups (GO:0016746) [1.000]",biosynthetic process (GO:0009058) [1.000],4163.32173202308,-5.17167314490885,0.466787107407471,232.618380012678,3.75558634172349E-50,1.38268272924828E-48
Pn4.2253,824,3-oxoacyl-[acyl-carrier-protein] synthase 2 [0.679] | DNA replication licensing factor MCM3 homolog [0.123] | DNA replication licensing factor MCM3 homolog 3 [0.074] | DNA replication licensing factor MCM3 homolog 2 [0.062] | DNA replication licensing factor MCM3 homolog 1 [0.062],3-ketoacyl-acyl carrier protein synthase I | Minichromosome maintenance (MCM2/3/5) family protein,ketoacyl-synt (PF00109) [0.691] | Ketoacyl-synt_C (PF02801) [0.679] | MCM (PF00493) [0.321] | MCM_N (PF14551) [0.321],ATP binding (GO:0005524) [0.321] | DNA binding (GO:0003677) [0.321],DNA replication (GO:0006260) [0.321],1196.01300113067,-5.50226506561799,0.444183479831991,223.107165946034,4.27587451916985E-48,1.46513019510626E-46
Pn7.865,2210,Regulator of chromosome condensation (RCC1) family protein [1.000],Regulator of chromosome condensation (RCC1) family protein,RCC1 (PF00415) [0.980] | RCC1_2 (PF13540) [0.549],NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,890.958108814822,-4.84825292730918,0.318649490015629,220.200722571112,1.81689183640241E-47,6.04600323370891E-46
Pn5.1580,155,"cytochrome P450, family 83, subfamily B, polypeptide 1 [0.326] | cytochrome P450, family 71, subfamily B, polypeptide 34 [0.138] | cytochrome P450, family 71, subfamily B, polypeptide 37 [0.094] | cytochrome P450, family 71, subfamily B, polypeptide 10 [0.083] | cytochrome P450, family 71, subfamily B, polypeptide 35 [0.077] | cytochrome P450, family 71, subfamily B, polypeptide 36 [0.061] | Cytochrome P450 superfamily protein [0.050] | cytochrome P450, family 71, subfamily A, polypeptide 25 [0.028] | cytochrome P450, family 71, subfamily B, polypeptide 2 [0.028] | cytochrome P450, family 71, subfamily B, polypeptide 23 [0.022] | cytochrome P450, family 703, subfamily A, polypeptide 2 [0.017] | cytochrome P450, family 71, subfamily A, polypeptide 21 [0.011] | cytochrome P450, family 71, subfamily B, polypeptide 9 [0.011] | cytochrome P450, family 71, subfamily A, polypeptide 26 [0.011] | cytochrome P450, family 71 subfamily B, polypeptide 7 [0.011] | cytochrome P450, family 71, subfamily B, polypeptide 26 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 29 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 14 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 13 [0.006] | cytochrome P450, family 71, subfamily A, polypeptide 22 [0.006] | cytochrome P450, family 71, subfamily B, polypeptide 20 [0.006]","cytochrome P450, family 71, subfamily B, polypeptide 10 | cytochrome P450, family 71, subfamily B, polypeptide 26 | cytochrome P450, family 83, subfamily B, polypeptide 1 | cytochrome P450, family 71, subfamily B, polypeptide 37 | cytochrome P450, family 71, subfamily B, polypeptide 35 | cytochrome P450, family 71, subfamily B, polypeptide 9 | cytochrome P450, family 71, subfamily B, polypeptide 23 | cytochrome P450, family 71, subfamily B, polypeptide 2 | cytochrome P450, family 71 subfamily B, polypeptide 7 | cytochrome P450, family 71, subfamily B, polypeptide 29 | cytochrome P450, family 71, subfamily B, polypeptide 36 | cytochrome P450, family 71, subfamily B, polypeptide 28 | cytochrome P450, family 71, subfamily B, polypeptide 34 | Cytochrome P450 superfamily protein",p450 (PF00067) [1.000] | UBN2 (PF14223) [0.006] | RVT_2 (PF07727) [0.006],"iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]",oxidation-reduction process (GO:0055114) [1.000],74.3173930196447,-9.7340975524096,1.25777434394628,219.36729021447,2.75099986174415E-47,9.06721492892814E-46
Pn18.411,1334,"1,4-alpha-glucan-branching enzyme [1.000]",starch branching enzyme 2.1 | starch branching enzyme 2.2,Alpha-amylase (PF00128) [0.953] | CBM_48 (PF02922) [0.938] | Alpha-amylase_C (PF02806) [0.922] | Metallophos (PF00149) [0.016],"cation binding (GO:0043169) [1.000] | catalytic activity (GO:0003824) [1.000] | hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.938] | hydrolase activity (GO:0016787) [0.016]",carbohydrate metabolic process (GO:0005975) [1.000],790.464934803628,-2.89667291807025,0.322948022152457,214.419291089327,3.22868729863158E-46,1.0073414810363E-44
