"","Orthogroup.ID","AHRD.Descriptions","TAIR.Gene.s..Descriptions","Pfam.Domains","GO.Molecular.Functions","GO.Biological.Processes","Cluster"
"Pn1.263",6159,"DnaJ/Hsp40 cysteine-rich domain superfamily protein [0.966] | disease resistance protein (TIR-NBS-LRR class), putative [0.034]","DnaJ/Hsp40 cysteine-rich domain superfamily protein","LRR_1 (PF00560) [0.034] | LRR_3 (PF07725) [0.034]","protein binding (GO:0005515) [0.034]","NULL / Representative annotation below 0.1%","1"
"Pn1.2793",2598,"potassium channel in Arabidopsis thaliana 1 [0.652] | Potassium channel KOR1 [0.109] | Potassium channel KOR2 [0.109] | Potassium channel SKOR [0.065] | potassium channel in Arabidopsis thaliana 2 [0.043] | potassium channel in Arabidopsis thaliana 3 [0.022]","gated outwardly-rectifying K+ channel | STELAR K+ outward rectifier","cNMP_binding (PF00027) [1.000] | Ank_2 (PF12796) [0.978] | Ion_trans (PF00520) [0.913] | DUF3354 (PF11834) [0.761] | Ion_trans_2 (PF07885) [0.022] | Ank (PF00023) [0.022]","ion channel activity (GO:0005216) [0.913] | protein binding (GO:0005515) [0.022]","ion transport (GO:0006811) [0.913] | transmembrane transport (GO:0055085) [0.913]","1"
"Pn1.2823",144,"Glycosyl hydrolase family protein [1.000]","Glycosyl hydrolase family protein","Glyco_hydro_3 (PF00933) [1.000] | Glyco_hydro_3_C (PF01915) [0.968] | ARGLU (PF15346) [0.005] | zf-C2H2 (PF00096) [0.005]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000] | metal ion binding (GO:0046872) [0.005]","carbohydrate metabolic process (GO:0005975) [1.000]","3"
"Pn1.2844",275,"EXORDIUM like 2 [0.992] | EXORDIUM like 3 [0.008]","Phosphate-responsive 1 family protein | EXORDIUM like 2","Phi_1 (PF04674) [1.000] | Lipase_3 (PF01764) [0.008]","triglyceride lipase activity (GO:0004806) [0.008]","lipid metabolic process (GO:0006629) [0.008]","2"
"Pn1.2992",311,"cytochrome P450, family 78, subfamily A, polypeptide 6 [0.307] | cytochrome P450, family 78, subfamily A, polypeptide 7 [0.260] | cytochrome P450, family 78, subfamily A, polypeptide 5 [0.197] | cytochrome P450, family 78, subfamily A, polypeptide 10 [0.189] | cytochrome P450, family 78, subfamily A, polypeptide 8 [0.039] | Cytochrome P450 superfamily protein [0.008]","cytochrome p450 78a9 | cytochrome P450, family 78, subfamily A, polypeptide 8 | cytochrome P450, family 78, subfamily A, polypeptide 6 | cytochrome P450, family 78, subfamily A, polypeptide 5 | cytochrome P450, family 78, subfamily A, polypeptide 10 | cytochrome P450, family 78, subfamily A, polypeptide 7","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn1.2993",311,"cytochrome P450, family 78, subfamily A, polypeptide 6 [0.307] | cytochrome P450, family 78, subfamily A, polypeptide 7 [0.260] | cytochrome P450, family 78, subfamily A, polypeptide 5 [0.197] | cytochrome P450, family 78, subfamily A, polypeptide 10 [0.189] | cytochrome P450, family 78, subfamily A, polypeptide 8 [0.039] | Cytochrome P450 superfamily protein [0.008]","cytochrome p450 78a9 | cytochrome P450, family 78, subfamily A, polypeptide 8 | cytochrome P450, family 78, subfamily A, polypeptide 6 | cytochrome P450, family 78, subfamily A, polypeptide 5 | cytochrome P450, family 78, subfamily A, polypeptide 10 | cytochrome P450, family 78, subfamily A, polypeptide 7","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn1.30",3277,"Methionine--tRNA ligase [1.000]","methionine--tRNA ligase, putative / methionyl-tRNA synthetase, putative / MetRS, putative","tRNA-synt_1g (PF09334) [1.000] | tRNA_bind (PF01588) [0.700] | Anticodon_1 (PF08264) [0.025] | Gamma-thionin (PF00304) [0.025]","ATP binding (GO:0005524) [1.000] | aminoacyl-tRNA ligase activity (GO:0004812) [1.000] | nucleotide binding (GO:0000166) [1.000] | tRNA binding (GO:0000049) [0.700]","tRNA aminoacylation for protein translation (GO:0006418) [1.000] | defense response (GO:0006952) [0.025]","3"
"Pn1.3008",1320,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein [0.769] | basic helix-loop-helix (bHLH) DNA-binding family protein [0.215]","basic helix-loop-helix (bHLH) DNA-binding family protein | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | activation-tagged BRI1(brassinosteroid-insensitive 1)-suppressor 1","HLH (PF00010) [0.923]","protein dimerization activity (GO:0046983) [0.923]","NULL / Representative annotation below 0.1%","1"
"Pn1.3133",311,"cytochrome P450, family 78, subfamily A, polypeptide 6 [0.307] | cytochrome P450, family 78, subfamily A, polypeptide 7 [0.260] | cytochrome P450, family 78, subfamily A, polypeptide 5 [0.197] | cytochrome P450, family 78, subfamily A, polypeptide 10 [0.189] | cytochrome P450, family 78, subfamily A, polypeptide 8 [0.039] | Cytochrome P450 superfamily protein [0.008]","cytochrome p450 78a9 | cytochrome P450, family 78, subfamily A, polypeptide 8 | cytochrome P450, family 78, subfamily A, polypeptide 6 | cytochrome P450, family 78, subfamily A, polypeptide 5 | cytochrome P450, family 78, subfamily A, polypeptide 10 | cytochrome P450, family 78, subfamily A, polypeptide 7","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn1.3134",311,"cytochrome P450, family 78, subfamily A, polypeptide 6 [0.307] | cytochrome P450, family 78, subfamily A, polypeptide 7 [0.260] | cytochrome P450, family 78, subfamily A, polypeptide 5 [0.197] | cytochrome P450, family 78, subfamily A, polypeptide 10 [0.189] | cytochrome P450, family 78, subfamily A, polypeptide 8 [0.039] | Cytochrome P450 superfamily protein [0.008]","cytochrome p450 78a9 | cytochrome P450, family 78, subfamily A, polypeptide 8 | cytochrome P450, family 78, subfamily A, polypeptide 6 | cytochrome P450, family 78, subfamily A, polypeptide 5 | cytochrome P450, family 78, subfamily A, polypeptide 10 | cytochrome P450, family 78, subfamily A, polypeptide 7","p450 (PF00067) [1.000]","iron ion binding (GO:0005506) [1.000] | heme binding (GO:0020037) [1.000] | oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705) [1.000]","oxidation-reduction process (GO:0055114) [1.000]","3"
"Pn1.3162",10296,"RmlC-like cupins superfamily protein [0.800] | 12S seed storage globulin 2 [0.050] | Glutelin type-A 1 [0.050] | 13S globulin seed storage protein 1 [0.050] | Glutelin type-A 2 [0.050]","Unkown protein(s) / No TAIR description(s)","Cupin_1 (PF00190) [1.000]","nutrient reservoir activity (GO:0045735) [1.000]","NULL / Representative annotation below 0.1%","4"
"Pn1.3164",383,"Histone superfamily protein [1.000]","Histone superfamily protein | histone H4","Histone (PF00125) [1.000] | Pkinase (PF00069) [0.009]","DNA binding (GO:0003677) [1.000] | ATP binding (GO:0005524) [0.009] | protein kinase activity (GO:0004672) [0.009]","protein phosphorylation (GO:0006468) [0.009]","2"
"Pn1.3194",1646,"Chaperone protein DnaJ [0.948] | Chaperone protein DnaJ 1 [0.034] | DNAJ-like 20 [0.017]","Chaperone DnaJ-domain superfamily protein","DnaJ (PF00226) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn1.3591",90,"laccase 17 [0.442] | laccase 10 [0.239] | laccase 11 [0.175] | laccase 2 [0.072] | laccase 1 [0.052] | laccase 12 [0.012] | laccase 16 [0.008]","laccase 17 | laccase 16 | laccase 11 | laccase 2 | laccase 1 | laccase 10 | Laccase/Diphenol oxidase family protein","Cu-oxidase (PF00394) [0.996] | Cu-oxidase_2 (PF07731) [0.992] | Cu-oxidase_3 (PF07732) [0.988] | ATS3 (PF06232) [0.004] | Glyco_hydro_18 (PF00704) [0.004]","copper ion binding (GO:0005507) [1.000] | oxidoreductase activity (GO:0016491) [1.000] | hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.004]","oxidation-reduction process (GO:0055114) [1.000] | carbohydrate metabolic process (GO:0005975) [0.004]","6"
"Pn1.360",1897,"Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018]","alpha/beta-Hydrolases superfamily protein","FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018]","calcium ion binding (GO:0005509) [0.018]","NULL / Representative annotation below 0.1%","3"
"Pn1.361",1897,"Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018]","alpha/beta-Hydrolases superfamily protein","FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018]","calcium ion binding (GO:0005509) [0.018]","NULL / Representative annotation below 0.1%","3"
"Pn1.3610",496,"Gibberellin-regulated family protein [0.990] | GAST1 protein homolog 3 [0.010]","Gibberellin-regulated family protein | GAST1 protein homolog 2 | GAST1 protein homolog 3 | GAST1 protein homolog 1","GASA (PF02704) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn1.362",1897,"Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018]","alpha/beta-Hydrolases superfamily protein","FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018]","calcium ion binding (GO:0005509) [0.018]","NULL / Representative annotation below 0.1%","3"
"Pn1.363",1897,"Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018]","alpha/beta-Hydrolases superfamily protein","FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018]","calcium ion binding (GO:0005509) [0.018]","NULL / Representative annotation below 0.1%","3"
"Pn1.364",1897,"Ovarian cancer-associated gene 2 protein homolog [0.745] | INVOLVED IN: 10-formyltetrahydrofolate bi s in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink). [0.164] | UPF0483 protein [0.036] | calmodulin 5 [0.018] | alpha/beta-Hydrolases superfamily protein [0.018] | Family of serine hydrolases 2 [0.018]","alpha/beta-Hydrolases superfamily protein","FSH1 (PF03959) [1.000] | EF-hand_7 (PF13499) [0.018]","calcium ion binding (GO:0005509) [0.018]","NULL / Representative annotation below 0.1%","3"
"Pn1.365",1115,"Importin subunit beta-1 [1.000]","ARM repeat superfamily protein","IBN_N (PF03810) [0.971] | HEAT_EZ (PF13513) [0.971] | MMS19_N (PF14500) [0.014]","Ran GTPase binding (GO:0008536) [0.971]","intracellular protein transport (GO:0006886) [0.971]","3"
"Pn1.3759",10200,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn1.407",2048,"MATE efflux family protein [1.000]","MATE efflux family protein","MatE (PF01554) [1.000]","drug transmembrane transporter activity (GO:0015238) [1.000] | antiporter activity (GO:0015297) [1.000]","drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000]","5"
"Pn1.517",2387,"xyloglucan endotransglucosylase/hydrolase 32 [1.000]","xyloglucan endotransglucosylase/hydrolase 32 | xyloglucan endo-transglycosylase-related 8","Glyco_hydro_16 (PF00722) [1.000] | XET_C (PF06955) [1.000]","xyloglucan:xyloglucosyl transferase activity (GO:0016762) [1.000] | hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [1.000]","carbohydrate metabolic process (GO:0005975) [1.000] | cellular glucan metabolic process (GO:0006073) [1.000]","3"
"Pn1.706",3074,"2-succinylbenzoate--CoA ligase [0.405] | 4-coumarate--CoA ligase-like 10 [0.381] | AMP-dependent synthetase and ligase family protein [0.214]","AMP-dependent synthetase and ligase family protein","AMP-binding (PF00501) [0.976] | AMP-binding_C (PF13193) [0.881]","catalytic activity (GO:0003824) [0.976]","metabolic process (GO:0008152) [0.976]","3"
"Pn1.835",3074,"2-succinylbenzoate--CoA ligase [0.405] | 4-coumarate--CoA ligase-like 10 [0.381] | AMP-dependent synthetase and ligase family protein [0.214]","AMP-dependent synthetase and ligase family protein","AMP-binding (PF00501) [0.976] | AMP-binding_C (PF13193) [0.881]","catalytic activity (GO:0003824) [0.976]","metabolic process (GO:0008152) [0.976]","3"
"Pn1.923",7885,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","DUF740 (PF05340) [0.200]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn10.1176",1060,"mitogen-activated protein kinase kinase 4 [0.944] | Protein kinase superfamily protein [0.028] | MAP kinase kinase 9 [0.014] | MAP kinase kinase 5 [0.014]","MAP kinase kinase 7 | mitogen-activated protein kinase kinase 4 | MAP kinase kinase 5 | MAP kinase kinase 9","Pkinase (PF00069) [1.000] | CAP (PF00188) [0.014]","ATP binding (GO:0005524) [1.000] | protein kinase activity (GO:0004672) [1.000]","protein phosphorylation (GO:0006468) [1.000]","2"
"Pn10.1374",2150,"Cysteine-rich repeat secretory protein 60 [0.529] | Cysteine-rich repeat secretory protein 12 [0.431] | Cysteine-rich repeat secretory protein 2 [0.020] | Cysteine-rich repeat secretory protein 15 [0.020]","plasmodesmata-located protein 7 | plasmodesmata-located protein 6","Stress-antifung (PF01657) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","4"
"Pn10.1427",223,"Carbonic anhydrase [0.795] | Thioredoxin family protein [0.151] | alpha carbonic anhydrase 7 [0.021] | alpha carbonic anhydrase 2 [0.021] | alpha carbonic anhydrase 1 [0.007]","alpha carbonic anhydrase 1 | alpha carbonic anhydrase 4 | alpha carbonic anhydrase 7 | alpha carbonic anhydrase 6 | Thioredoxin family protein | alpha carbonic anhydrase 2","Carb_anhydrase (PF00194) [0.836] | GST_N_3 (PF13417) [0.144]","protein binding (GO:0005515) [0.144]","NULL / Representative annotation below 0.1%","3"
"Pn10.1466",2130,"Unkown protein / Representative AHRD below 0.1%","Unkown protein(s) / No TAIR description(s)","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn10.1625",4898,"tRNA (cytosine(34)-C(5))-methyltransferase [1.000]","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","Nol1_Nop2_Fmu (PF01189) [0.969]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn10.1663",665,"Thioredoxin superfamily protein [0.378] | thioredoxin H-type 1 [0.344] | thioredoxin H-type 9 [0.133] | thioredoxin H-type 5 [0.089] | Thioredoxin H9 [0.022] | thioredoxin 3 [0.022] | thioredoxin 2 [0.011]","thioredoxin H-type 5 | thioredoxin H-type 1 | thioredoxin H-type 9 | Thioredoxin superfamily protein","Thioredoxin (PF00085) [1.000] | DUF2763 (PF10961) [0.011]","NULL / Representative annotation below 0.1%","cell redox homeostasis (GO:0045454) [1.000]","3"
"Pn10.179",1810,"Ethylene-responsive transcription factor 7 [0.500] | Ethylene-responsive transcription factor 11 [0.232] | Integrase-type DNA-binding superfamily protein [0.214] | Ethylene-responsive transcription factor 1 [0.018] | Ethylene-responsive transcription factor 4 [0.018] | Ethylene-responsive transcription factor 8 [0.018]","Integrase-type DNA-binding superfamily protein","AP2 (PF00847) [1.000] | Cullin_binding (PF03556) [0.018]","sequence-specific DNA binding transcription factor activity (GO:0003700) [1.000]","regulation of transcription, DNA-templated (GO:0006355) [1.000]","2"
"Pn10.270",6534,"Glycogen debranching enzyme [1.000]","isoamylase 1","CBM_48 (PF02922) [0.857] | Alpha-amylase (PF00128) [0.857]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.857] | cation binding (GO:0043169) [0.857] | catalytic activity (GO:0003824) [0.857]","carbohydrate metabolic process (GO:0005975) [0.929]","3"
"Pn10.271",6534,"Glycogen debranching enzyme [1.000]","isoamylase 1","CBM_48 (PF02922) [0.857] | Alpha-amylase (PF00128) [0.857]","hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553) [0.857] | cation binding (GO:0043169) [0.857] | catalytic activity (GO:0003824) [0.857]","carbohydrate metabolic process (GO:0005975) [0.929]","4"
"Pn10.80",1016,"Unkown protein / Representative AHRD below 0.1%","Protein of unknown function (DUF1645)","DUF1645 (PF07816) [0.973]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn10.898",3250,"homeobox protein 34 [0.488] | homeobox protein 30 [0.293] | homeobox protein 26 [0.122] | homeobox protein 23 [0.073] | homeobox protein 22 [0.024]","homeobox protein 26 | homeobox protein 30 | homeobox protein 23 | homeobox protein 34 | zinc finger homeodomain  1","ZF-HD_dimer (PF04770) [0.976]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","2"
"Pn10.915",13130,"Albumin-2 [1.000]","Unkown protein(s) / No TAIR description(s)","Hemopexin (PF00045) [0.375]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","1"
"Pn10.924",9053,"PsbP domain-containing protein 6, chloroplastic [1.000]","Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein","PsbP (PF01789) [1.000]","calcium ion binding (GO:0005509) [1.000]","photosynthesis (GO:0015979) [1.000]","1"
"Pn11.1027",1893,"glucan endo-1,3-beta-glucosidase-like protein 3 [0.982] | Glucan endo-1,3-beta-D-glucosidase [0.018]","plasmodesmata callose-binding protein 3 | Carbohydrate-binding X8 domain superfamily protein","X8 (PF07983) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
"Pn11.1029",1893,"glucan endo-1,3-beta-glucosidase-like protein 3 [0.982] | Glucan endo-1,3-beta-D-glucosidase [0.018]","plasmodesmata callose-binding protein 3 | Carbohydrate-binding X8 domain superfamily protein","X8 (PF07983) [1.000]","NULL / Representative annotation below 0.1%","NULL / Representative annotation below 0.1%","3"
