Unnamed: 0,Orthogroup.ID,AHRD.Descriptions,TAIR.Gene.s..Descriptions,Pfam.Domains,GO.Molecular.Functions,GO.Biological.Processes,Cluster
Pn1.1509,2624,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF1637),DUF1637 ,cysteamine dioxygenase activity ,oxidation-reduction process (GO:0055114) [1.000],3
Pn1.1567,9352,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,TauD ,oxidoreductase activity ,oxidation-reduction process (GO:0055114) [1.000],5
Pn1.1649,1984,Gibberellin 2-beta-dioxygenase ,Arabidopsis thaliana gibberellin 2-oxidase 1 ,DIOX_N ,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors ",oxidation-reduction process (GO:0055114) [1.000],1
Pn1.1684,3806,"3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial ",ATP-dependent caseinolytic (Clp) protease/crotonase family protein,ECH_C ,catalytic activity ,metabolic process (GO:0008152) [0.162],3
Pn1.1733,5756,RNA methyltransferase family protein ,RNA methyltransferase family protein,tRNA_U5-meth_tr ,RNA methyltransferase activity ,RNA processing (GO:0006396) [0.900],3
Pn1.1750,3120,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF640),DUF640 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn1.1775,124,late embryogenesis abundant domain-containing protein / LEA domain-containing protein ,late embryogenesis abundant domain-containing protein / LEA domain-containing protein ,LEA_4 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.1781,11082,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NOZZLE ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.1785,2814,NAD(P)-binding Rossmann-fold superfamily protein ,NAD(P)-binding Rossmann-fold superfamily protein,adh_short ,oxidoreductase activity ,metabolic process (GO:0008152) [0.818],2
Pn1.1798,9114,"homogentisate 1,2-dioxygenase ","homogentisate 1,2-dioxygenase",HgmA ,"homogentisate 1,2-dioxygenase activity ","L-phenylalanine catabolic process (GO:0006559) [1.000] | tyrosine metabolic process (GO:0006570) [1.000] | oxidation-reduction process (GO:0055114) [1.000] | regulation of transcription, DNA-templated (GO:0006355) [0.043]",2
Pn1.1799,375,Cysteine proteinases superfamily protein ,senescence-associated gene 12,Inhibitor_I29 ,cysteine-type peptidase activity ,proteolysis (GO:0006508) [1.000],2
Pn1.180,905,myb domain protein 4 ,myb domain protein 6 ,Myb_DNA-binding ,chromatin binding ,NULL / Representative annotation below 0.1%,2
Pn1.1885,1062,MATE efflux family protein ,MATE efflux family protein ,MatE ,drug transmembrane transporter activity ,drug transmembrane transport (GO:0006855) [1.000] | transmembrane transport (GO:0055085) [1.000],1
Pn1.1942,2134,Altered inheritance of mitochondria protein 32 ,Sucrase/ferredoxin-like family protein,Suc_Fer-like ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.1951,5574,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding superfamily protein,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,4
Pn1.1975,4348,Plant invertase/pectin methylesterase inhibitor superfamily ,pectin methylesterase PCR fragment F ,Pectinesterase ,pectinesterase activity ,cell wall modification (GO:0042545) [1.000],6
Pn1.1981,1047,O-acyltransferase (WSD1-like) family protein ,O-acyltransferase (WSD1-like) family protein,DUF1298 ,diacylglycerol O-acyltransferase activity ,glycerolipid biosynthetic process (GO:0045017) [0.932],1
Pn1.1985,290,long-chain acyl-CoA synthetase 2 ,AMP-dependent synthetase and ligase family protein ,AMP-binding ,catalytic activity ,metabolic process (GO:0008152) [1.000] | carbohydrate metabolic process (GO:0005975) [0.008] | signal transduction (GO:0007165) [0.008],2
Pn1.2045,1802,response regulator 24 ,response regulator 22 ,Response_reg ,phosphorelay response regulator activity ,phosphorelay signal transduction system (GO:0000160) [1.000] | signal transduction (GO:0007165) [0.018],1
Pn1.2101,3299,LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 7 growth stages; BEST Arabidopsis thaliana protein match is: nucleolar protein gar2-related . ,Unkown protein(s) / No TAIR description(s),NT-C2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn1.2127,2461,Ankyrin repeat family protein ,Ankyrin repeat family protein,Ank_2 ,protein binding ,metabolic process (GO:0008152) [0.021],6
Pn1.2158,8682,PsbP-like protein 2 ,PsbP-like protein 2,PsbP ,calcium ion binding ,photosynthesis (GO:0015979) [1.000],6
Pn1.2172,1365,vesicle-associated membrane protein 725 ,vesicle-associated membrane protein 726 ,Synaptobrevin ,NULL / Representative annotation below 0.1%,vesicle-mediated transport (GO:0016192) [1.000],2
Pn1.2179,1537,3-ketoacyl-CoA synthase 12 ,3-ketoacyl-CoA synthase 19 ,FAE1_CUT1_RppA ,"transferase activity, transferring acyl groups other than amino-acyl groups ",fatty acid biosynthetic process (GO:0006633) [0.967] | lipid biosynthetic process (GO:0008610) [0.950],4
Pn1.2184,420,Major facilitator superfamily protein ,Major facilitator superfamily protein ,PTR2 ,transporter activity ,transport (GO:0006810) [1.000],5
Pn1.2202,3126,Serine/threonine-protein kinase SMG1 ,Transducin/WD40 repeat-like superfamily protein,WD40 ,protein binding ,NULL / Representative annotation below 0.1%,1
Pn1.2220,5221,NAD(P)-binding Rossmann-fold superfamily protein ,NAD(P)-binding Rossmann-fold superfamily protein,Epimerase ,coenzyme binding ,cellular metabolic process (GO:0044237) [1.000],1
Pn1.2226,4726,early nodulin-like protein 9 ,early nodulin-like protein 9,Cu_bind_like ,copper ion binding ,NULL / Representative annotation below 0.1%,5
Pn1.2268,7317,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),Rgp1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.2300,2423,Carbohydrate-binding-like fold ,Carbohydrate-binding-like fold,CBM_20 ,starch binding ,"DNA-templated transcription, termination (GO:0006353) [0.083]",1
Pn1.2356,2076,Mannose-1-phosphate guanyltransferase beta ,Glucose-1-phosphate adenylyltransferase family protein,NTP_transferase ,nucleotidyltransferase activity ,biosynthetic process (GO:0009058) [1.000],3
Pn1.2390,1491,Protein kinase superfamily protein ,Protein kinase superfamily protein,Pkinase ,protein kinase activity ,protein phosphorylation (GO:0006468) [1.000],1
Pn1.2395,9177,Unkown protein / Representative AHRD below 0.1%,Protein of unknown function (DUF3741),DUF4378 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.2399,1325,DOF zinc finger protein 1 ,Dof-type zinc finger DNA-binding family protein ,zf-Dof ,DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",4
Pn1.240,4515,Epimerase family protein SDR39U1 ,NAD(P)-binding Rossmann-fold superfamily protein,DUF1731 ,coenzyme binding ,cellular metabolic process (GO:0044237) [0.529],6
Pn1.2406,1126,FYD ,HSP20-like chaperones superfamily protein ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.2441,1823,Ethylene-responsive transcription factor 1 ,Integrase-type DNA-binding superfamily protein ,AP2 ,sequence-specific DNA binding transcription factor activity ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",2
Pn1.2447,5067,Ubiquitin thioesterase otubain-like ,Unkown protein(s) / No TAIR description(s),Peptidase_C65 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn1.2465,272,F-box protein ,auxin signaling F-box 2 ,LRR_6 ,protein binding ,NULL / Representative annotation below 0.1%,5
Pn1.2477,371,membrane-anchored ubiquitin-fold protein 2 ,Ubiquitin family protein ,Rad60-SLD_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.2483,662,11-beta-hydroxysteroid dehydrogenase 1A ,hydroxysteroid dehydrogenase 1 ,adh_short ,oxidoreductase activity ,metabolic process (GO:0008152) [0.978],2
Pn1.2486,662,11-beta-hydroxysteroid dehydrogenase 1A ,hydroxysteroid dehydrogenase 1 ,adh_short ,oxidoreductase activity ,metabolic process (GO:0008152) [0.978],2
Pn1.2492,101,YELLOW STRIPE like 7 ,YELLOW STRIPE like 1 ,OPT ,ATP-dependent helicase activity ,transmembrane transport (GO:0055085) [0.788] | cell redox homeostasis (GO:0045454) [0.026],5
Pn1.2511,8183,chaperone protein dnaJ-related ,chaperone protein dnaJ-related,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.2531,845,serine hydroxymethyltransferase 4 ,serine hydroxymethyltransferase 7 ,SHMT ,glycine hydroxymethyltransferase activity ,L-serine metabolic process (GO:0006563) [1.000] | glycine metabolic process (GO:0006544) [1.000] | intracellular protein transport (GO:0006886) [0.013],3
Pn1.2539,889,glycerol-3-phosphate acyltransferase 3 ,glycerol-3-phosphate acyltransferase 2 ,Acyltransferase ,"transferase activity, transferring acyl groups ",metabolic process (GO:0008152) [0.910],4
Pn1.2581,66,myosin 1 ,Myosin family protein with Dil domain ,Myosin_head ,ATP binding ,"ubiquitin-dependent protein catabolic process (GO:0006511) [0.003] | regulation of transcription, DNA-templated (GO:0006355) [0.003] | RNA-dependent DNA replication (GO:0006278) [0.003]",3
Pn1.2587,66,myosin 1 ,Myosin family protein with Dil domain ,Myosin_head ,ATP binding ,"ubiquitin-dependent protein catabolic process (GO:0006511) [0.003] | regulation of transcription, DNA-templated (GO:0006355) [0.003] | RNA-dependent DNA replication (GO:0006278) [0.003]",3
Pn1.2606,1948,Unkown protein / Representative AHRD below 0.1%,Plant protein of unknown function (DUF946),DUF946 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.2617,4036,RmlC-like cupins superfamily protein ,RmlC-like cupins superfamily protein,Cupin_3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.2623,144,Glycosyl hydrolase family protein ,Glycosyl hydrolase family protein,Glyco_hydro_3 ,"hydrolase activity, hydrolyzing O-glycosyl compounds ",carbohydrate metabolic process (GO:0005975) [1.000],1
Pn1.263,6159,DnaJ/Hsp40 cysteine-rich domain superfamily protein ,DnaJ/Hsp40 cysteine-rich domain superfamily protein,LRR_1 ,protein binding ,NULL / Representative annotation below 0.1%,6
Pn1.264,4238,Calcium-binding EF-hand family protein ,Calcium-binding EF-hand family protein,EF-hand_6 ,calcium ion binding ,NULL / Representative annotation below 0.1%,2
Pn1.2676,4036,RmlC-like cupins superfamily protein ,RmlC-like cupins superfamily protein,Cupin_3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.2715,138,NAC domain containing protein 25 ,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein ,NAM ,DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [0.990]",5
Pn1.2726,422,amino acid permease 3 ,amino acid permease 2 ,Aa_trans ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.2737,3840,DDT domain-containing protein ,DDT domain-containing protein,DDT ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.2766,2353,zinc ion binding;DNA binding ,zinc ion binding;DNA binding ,Plus-3 ,DNA binding ,"histone modification (GO:0016570) [1.000] | DNA-templated transcription, initiation (GO:0006352) [1.000]",3
Pn1.2781,8647,Peroxidase superfamily protein ,Peroxidase superfamily protein,peroxidase ,peroxidase activity ,oxidation-reduction process (GO:0055114) [1.000] | response to oxidative stress (GO:0006979) [1.000],5
Pn1.2785,8886,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,Cupin_8 ,protein binding ,oxidation-reduction process (GO:0055114) [0.042],3
Pn1.2797,1930,nodulin MtN21 /EamA-like transporter family protein ,nodulin MtN21 /EamA-like transporter family protein,EamA ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,6
Pn1.2802,84,sulfate transporter 1;3 ,sulfate transporter 1;3 ,Sulfate_transp ,sulfate transmembrane transporter activity ,sulfate transport (GO:0008272) [1.000],5
Pn1.2805,1501,Inositol-3-phosphate synthase ,myo-inositol-1-phosphate synthase 1 ,NAD_binding_5 ,inositol-3-phosphate synthase activity ,inositol biosynthetic process (GO:0006021) [1.000] | phospholipid biosynthetic process (GO:0008654) [1.000],4
Pn1.2823,144,Glycosyl hydrolase family protein ,Glycosyl hydrolase family protein,Glyco_hydro_3 ,"hydrolase activity, hydrolyzing O-glycosyl compounds ",carbohydrate metabolic process (GO:0005975) [1.000],1
Pn1.284,4132,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 1 ,methylthioadenosine nucleosidase 1 ,PNP_UDP_1 ,catalytic activity ,nucleoside metabolic process (GO:0009116) [1.000],5
Pn1.2873,7460,RNA polymerase II transcription factor B subunit 4 ,basal transcription factor complex subunit-related,Tfb4 ,NULL / Representative annotation below 0.1%,"nucleotide-excision repair (GO:0006289) [1.000] | regulation of transcription, DNA-templated (GO:0006355) [1.000]",3
Pn1.2882,6859,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),DRY_EERY ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.2905,3675,Cyclin-dependent kinase inhibitor family protein ,Cyclin-dependent kinase inhibitor family protein ,CDI ,cyclin-dependent protein serine/threonine kinase inhibitor activity ,cell cycle arrest (GO:0007050) [0.974],3
Pn1.2931,4961,Predicted AT-hook DNA-binding family protein ,Predicted AT-hook DNA-binding family protein,DUF296 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,2
Pn1.2946,11732,H(+)-ATPase 6 ,Unkown protein(s) / No TAIR description(s),Hydrolase ,metal ion binding ,NULL / Representative annotation below 0.1%,3
Pn1.2947,11732,H(+)-ATPase 6 ,Unkown protein(s) / No TAIR description(s),Hydrolase ,metal ion binding ,NULL / Representative annotation below 0.1%,3
Pn1.2968,8001,"LOCATED IN: vacuole; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: FBD, F-box and Leucine Rich Repeat domains containing protein . ",Unkown protein(s) / No TAIR description(s),NT-C2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.2992,311,"cytochrome P450, family 78, subfamily A, polypeptide 6 ",cytochrome p450 78a9 ,p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],1
Pn1.2993,311,"cytochrome P450, family 78, subfamily A, polypeptide 6 ",cytochrome p450 78a9 ,p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],1
Pn1.2994,498,laccase 14 ,laccase 14 ,Cu-oxidase_2 ,copper ion binding ,oxidation-reduction process (GO:0055114) [1.000] | protein phosphorylation (GO:0006468) [0.010],1
Pn1.30,3277,Methionine--tRNA ligase ,"methionine--tRNA ligase, putative / methionyl-tRNA synthetase, putative / MetRS, putative",tRNA-synt_1g ,ATP binding ,tRNA aminoacylation for protein translation (GO:0006418) [1.000] | defense response (GO:0006952) [0.025],1
Pn1.3005,330,Glutaredoxin family protein ,Glutaredoxin family protein ,Glutaredoxin ,electron carrier activity ,cell redox homeostasis (GO:0045454) [0.712] | vesicle-mediated transport (GO:0016192) [0.280],4
Pn1.3008,1320,basic helix-loop-helix (bHLH) DNA-binding superfamily protein ,basic helix-loop-helix (bHLH) DNA-binding family protein ,HLH ,protein dimerization activity ,NULL / Representative annotation below 0.1%,4
Pn1.301,4132,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 1 ,methylthioadenosine nucleosidase 1 ,PNP_UDP_1 ,catalytic activity ,nucleoside metabolic process (GO:0009116) [1.000],2
Pn1.3011,1462,Galactose oxidase/kelch repeat superfamily protein ,Galactose oxidase/kelch repeat superfamily protein,Kelch_1 ,protein binding ,cellulose biosynthetic process (GO:0030244) [0.016],5
Pn1.3013,10859,Pentatricopeptide repeat-containing protein ,Pentatricopeptide repeat (PPR) superfamily protein,PPR ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.3021,2930,TCP family transcription factor ,TCP family transcription factor  ,TCP ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,1
Pn1.306,2668,ER lumen protein retaining receptor family protein ,ER lumen protein retaining receptor family protein,ER_lumen_recept ,ER retention sequence binding ,protein retention in ER lumen (GO:0006621) [1.000] | oxidation-reduction process (GO:0055114) [0.022],5
Pn1.3101,11235,U-box domain-containing protein 43 ,Unkown protein(s) / No TAIR description(s),U-box ,ubiquitin-protein ligase activity ,protein ubiquitination (GO:0016567) [1.000],5
Pn1.3132,498,laccase 14 ,laccase 14 ,Cu-oxidase_2 ,copper ion binding ,oxidation-reduction process (GO:0055114) [1.000] | protein phosphorylation (GO:0006468) [0.010],1
Pn1.3133,311,"cytochrome P450, family 78, subfamily A, polypeptide 6 ",cytochrome p450 78a9 ,p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],1
Pn1.3134,311,"cytochrome P450, family 78, subfamily A, polypeptide 6 ",cytochrome p450 78a9 ,p450 ,iron ion binding ,oxidation-reduction process (GO:0055114) [1.000],1
Pn1.3135,2374,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase ",NAD(P)-binding Rossmann-fold superfamily protein ,GFO_IDH_MocA ,oxidoreductase activity ,metabolic process (GO:0008152) [0.673] | oxidation-reduction process (GO:0055114) [0.673],4
Pn1.3159,10296,RmlC-like cupins superfamily protein ,Unkown protein(s) / No TAIR description(s),Cupin_1 ,nutrient reservoir activity ,NULL / Representative annotation below 0.1%,5
Pn1.3173,82,glucan synthase-like 12 ,callose synthase 1 ,Glucan_synthase ,"1,3-beta-D-glucan synthase activity ",(1->3)-beta-D-glucan biosynthetic process (GO:0006075) [0.929],3
Pn1.3174,82,glucan synthase-like 12 ,callose synthase 1 ,Glucan_synthase ,"1,3-beta-D-glucan synthase activity ",(1->3)-beta-D-glucan biosynthetic process (GO:0006075) [0.929],3
Pn1.3175,82,glucan synthase-like 12 ,callose synthase 1 ,Glucan_synthase ,"1,3-beta-D-glucan synthase activity ",(1->3)-beta-D-glucan biosynthetic process (GO:0006075) [0.929],3
Pn1.3193,6400,"Chaperone activity of bc1 complex-like, mitochondrial ",ABC transporter 1,ABC1 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.3195,772,Cold shock protein 1 ,glycine-rich protein 2B ,CSD ,DNA binding ,"regulation of transcription, DNA-templated (GO:0006355) [1.000]",5
Pn1.3206,10615,ubiquitin conjugating enzyme 9 ,Unkown protein(s) / No TAIR description(s),UQ_con ,acid-amino acid ligase activity ,NULL / Representative annotation below 0.1%,5
Pn1.3208,3188,ubiquitin-protein ligase 4 ,HEAT repeat ;HECT-domain (ubiquitin-transferase),HECT ,ubiquitin-protein ligase activity ,NULL / Representative annotation below 0.1%,3
Pn1.3252,3746,"Coiled-coil domain-containing protein 90B, mitochondrial ",Protein of unknown function (DUF1640),DUF1640 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.3286,10035,Unkown protein / Representative AHRD below 0.1%,Unkown protein(s) / No TAIR description(s),NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.3303,10325,HXXXD-type acyl-transferase family protein ,HXXXD-type acyl-transferase family protein,Transferase ,"transferase activity, transferring acyl groups other than amino-acyl groups ",NULL / Representative annotation below 0.1%,6
Pn1.3330,1227,U-box domain-containing protein 13 ,plant U-box 14 ,Arm ,protein binding ,protein ubiquitination (GO:0016567) [0.985] | translation (GO:0006412) [0.015],2
Pn1.3375,10325,HXXXD-type acyl-transferase family protein ,HXXXD-type acyl-transferase family protein,Transferase ,"transferase activity, transferring acyl groups other than amino-acyl groups ",NULL / Representative annotation below 0.1%,6
Pn1.339,1023,Chitinase family protein ,Chitinase family protein ,Glyco_hydro_19 ,chitinase activity ,cell wall macromolecule catabolic process (GO:0016998) [1.000] | chitin catabolic process (GO:0006032) [1.000],4
Pn1.3401,1227,U-box domain-containing protein 13 ,plant U-box 14 ,Arm ,protein binding ,protein ubiquitination (GO:0016567) [0.985] | translation (GO:0006412) [0.015],2
Pn1.3422,1258,60 kDa chaperonin 1 ,TCP-1/cpn60 chaperonin family protein ,Cpn60_TCP1 ,ATP binding ,cellular protein metabolic process (GO:0044267) [1.000] | glycine catabolic process (GO:0006546) [0.015],3
Pn1.3447,393,inter-alpha-trypsin inhibitor heavy chain-related ,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein ",HATPase_c_3 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.3448,1513,Peptidyl-prolyl cis-trans isomerase ,rotamase CYP 3 ,Pro_isomerase ,peptidyl-prolyl cis-trans isomerase activity ,protein folding (GO:0006457) [1.000],1
Pn1.3451,993,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,2OG-FeII_Oxy ,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors ",oxidation-reduction process (GO:0055114) [0.973],2
Pn1.3452,993,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein ,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,2OG-FeII_Oxy ,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors ",oxidation-reduction process (GO:0055114) [0.973],2
Pn1.3456,7156,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family ,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,LEA_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,5
Pn1.3457,372,dicer-like 2 ,dicer-like 3 ,Ribonuclease_3 ,RNA binding ,RNA processing (GO:0006396) [0.948] | translational termination (GO:0006415) [0.009],3
Pn1.3458,372,dicer-like 2 ,dicer-like 3 ,Ribonuclease_3 ,RNA binding ,RNA processing (GO:0006396) [0.948] | translational termination (GO:0006415) [0.009],3
Pn1.3476,1188,Protein LURP-one-related 13 ,Protein of unknown function (DUF567),Tub_2 ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.3489,8534,Peroxisomal multifunctional enzyme type 2 ,enoyl-CoA hydratase 2,MaoC_dehydrat_N ,oxidoreductase activity ,metabolic process (GO:0008152) [0.875],2
Pn1.3491,115,SKU5 similar 5 ,SKU5 similar 8 ,Cu-oxidase ,copper ion binding ,oxidation-reduction process (GO:0055114) [1.000],2
Pn1.3555,3710,Pentatricopeptide repeat-containing protein ,Tetratricopeptide repeat (TPR)-like superfamily protein ,PPR ,NULL / Representative annotation below 0.1%,NULL / Representative annotation below 0.1%,3
Pn1.360,1897,Ovarian cancer-associated gene 2 protein homolog ,alpha/beta-Hydrolases superfamily protein,FSH1 ,calcium ion binding ,NULL / Representative annotation below 0.1%,1
Pn1.361,1897,Ovarian cancer-associated gene 2 protein homolog ,alpha/beta-Hydrolases superfamily protein,FSH1 ,calcium ion binding ,NULL / Representative annotation below 0.1%,1
Pn1.3613,6636,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit trm6 ,eukaryotic initiation factor 3 gamma subunit family protein,Gcd10p ,translation initiation factor activity ,"translational initiation (GO:0006413) [0.929] | regulation of transcription, DNA-templated (GO:0006355) [0.036]",3
