Accession	Source Database	Name	Tax ID	Tax Name	Length
A9ZPJ7	reviewed	Agmatine coumaroyltransferase-2	4513	Hordeum vulgare	439
B2RML5	reviewed	Acetyltransferase BOT5	40559	Botryotinia fuckeliana	545
B6H069	reviewed	Eremophilane O-acetyltransferase prx11	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	471
B6HV38	reviewed	Acetyltransferase adrJ	500485	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	497
C8VPT2	reviewed	Acyltransferase easC	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	479
D2Y3X2	reviewed	Acyltransferase Pun1	4072	Capsicum annuum	440
D4NUX0	reviewed	Hydroxycinnamoyl-CoA:piscidic acid hydroxycinnamoyltransferase	64040	Actaea racemosa	448
E5A7D7	reviewed	Acyltransferase abl6	985895	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8)	495
G0LD36	reviewed	Rosmarinate synthase	39338	Melissa officinalis	427
G3J454	reviewed	Acyltransferase cm3D	983644	Cordyceps militaris (strain CM01)	485
G3XMB8	reviewed	O-acetyltransferase azaD	380704	Aspergillus niger (strain ATCC 1015 / CBS 113.46 / FGSC A1144 / LSHB Ac4 / NCTC 3858a / NRRL 328 / USDA 3528.7)	461
I3PLR4	reviewed	(13S,14R)-1,13-dihydroxy-N-methylcanadine 13-O-acetyltransferase AT1	3469	Papaver somniferum	471
K4D9Y4	reviewed	Acylsugar acyltransferase 3	4081	Solanum lycopersicum	430
L0MZK4	reviewed	O-acetyltransferase PaAT-2	1214568	Phomopsis amygdali	490
O23393	reviewed	BAHD acyltransferase BIA1	3702	Arabidopsis thaliana	435
O23917	reviewed	Anthranilate N-benzoyltransferase protein 2	3570	Dianthus caryophyllus	446
O23918	reviewed	Anthranilate N-benzoyltransferase protein 3	3570	Dianthus caryophyllus	445
O24645	reviewed	Anthranilate N-benzoyltransferase protein 1	3570	Dianthus caryophyllus	445
O64470	reviewed	Spermidine hydroxycinnamoyl transferase	3702	Arabidopsis thaliana	451
O64988	reviewed	Acetyl-CoA-benzylalcohol acetyltransferase	36903	Clarkia breweri	433
O80467	reviewed	Spermidine sinapoyl-CoA acyltransferase	3702	Arabidopsis thaliana	451
O80816	reviewed	Acyltransferase GLAUCE	3702	Arabidopsis thaliana	450
O94197	reviewed	Trichothecene 3-O-acetyltransferase TRI101	5514	Fusarium sporotrichioides	459
P0DO25	reviewed	Alcohol acyltransferase 9	3627	Actinidia deliciosa	432
P0DO26	reviewed	Alcohol acyltransferase 17	3627	Actinidia deliciosa	456
P0DO56	reviewed	Piperine synthase	13216	Piper nigrum	461
P0DO57	reviewed	Piperamide synthase	13216	Piper nigrum	460
P0DUL1	reviewed	O-acetyltransferase hkm3	1873369	Aspergillus hancockii	484
P0DUQ3	reviewed	Phenolic glucoside malonyltransferase 1	7038	Bemisia tabaci	461
Q0DJH7	reviewed	Acyl transferase 5	39947	Oryza sativa subsp. japonica	432
Q0DKA5	reviewed	Acyl transferase 7	39947	Oryza sativa subsp. japonica	439
Q0ING3	reviewed	Spermidine hydroxycinnamoyltransferase 2	39947	Oryza sativa subsp. japonica	446
Q0JBZ8	reviewed	Hydroxycinnamoyltransferase 1	39947	Oryza sativa subsp. japonica	442
Q12226	reviewed	Trichothecene 3-O-acetyltransferase	559292	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	474
Q2QRK9	reviewed	Spermidine hydroxycinnamoyltransferase 1	39947	Oryza sativa subsp. japonica	443
Q2R0J4	reviewed	Tryptamine benzoyltransferase 2	39947	Oryza sativa subsp. japonica	448
Q2R0K3	reviewed	Tryptamine benzoyltransferase 1	39947	Oryza sativa subsp. japonica	445
Q2UEK8	reviewed	O-acetyltransferase astG	510516	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	471
Q338X7	reviewed	Tryptamine hydroxycinnamoyltransferase 1	39947	Oryza sativa subsp. japonica	436
Q39048	reviewed	Protein ECERIFERUM 2	3702	Arabidopsis thaliana	421
Q3ZPN4	reviewed	Methanol O-anthraniloyltransferase	103355	Vitis labrusca	449
Q4WR21	reviewed	Acyltransferase helD1	330879	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	478
Q4WR23	reviewed	Acyltransferase helD2	330879	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	463
Q4WZ64	reviewed	Fumigaclavine B O-acetyltransferase easN	330879	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	494
Q589Y0	reviewed	Phenolic glucoside malonyltransferase 1	4097	Nicotiana tabacum	453
Q58VT1	reviewed	Acyltransferase Pun1	4073	Capsicum frutescens	440
Q5H873	reviewed	13-hydroxylupanine O-tigloyltransferase	3870	Lupinus albus	453
Q5JNT2	reviewed	Acyl transferase 4	39947	Oryza sativa subsp. japonica	439
Q5SMM6	reviewed	Hydroxycinnamoyltransferase 4	39947	Oryza sativa subsp. japonica	433
Q5SMM8	reviewed	Putrescine hydroxycinnamoyltransferase 1	39947	Oryza sativa subsp. japonica	445
Q5SMQ0	reviewed	Putrescine hydroxycinnamoyltransferase 2	39947	Oryza sativa subsp. japonica	319
Q64FJ6	reviewed	Alcohol acyl transferase 1 allele RGa	3750	Malus domestica	455
Q69UD7	reviewed	Acyl transferase 8	39947	Oryza sativa subsp. japonica	431
Q69UE6	reviewed	Acyl transferase 10	39947	Oryza sativa subsp. japonica	443
Q6E593	reviewed	Benzyl alcohol O-benzoyltransferase	4102	Petunia hybrida	460
Q6K638	reviewed	Hydroxycinnamoyltransferase 2	39947	Oryza sativa subsp. japonica	442
Q6R311	reviewed	Alcohol acyl transferase 2	3750	Malus domestica	459
Q6TXD2	reviewed	Pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase	180675	Salvia splendens	417
Q70PR7	reviewed	Vinorine synthase	4060	Rauvolfia serpentina	421
Q7G4G7	reviewed	Acyl transferase 1	39947	Oryza sativa subsp. japonica	485
Q7XHC4	reviewed	Acyl transferase 15	39947	Oryza sativa subsp. japonica	434
Q7XPK7	reviewed	Agmatine hydroxycinnamoyltransferase 1	39947	Oryza sativa subsp. japonica	449
Q7XXN4	reviewed	Putrescine hydroxycinnamoyltransferase	39947	Oryza sativa subsp. japonica	452
Q7XXN5	reviewed	Putrescine hydroxycinnamoyltransferase 3	39947	Oryza sativa subsp. japonica	437
Q7XXP3	reviewed	Hydroxycinnamoyl-CoA:5-hydroxyanthranilate N-hydroxycinnamoyltransferase HHT1	4498	Avena sativa	441
Q86Z65	reviewed	Trichothecene 8-O-acetyltransferase	5514	Fusarium sporotrichioides	493
Q8GSM7	reviewed	Shikimate O-hydroxycinnamoyltransferase	4097	Nicotiana tabacum	435
Q8GSN8	reviewed	Malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase	101596	Dahlia pinnata	460
Q8GT20	reviewed	Benzyl alcohol O-benzoyltransferase	4097	Nicotiana tabacum	460
Q8GT21	reviewed	Benzyl alcohol O-benzoyltransferase	36903	Clarkia breweri	456
Q8GYW8	reviewed	Spermidine coumaroyl-CoA acyltransferase	3702	Arabidopsis thaliana	461
Q8GZU0	reviewed	Minovincinine 19-hydroxy-O-acetyltransferase	4058	Catharanthus roseus	443
Q8H2B5	reviewed	Baccatin III:3-amino-3-phenylpropanoyltransferase	99806	Taxus cuspidata	445
Q8LL69	reviewed	3'-N-debenzoyl-2'-deoxytaxol N-benzoyltransferase	88032	Taxus canadensis	441
Q8LMI4	reviewed	Tryptamine hydroxycinnamoyltransferase 2	39947	Oryza sativa subsp. japonica	434
Q8S9G6	reviewed	Taxadien-5-alpha-ol O-acetyltransferase	29808	Taxus wallichiana var. chinensis	439
Q8W1W9	reviewed	Malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase	180675	Salvia splendens	462
Q940Z5	reviewed	Phenolic glucoside malonyltransferase 1	3702	Arabidopsis thaliana	469
Q94CD1	reviewed	Omega-hydroxypalmitate O-feruloyl transferase	3702	Arabidopsis thaliana	457
Q94FT4	reviewed	Salutaridinol 7-O-acetyltransferase	3469	Papaver somniferum	474
Q9FF86	reviewed	BAHD acyltransferase DCR	3702	Arabidopsis thaliana	484
Q9FFQ7	reviewed	Fatty alcohol:caffeoyl-CoA acyltransferase	3702	Arabidopsis thaliana	426
Q9FH97	reviewed	Protein ENHANCED PSEUDOMONAS SUSCEPTIBILITY 1	3702	Arabidopsis thaliana	434
Q9FI40	reviewed	BAHD acyltransferase At5g47980	3702	Arabidopsis thaliana	443
Q9FI78	reviewed	Shikimate O-hydroxycinnamoyltransferase	3702	Arabidopsis thaliana	433
Q9FNP9	reviewed	Agmatine coumaroyltransferase	3702	Arabidopsis thaliana	452
Q9FPW3	reviewed	2-alpha-hydroxytaxane 2-O-benzoyltransferase	99806	Taxus cuspidata	440
Q9LGQ6	reviewed	Acyl transferase 9	39947	Oryza sativa subsp. japonica	419
Q9LIS1	reviewed	Protein ECERIFERUM 26-like	3702	Arabidopsis thaliana	420
Q9LJB4	reviewed	Malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase	3702	Arabidopsis thaliana	449
Q9LR73	reviewed	Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 2	3702	Arabidopsis thaliana	465
Q9LRQ7	reviewed	BAHD acyltransferase At3g29680	3702	Arabidopsis thaliana	451
Q9LRQ8	reviewed	Phenolic glucoside malonyltransferase 2	3702	Arabidopsis thaliana	451
Q9M6E2	reviewed	10-deacetylbaccatin III 10-O-acetyltransferase	99806	Taxus cuspidata	440
Q9M6F0	reviewed	Taxadien-5-alpha-ol O-acetyltransferase	99806	Taxus cuspidata	439
Q9MBC1	reviewed	Anthocyanidin 3-O-glucoside 6''-O-acyltransferase	48386	Perilla frutescens	446
Q9SND9	reviewed	Uncharacterized acetyltransferase At3g50280	3702	Arabidopsis thaliana	443
Q9SPU3	reviewed	Acetyl-CoA-benzylalcohol acetyltransferase	36903	Clarkia breweri	433
Q9SRQ2	reviewed	(Z)-3-hexen-1-ol acetyltransferase	3702	Arabidopsis thaliana	454
Q9SVM9	reviewed	Protein ECERIFERUM 26	3702	Arabidopsis thaliana	428
Q9SZ58	reviewed	Brassinosteroid-related acyltransferase 1	3702	Arabidopsis thaliana	458
Q9ZTK5	reviewed	Deacetylvindoline O-acetyltransferase	4058	Catharanthus roseus	439
Q9ZWB4	reviewed	Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1	3702	Arabidopsis thaliana	469
Q9ZWR8	reviewed	Anthocyanin 5-aromatic acyltransferase	55190	Gentiana triflora	469
V5XYQ7	reviewed	Acyltransferase AFT15-1	5599	Alternaria alternata	517
V9P9L8	reviewed	Alcohol acyl transferase 1 allele RGb	3750	Malus domestica	455
V9P9S4	reviewed	Alcohol acyl transferase 1 allele GSb	3750	Malus domestica	455
W6Q0S4	reviewed	Fumigaclavine B O-acetyltransferase ifgI	1365484	Penicillium roqueforti (strain FM164)	484
W6QP10	reviewed	Eremophilane O-acetyltransferase ORF8	1365484	Penicillium roqueforti (strain FM164)	471
