Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O95864	reviewed	FADS2_HUMAN	Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)	FADS2	Homo sapiens (Human)	444
P07308	reviewed	ACOD1_RAT	Acyl-CoA desaturase 1 (EC 1.14.19.1) (Delta(9)-desaturase 1) (Delta-9 desaturase 1) (Fatty acid desaturase 1) (Stearoyl-CoA desaturase 1)	Scd1 Scd	Rattus norvegicus (Rat)	358
P0DKI7	reviewed	STORR_PAPSO	Bifunctional protein STORR ((S)- to (R)-reticuline) [Includes: Cytochrome P450 82Y2 (EC 1.14.19.54) (1,2-dehydroreticuline synthase) (CYP82Y2); Oxydoreductase (EC 1.5.1.27) (1,2-dehydroreticulinium reductase (NADPH))]	STORR	Papaver somniferum (Opium poppy)	901
P13011	reviewed	SCD2_MOUSE	Stearoyl-CoA desaturase 2 (EC 1.14.19.1) (Acyl-CoA desaturase 2) (Delta(9)-desaturase 2) (Delta-9 desaturase 2) (Fatty acid desaturase 2)	Scd2	Mus musculus (Mouse)	358
P13516	reviewed	ACOD1_MOUSE	Acyl-CoA desaturase 1 (EC 1.14.19.1) (Delta(9)-desaturase 1) (Delta-9 desaturase 1) (Fatty acid desaturase 1) (Stearoyl-CoA desaturase 1)	Scd1	Mus musculus (Mouse)	355
P21147	reviewed	ACO1_YEAST	Acyl-CoA desaturase 1 (EC 1.14.19.1) (Delta 9 fatty acid desaturase) (Fatty acid desaturase 1) (Stearoyl-CoA desaturase 1)	OLE1 YGL055W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	510
P22337	reviewed	STAD_RICCO	Stearoyl-[acyl-carrier-protein] 9-desaturase, chloroplastic (Stearoyl-ACP desaturase) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase) (Delta(9) stearoyl-acyl carrier protein desaturase)		Ricinus communis (Castor bean)	396
P32353	reviewed	ERG3_YEAST	Delta(7)-sterol 5(6)-desaturase ERG3 (EC 1.14.19.20) (C-5 sterol desaturase ERG3) (Ergosterol Delta(5,6) desaturase ERG3) (Ergosterol biosynthetic protein 3) (Sterol-C5-desaturase)	ERG3 PSO6 SYR1 YLR056W L2150	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	365
P46310	reviewed	FAD3C_ARATH	sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic (EC 1.14.19.35) (Omega-3 fatty acid desaturase 7, chloroplastic)	FAD7 FADD At3g11170 F11B9.10 F9F8.4	Arabidopsis thaliana (Mouse-ear cress)	446
P46312	reviewed	FAD6C_ARATH	Omega-6 fatty acid desaturase, chloroplastic (EC 1.14.19.23)	FAD6 FADC At4g30950 F6I18.140	Arabidopsis thaliana (Mouse-ear cress)	448
P46313	reviewed	FAD6E_ARATH	Delta(12)-fatty-acid desaturase (Fatty acid desaturase 2) (EC 1.14.19.22) (EC 1.14.19.6) (Omega-6 fatty acid desaturase, endoplasmic reticulum)	FAD2 At3g12120 T21B14.6 T21B14_107 T23B7.6	Arabidopsis thaliana (Mouse-ear cress)	383
P48622	reviewed	FAD3D_ARATH	Temperature-sensitive sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic (EC 1.14.19.35) (Temperature-sensitive omega-3 fatty acid desaturase 8, chloroplastic)	FAD8 At5g05580 MOP10.12	Arabidopsis thaliana (Mouse-ear cress)	435
P54781	reviewed	ERG5_YEAST	C-22 sterol desaturase ERG5 (EC 1.14.19.41) (Cytochrome P450 61) (Ergosterol biosynthetic protein 5)	ERG5 CYP61 YMR015C YM9711.02C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	538
P95480	reviewed	PRNA_PSEFL	Flavin-dependent tryptophan halogenase PrnA (EC 1.14.19.9)	prnA	Pseudomonas fluorescens	538
P95481	reviewed	PRNB_PSEFL	Monodechloroaminopyrrolnitrin synthase PrnB (EC 1.14.19.-) (7-chloro-L-tryptophan dioxygenase PrnB)	prnB	Pseudomonas fluorescens	361
P9WNZ3	reviewed	DESA3_MYCTU	NADPH-dependent stearoyl-CoA 9-desaturase (EC 1.14.19.n4) (Delta(9)-stearoyl desaturase) (Stearoyl-CoA 9-desaturase (NADPH)) (Stearoyl-CoA Delta(9)-desaturase)	desA3 Rv3229c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	427
P9WPP7	reviewed	CP121_MYCTU	Mycocyclosin synthase (EC 1.14.19.70) (Cytochrome P450 121) (Cytochrome P450 MT2)	cyp121 Rv2276 MTCY339.34c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	396
Q05047	reviewed	SLS1_CATRO	Secologanin synthase 1 (EC 1.14.19.62) (CYPLXXII) (Cytochrome P450 72A1) (Secologanin synthase)	SLS1 CYP72 CYP72A1 P450CR3 SLS	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	524
Q0JFI2	reviewed	C93G1_ORYSJ	Cytochrome P450 93G1 (EC 1.14.19.76) (Flavone synthase II) (OsFNSII)	CYP93G1 Os04g0101400 LOC_Os04g01140 B1160F02.15 OsJ_13492 OSJNBa0068L06.2	Oryza sativa subsp. japonica (Rice)	516
Q1JUZ1	reviewed	NVD_DROME	Cholesterol 7-desaturase nvd (EC 1.14.19.21) (Neverland) (Nvd_Dm) (Rieske-domain protein Neverland)	nvd CG40050	Drosophila melanogaster (Fruit fly)	429
Q23221	reviewed	FAT3_CAEEL	Delta(6)-fatty-acid desaturase fat-3 (FAT-3) (EC 1.14.19.3) (Delta(6)-fatty-acid desaturase) (Ceeld6) (Fatty acid desaturase 3)	fat-3 W08D2.4	Caenorhabditis elegans	443
Q39208	reviewed	SC5D1_ARATH	Delta(7)-sterol-C5(6)-desaturase 1 (EC 1.14.19.20) (Delta(7)-sterol-C5-desaturase 1) (Delta-7-C-5 sterol desaturase 1) (Protein DWARF 7) (Protein STEROL 1)	STE1 DWF7 At3g02580 F16B3.21	Arabidopsis thaliana (Mouse-ear cress)	281
Q3EBF7	reviewed	SLD2_ARATH	Delta(8)-fatty-acid desaturase 2 (EC 1.14.19.29) (Delta(8)-sphingolipid desaturase 2) (Sphingoid long-chain base desaturase 2) (Sphingoid LCB desaturase 2) (Sphingolipid 8-(E/Z)-desaturase 2)	SLD2 At2g46210 T3F17.14	Arabidopsis thaliana (Mouse-ear cress)	449
Q3ZBY7	reviewed	DEGS1_BOVIN	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Retinol isomerase) (EC 5.2.1.-)	DEGS1 DES1	Bos taurus (Bovine)	323
Q42569	reviewed	C90A1_ARATH	3beta,22alpha-dihydroxysteroid 3-dehydrogenase (EC 1.14.19.79) ((22R,23R)-22,23-dihydroxy-campest-4-en-3-one synthase) ((22S,24R)-22-hydroxy-5alpha-ergostan-3-one synthase) ((22S,24R)-22-hydroxyergost-4-en-3-one synthase) (3-dehydro-6-deoxoteasterone synthase) (Cytochrome P450 90A1) (AtCYP90A1) (Protein CONSTITUTIVE PHOTOMORPHOGENESIS AND DWARFISM)	CYP90A1 CPD CYP90 At5g05690 MJJ3.9	Arabidopsis thaliana (Mouse-ear cress)	472
Q4G0S4	reviewed	C27C1_HUMAN	Cytochrome P450 27C1 (EC 1.14.19.53) (All-trans retinol 3,4-desaturase)	CYP27C1	Homo sapiens (Human)	542
Q50LH4	reviewed	C7193_ESCCA	Trifunctional (S)-stylopine synthase 2/(S)-nandinine synthase/(S)-canadine synthase (STS) (EC 1.14.19.64) (EC 1.14.19.68) (EC 1.14.19.73) (Cytochrome P450 719A3) (EcCYP719A3) (EcCYPA)	CYP719A3	Eschscholzia californica (California poppy)	495
Q564G3	reviewed	DEGS2_RAT	Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase)	Degs2 Des2	Rattus norvegicus (Rat)	323
Q59VG6	reviewed	ERG3_CANAL	Delta(7)-sterol 5(6)-desaturase ERG3 (EC 1.14.19.20) (C-5 sterol desaturase ERG3) (Ergosterol Delta(5,6) desaturase erg3) (Ergosterol biosynthesis protein 3) (Sterol-C5-desaturase ERG3)	ERG3 orf19.767 CAALFM_C104770CA	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	386
Q5A747	unreviewed	Q5A747_CANAL	Acyl-CoA desaturase (EC 1.14.19.1)	OLE1 CAALFM_C108360CA orf19.12583	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	486
Q5AEK8	reviewed	SLD1_CANAL	Delta 8-(E)-sphingolipid desaturase (EC 1.14.19.18)	SLD1 CAALFM_C302680CA CaO19.260	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	584
Q5F3C1	reviewed	DEGS1_CHICK	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Retinol isomerase) (EC 5.2.1.-)	DEGS1 DES1 RCJMB04_22e12	Gallus gallus (Chicken)	323
Q5RE51	reviewed	DEGS1_PONAB	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Retinol isomerase) (EC 5.2.1.-)	DEGS1 DES1	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	323
Q5XIF5	reviewed	DEGS1_RAT	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Degenerative spermatocyte homolog 1) (Degenerative spermatocyte-like protein RDES) (Dihydroceramide desaturase-1) (Retinol isomerase) (EC 5.2.1.-)	Degs1 Degs Des1	Rattus norvegicus (Rat)	323
Q6P7B9	reviewed	SCD2_RAT	Stearoyl-CoA desaturase 2 (EC 1.14.19.1) (Acyl-CoA desaturase 2) (Delta(9)-desaturase 2) (Delta-9 desaturase 2) (Fatty acid desaturase 2)	Scd2	Rattus norvegicus (Rat)	358
Q6QHC5	reviewed	DEGS2_HUMAN	Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase)	DEGS2 C14orf66	Homo sapiens (Human)	323
Q6T707	reviewed	SCD4_MOUSE	Stearoyl-CoA desaturase 4 (EC 1.14.19.1) (Acyl-CoA desaturase 4) (Delta(9)-desaturase 4) (Delta-9 desaturase 4) (Fatty acid desaturase 4)	Scd4	Mus musculus (Mouse)	353
Q6UQ04	reviewed	DEGS1_MICFO	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Degenerative spermatocyte homolog 1) (Dihydroceramide desaturase-1) (Retinol isomerase) (EC 5.2.1.-)	DEGS1 DES1	Microtus fortis (Reed vole)	323
Q7K4Y0	unreviewed	Q7K4Y0_DROME	Desaturase 1, isoform A (Desaturase 1, isoform B (EC 1.14.19.1)) (Desaturase 1, isoform C) (Desaturase 1, isoform D) (Desaturase 1, isoform E) (GH23546p)	Desat1 anon-WO0118547.726 anon-WO0118547.730 BEST:SD05462 desat DESAT1 desat1 Dmel\CG5887 ds1 Fad fad l(3)S028813 CG5887 Dmel_CG5887	Drosophila melanogaster (Fruit fly)	383
Q86SK9	reviewed	SCD5_HUMAN	Stearoyl-CoA desaturase 5 (EC 1.14.19.1) (Acyl-CoA-desaturase 4) (HSCD5) (Stearoyl-CoA 9-desaturase) (Stearoyl-CoA desaturase 2)	SCD5 ACOD4 SCD2 SCD4	Homo sapiens (Human)	330
Q8K1P9	reviewed	FADS3_RAT	Fatty acid desaturase 3 (EC 1.14.19.-) (Delta(13) fatty acid desaturase) (Delta(13) desaturase) (trans-vaccenate Delta13-desaturase)	Fads3	Rattus norvegicus (Rat)	449
Q8N9I5	reviewed	FADS6_HUMAN	Fatty acid desaturase 6 (EC 1.14.19.-)	FADS6 FP18279	Homo sapiens (Human)	356
Q8R2F2	reviewed	DEGS2_MOUSE	Sphingolipid delta(4)-desaturase/C4-monooxygenase DES2 (EC 1.14.18.5) (EC 1.14.19.17) (Degenerative spermatocyte homolog 2) (Sphingolipid 4-desaturase) (Sphingolipid C4-monooxygenase)	Degs2	Mus musculus (Mouse)	323
Q920L1	reviewed	FADS1_MOUSE	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)	Fads1	Mus musculus (Mouse)	447
Q920R3	reviewed	FADS1_RAT	Acyl-CoA (8-3)-desaturase (EC 1.14.19.44) (Delta(5) fatty acid desaturase) (D5D) (Delta(5) desaturase) (Delta-5 desaturase) (Fatty acid desaturase 1)	Fads1	Rattus norvegicus (Rat)	447
Q94515	reviewed	DEGS1_DROME	Sphingolipid delta(4)-desaturase DES1 (EC 1.14.19.17) (Degenerative spermatocyte homolog 1) (DES-1) (Dihydroceramide desaturase-1)	ifc CG9078	Drosophila melanogaster (Fruit fly)	321
Q949X0	reviewed	ADS3_ARATH	Palmitoyl-monogalactosyldiacylglycerol delta-7 desaturase, chloroplastic (EC 1.14.19.42) (Acyl-lipid desaturase 3) (Fatty acid desaturase 5) (FAD5) (Fatty acid desaturase B) (FADB) (Monogalactosyldiacylglycerol-specific palmitic acid desaturase)	ADS3 FAD5 FADB At3g15850 MSJ11.25	Arabidopsis thaliana (Mouse-ear cress)	371
Q99LQ7	reviewed	PDES1_MOUSE	Plasmanylethanolamine desaturase 1 (EC 1.14.19.77) (Transmembrane protein 189)	PEDS1 Pdes Tmem189	Mus musculus (Mouse)	271
Q99PL7	reviewed	SCD3_MOUSE	Acyl-CoA desaturase 3 (EC 1.14.19.-) (Delta(9)-desaturase 3) (Delta-9 desaturase 3) (Fatty acid desaturase 3) (Palmitoyl-CoA desaturase) (Stearoyl-CoA desaturase 3)	Scd3	Mus musculus (Mouse)	359
Q9AE87	reviewed	CARF_MYXXA	Plasmanylethanolamine desaturase (EC 1.14.19.77) (Carotenogenesis protein CarF) (CarF)	carF	Myxococcus xanthus	281
Q9EQS5	reviewed	SC5D_RAT	Lathosterol oxidase (EC 1.14.19.20) (C-5 sterol desaturase) (Delta(7)-sterol 5-desaturase) (Delta(7)-sterol C5(6)-desaturase) (Lathosterol 5-desaturase) (Sterol-C5-desaturase)	Sc5d C5d	Rattus norvegicus (Rat)	299
Q9FCA6	reviewed	C1582_STRCO	Biflaviolin synthase CYP158A2 (EC 1.14.19.69) (Cytochrome P450 158A2) (CYP158A2)	cyp158a2 SCO1207	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	404
Q9KZF5	reviewed	C1581_STRCO	Biflaviolin synthase CYP158A1 (EC 1.14.19.69) (Cytochrome P450 158A1) (CYP158A1)	cyp158a1 SCO6998	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	407
Q9LF05	reviewed	STAD3_ARATH	Stearoyl-[acyl-carrier-protein] 9-desaturase 3, chloroplastic (Stearoyl-ACP desaturase 3) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase 3)	S-ACP-DES3 AAD3 SAD3 At5g16230 T21H19_150	Arabidopsis thaliana (Mouse-ear cress)	401
Q9LW27	reviewed	C71BF_ARATH	Bifunctional dihydrocamalexate synthase/camalexin synthase (EC 1.14.19.52) (Cytochrome P450 71B15) (Dihydrocamalexate:NADP(+) oxidoreductase (decarboxylating)) (Protein PHYTOALEXIN DEFICIENT 3)	CYP71B15 PAD3 At3g26830 MDJ14.15	Arabidopsis thaliana (Mouse-ear cress)	490
Q9M881	reviewed	STAD2_ARATH	Stearoyl-[acyl-carrier-protein] 9-desaturase 2, chloroplastic (Stearoyl-ACP desaturase 2) (EC 1.14.19.2) (Acyl-[acyl-carrier-protein] desaturase 2)	S-ACP-DES2 AAD2 SAD2 At3g02610 F16B3.24	Arabidopsis thaliana (Mouse-ear cress)	411
Q9NEQ0	reviewed	FAT1_CAEEL	Omega-3 fatty acid desaturase fat-1 (FAT-1) (EC 1.14.19.-) (FAT-1 N3 desaturase) (Fatty acid desaturase 1) (Fatty acid metabolism 1)	fat-1 Y67H2A.8	Caenorhabditis elegans	402
Q9SID2	reviewed	ADS2_ARATH	Delta-9 acyl-lipid desaturase 2 (EC 1.14.19.75)	ADS2 At2g31360 T28P16.15	Arabidopsis thaliana (Mouse-ear cress)	307
Q9SZ42	reviewed	FAD4_ARATH	Fatty acid desaturase 4, chloroplastic (EC 1.14.19.43) (Fatty acid desaturase A)	FAD4 FADA At4g27030 F10M23.370	Arabidopsis thaliana (Mouse-ear cress)	323
Q9Y1W0	reviewed	FAD5A_DICDI	Delta(5) fatty acid desaturase A (Delta-5 fatty acid desaturase A) (EC 1.14.19.-)	fadA des5-1 DDB_G0285211	Dictyostelium discoideum (Social amoeba)	464
Q9Y5Q0	reviewed	FADS3_HUMAN	Fatty acid desaturase 3 (FADS3) (EC 1.14.19.-) (Delta(13) fatty acid desaturase) (Delta(13) desaturase)	FADS3 CYB5RP	Homo sapiens (Human)	445
Q9Z0R9	reviewed	FADS2_MOUSE	Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)	Fads2 Fadsd2	Mus musculus (Mouse)	444
Q9Z122	reviewed	FADS2_RAT	Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)	Fads2 Fadsd6	Rattus norvegicus (Rat)	444
Q9ZRP7	reviewed	SLD1_ARATH	Delta(8)-fatty-acid desaturase 1 (EC 1.14.19.29) (Delta(8)-sphingolipid desaturase 1) (Sphingoid long-chain base desaturase 1) (Sphingoid LCB desaturase 1) (Sphingolipid 8-(E/Z)-desaturase 1)	SLD1 At3g61580 F2A19.180	Arabidopsis thaliana (Mouse-ear cress)	449
U5NDT8	reviewed	SLS2_CATRO	Secologanin synthase 2 (EC 1.14.19.62) (Cytochrome P450 72C) (CrCYP72C) (Secologanin synthase) (CrSLS)	SLS2 CYP72C SLS Caros020659	Catharanthus roseus (Madagascar periwinkle) (Vinca rosea)	527
A0A0E0SNE8	reviewed	ERG3B_GIBZE	Delta(7)-sterol 5(6)-desaturase ERG3B (EC 1.14.19.20) (C-5 sterol desaturase ERG3B) (Ergosterol Delta(5,6) desaturase ERG3B) (Ergosterol biosynthetic protein 3B)	ERG3B FG04994 FGRAMPH1_01T16829	Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum)	323
A0A140IL90	reviewed	C96T1_NARAP	Noroxomaritidine synthase (EC 1.14.19.50) (CYP96T1) (Cytochrome P450 96T1)	Cyp96T1	Narcissus aff. pseudonarcissus MK-2014 (Daffodil)	513
A0A1E7MYN1	reviewed	CTCP_KITAU	Tetracycline 7-halogenase (EC 1.14.19.49) (FADH2-dependent halogenase)	ctcP cts4 B6264_18525 HS99_0013305	Kitasatospora aureofaciens (Streptomyces aureofaciens)	555
A0PJ29	reviewed	D4FAD_REBSA	Acyl-lipid (7-3)-desaturase (EC 1.14.19.31) (Acyl-lipid 4-desaturase) (Delta-4 desaturase) (PsD4Des)	D4Des	Rebecca salina (Marine microalga) (Pavlova salina)	447
A1DA63	reviewed	FTME_NEOFI	Fumitremorgin C synthase (EC 1.14.19.71) (Fumitremorgin biosynthesis protein E)	ftmP450-2 ftmE NFIA_093730	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)	526
A4FV48	reviewed	FADS2_BOVIN	Acyl-CoA 6-desaturase (EC 1.14.19.3) (Delta(6) fatty acid desaturase) (D6D) (Delta(6) desaturase) (Delta-6 desaturase) (Fatty acid desaturase 2)	FADS2	Bos taurus (Bovine)	444
