Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A125QZE2	reviewed	11-hydroxysugiol 20-monooxygenase	226208	Salvia miltiorrhiza	503	PF00067	35..491
A0A140IL90	reviewed	Noroxomaritidine synthase	1540222	Narcissus aff. pseudonarcissus MK-2014	513	PF00067	42..493
A0A140IL91	reviewed	Noroxomaritidine synthase 2	1540222	Narcissus aff. pseudonarcissus MK-2014	513	PF00067	42..493
A0A140IL92	reviewed	Noroxomaritidine synthase 3	1540222	Narcissus aff. pseudonarcissus MK-2014	513	PF00067	42..493
A0A140JWM8	reviewed	Cytochrome P450 716A2	3702	Arabidopsis thaliana	473	PF00067	34..445
A0A140JWT0	reviewed	Cytochrome P450 monooxygenase ptmQ	69488	Penicillium simplicissimum	514	PF00067	228..492
A0A140JWT4	reviewed	Cytochrome P450 monooxygenase ptmP	69488	Penicillium simplicissimum	446	PF00067	111..421
A0A140JWT6	reviewed	Cytochrome P450 monooxygenase ptmU	69488	Penicillium simplicissimum	507	PF00067	222..483
A0A140JWT8	reviewed	Cytochrome P450 monooxygenase ptmJ	69488	Penicillium simplicissimum	515	PF00067	94..473
A0A140JWT9	reviewed	Cytochrome P450 monooxygenase ptmK	69488	Penicillium simplicissimum	510	PF00067	80..482
A0A140JWU1	reviewed	Cytochrome P450 monooxygenase ptmG	69488	Penicillium simplicissimum	540	PF00067	101..499
A0A144KPK9	reviewed	Cytochrome P450 monooxygenase TES1	5599	Alternaria alternata	506	PF00067	137..467
A0A159AKG3	reviewed	Cytochrome P450 71D182	49992	Thymus vulgaris	496	PF00067	34..483
A0A161GJD5	reviewed	Cytochrome P450 726A27	212925	Euphorbia lathyris	500	PF00067	37..478
A0A165U5Z9	reviewed	Cytochrome P450 71D445	212925	Euphorbia lathyris	513	PF00067	42..488
A0A166YZR3	reviewed	Cytochrome P450 monooxygenase ppzG	1081105	Metarhizium rileyi (strain RCEF 4871)	251	PF00067	90..238
A0A166YZU9	reviewed	Cytochrome P450 monooxygenase ppzE	1081105	Metarhizium rileyi (strain RCEF 4871)	392	PF00067	155..357
A0A167LUR6	reviewed	Cytochrome P450 monooxygenase fumoB	1081104	Cordyceps fumosorosea (strain ARSEF 2679)	546	PF00067	185..537
A0A167LUS5	reviewed	Cytochrome P450 monooxygenase fumoA	1081104	Cordyceps fumosorosea (strain ARSEF 2679)	509	PF00067	86..478
A0A179H0I7	reviewed	Cytochrome P450 monooxygenase lcsI	33203	Purpureocillium lilacinum	516	PF00067	71..493
A0A179HJU2	reviewed	Cytochrome P450 monooxygenase lcsK	33203	Purpureocillium lilacinum	548	PF00067	115..530
A0A179HLW2	reviewed	Cytochrome P450 monooxygenase lcsN	33203	Purpureocillium lilacinum	336	PF00067	2..295
A0A1B2CTB6	reviewed	Cytochrome P450 monooxygenase penB	293382	Penicillium thymicola	445	PF00067	18..417
A0A1B4XBH0	reviewed	Cytochrome P450 monooxygenase sdnE	573841	Sordaria araneosa	517	PF00067	56..503
A0A1B4XBH1	reviewed	Cytochrome P450 monooxygenase sdnF	573841	Sordaria araneosa	521	PF00067	57..491
A0A1B4XBH8	reviewed	Cytochrome P450 monooxygenase sdnH	573841	Sordaria araneosa	542	PF00067	121..502
A0A1B4XBI1	reviewed	Cytochrome P450 monooxygenase sdnQ	573841	Sordaria araneosa	551	PF00067	123..530
A0A1B4XBI3	reviewed	Cytochrome P450 monooxygenase sdnT	573841	Sordaria araneosa	558	PF00067	80..531
A0A1B4XBJ9	reviewed	Cytochrome P450 monooxygenase sdnB	573841	Sordaria araneosa	545	PF00067	169..535
A0A1D6F9Y9	reviewed	Trimethyltridecatetraene synthase	4577	Zea mays	554	PF00067	33..506
A0A1D6GQ67	reviewed	Dolabradiene monooxygenase	4577	Zea mays	506	PF00067	34..484
A0A1D6HSP4	reviewed	Dimethylnonatriene synthase	4577	Zea mays	531	PF00067	39..505
A0A1D8QMD1	reviewed	Carnosic acid synthase	268906	Salvia fruticosa	500	PF00067	33..487
A0A1D8QMD2	reviewed	Carnosic acid synthase	39367	Rosmarinus officinalis	507	PF00067	37..493
A0A1D8QMG4	reviewed	Carnosic acid synthase	39367	Rosmarinus officinalis	504	PF00067	36..490
A0A1E1FFL4	reviewed	Cytochrome P450 monooxygenase prhD	104259	Penicillium brasilianum	511	PF00067	69..478
A0A1E1FFM3	reviewed	Cytochrome P450 monooxygenase prhB	104259	Penicillium brasilianum	489	PF00067	44..478
A0A1E1FFN3	reviewed	Cytochrome P450 monooxygenase prhN	104259	Penicillium brasilianum	502	PF00067	222..492
A0A1E3B0R7	reviewed	Cytochrome P450 monooxygenase criE	573508	Aspergillus cristatus	532	PF00067	50..492
A0A1I9Q5Z0	reviewed	Beta-amyrin 16-beta-monooxygenase	94286	Platycodon grandiflorus	481	PF00067	33..454
A0A1L3HS58	reviewed	Epoxyalcohol synthase CYP5164B1	2880	Ectocarpus siliculosus	477	PF00067	280..395
A0A1L7TV75	reviewed	Cytochrome P450 monooxygenase FPY7	192010	Fusarium mangiferae	519	PF00067	80..497
A0A1L9URA0	reviewed	Cytochrome P450 monooxygenase bfoB	767769	Aspergillus brasiliensis (strain CBS 101740 / IMI 381727 / IBT 21946)	489	PF00067	41..457
A0A1L9WLE2	reviewed	Cytochrome P450 monooxygenase AacuE	690307	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	502	PF00067	37..473
A0A1L9WN31	reviewed	Cytochrome P450 monooxygenase acuC	690307	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	531	PF00067	33..485
A0A1L9WN72	reviewed	Cytochrome P450 monooxygenase acuD	690307	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	529	PF00067	39..491
A0A1L9WQP6	reviewed	Cytochrome P450 monooxygenase acrD	690307	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	500	PF00067	67..480
A0A1L9WQW4	reviewed	Cytochrome P450 monooxygenase acrF	690307	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	494	PF00067	12..445
A0A1L9WUS5	reviewed	Cytochrome P450 monooxygenase aneD	690307	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	514	PF00067	32..476
A0A1L9WUV2	reviewed	Cytochrome P450 monooxygenase aneG	690307	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	530	PF00067	90..519
A0A1L9WVI3	reviewed	Cytochrome P450 monooxygenase aneF	690307	Aspergillus aculeatus (strain ATCC 16872 / CBS 172.66 / WB 5094)	495	PF00067	50..472
A0A1R3RGJ7	reviewed	Cytochrome P450 monooxygenase otaC	602072	Aspergillus carbonarius (strain ITEM 5010)	516	PF00067	67..495
A0A1U8QFC3	reviewed	Cytochrome P450 monooxygenase alnD	227321	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	553	PF00067	79..537
A0A1U9YHZ8	reviewed	Cytochrome P450 monooxygenase verL	122658	Clonostachys rogersoniana	544	PF00067	33..496
A0A1U9YHZ9	reviewed	Cytochrome P450 monooxygenase verC	122658	Clonostachys rogersoniana	502	PF00067	83..474
A0A1U9YI05	reviewed	Cytochrome P450 monooxygenase verB	122658	Clonostachys rogersoniana	514	PF00067	133..505
A0A1V0QSB7	reviewed	Cytochrome P450 monooxyhenase eriC	91752	Hericium erinaceus	511	PF00067	36..495
A0A1V0QSE7	reviewed	Cytochrome P450 monooxyhenase eriA	91752	Hericium erinaceus	527	PF00067	46..485
A0A1V0QSE9	reviewed	Cytochrome P450 monooxyhenase eriI	91752	Hericium erinaceus	552	PF00067	40..523
A0A1V1FNM9	reviewed	Cytochrome P450 monooxygenase oblB	1549217	Emericella variicolor	547	PF00067	91..508
A0A1V1FNZ5	reviewed	Cytochrome P450 monooxygenase oblE	1549217	Emericella variicolor	529	PF00067	69..478
A0A1V6NWJ0	reviewed	Cytochrome P450 monooxygenase verH	60169	Penicillium polonicum	538	PF00067	33..480
A0A1V6PB34	reviewed	Cytochrome P450 monooxygenase calE	69771	Penicillium decumbens	517	PF00067	230..499
A0A1V6PBE7	reviewed	Cytochrome P450 monooxygenase calL	69771	Penicillium decumbens	533	PF00067	240..497
A0A1W5T1T6	reviewed	Cytochrome P450 monooxygenase poxD	69781	Penicillium oxalicum	484	PF00067	36..455
A0A1W5T1U4	reviewed	Cytochrome P450 monooxygenase poxC	69781	Penicillium oxalicum	477	PF00067	63..182,203..450
A0A1W5T1Y6	reviewed	Cytochrome P450 monooxygenase poxM	69781	Penicillium oxalicum	512	PF00067	47..491
A0A1Y0BRF2	reviewed	Cytochrome P450 monooxygenase adrA	5082	Penicillium roqueforti	508	PF00067	140..480
A0A1Y1C7S2	reviewed	Quiannulatic acid synthase	1549217	Emericella variicolor	513	PF00067	90..467
A0A1Z3GBS4	reviewed	Ferruginol synthase	587669	Isodon rubescens	492	PF00067	28..476
A0A286LF02	reviewed	Tryptamine 4-monooxygenase	93625	Psilocybe cyanescens	507	PF00067	29..492
A0A2H3CNS9	reviewed	Cytochrome P450 monooxygenase ARMGADRAFT_1018417	47427	Armillaria gallica	518	PF00067	33..458
A0A2H3CNY6	reviewed	Cytochrome P450 monooxygenase ARMGADRAFT_974139	47427	Armillaria gallica	509	PF00067	32..469
A0A2H3CSA7	reviewed	Cytochrome P450 monooxygenase ARMGADRAFT_1018418	47427	Armillaria gallica	513	PF00067	32..491
A0A2H3CZX2	reviewed	Cytochrome P450 monooxygenase ARMGADRAFT_1018420	47427	Armillaria gallica	521	PF00067	37..467
A0A2H4DGV8	reviewed	Germacrene A acid 8-beta-hydroxylase	1805964	Inula hupehensis	495	PF00067	33..480
A0A2H5AIX6	reviewed	p-coumarate 3-hydroxylase	39639	Narcissus pseudonarcissus	509	PF00067	30..481
A0A2H5AIX7	reviewed	Trans-cinnamate 4-monooxygenase	39639	Narcissus pseudonarcissus	505	PF00067	34..496
A0A2H5AIZ9	reviewed	Noroxomaritidine synthase 2	39639	Narcissus pseudonarcissus	513	PF00067	42..493
A0A2H5AJ00	reviewed	Noroxomaritidine synthase 1	39639	Narcissus pseudonarcissus	513	PF00067	42..493
A0A2I1C3T4	reviewed	Cytochrome P450 monooxygenase nsrP	1392255	Aspergillus novofumigatus (strain IBT 16806)	515	PF00067	85..487
A0A2I6PIZ9	reviewed	Cytochrome P450 monooxygenase nodZ	1243767	Hypoxylon pulicicidum	507	PF00067	306..493
A0A2I6PJ00	reviewed	Cytochrome P450 monooxygenase nodJ	1243767	Hypoxylon pulicicidum	514	PF00067	35..468
A0A2I6PJ08	reviewed	Cytochrome P450 monooxygenase nodW	1243767	Hypoxylon pulicicidum	532	PF00067	158..499
A0A2I6PJ12	reviewed	Cytochrome P450 monooxygenase nodR	1243767	Hypoxylon pulicicidum	511	PF00067	220..498
A0A2K9RG08	reviewed	Labd-13Z-ene-9,15,16-triol synthase, chloroplastic	54477	Vitex agnus-castus	499	PF00067	34..487
A0A2L0P0J8	reviewed	Cytochrome P450 monooxygenase TwmD	28567	Talaromyces wortmannii	512	PF00067	73..489
A0A2P1DP94	reviewed	Cytochrome P450 monooxygenase macC	374132	Penicillium terrestre	536	PF00067	32..479
A0A2P1DPA5	reviewed	Cytochrome P450 monooxygenase macH	374132	Penicillium terrestre	510	PF00067	55..488
A0A2R4SBW0	reviewed	Ganoderic acid synthetase CYP5150L8	5315	Ganoderma lucidum	547	PF00067	35..514
A0A2U8U2M8	reviewed	Cytochrome P450 monooxygenase asR2	2203296	Sarocladium schorii	516	PF00067	51..488
A0A2V5GZ95	reviewed	Cytochrome P450 monooxygenase pyvB	1450538	Aspergillus violaceofuscus (strain CBS 115571)	487	PF00067	64..454
A0A2Z4HPY0	reviewed	Cytochrome P450 monooxygenase efuG	284138	Hormonema carpetanum	563	PF00067	57..549
A0A2Z4HPZ0	reviewed	Cytochrome P450 monooxygenase efuH	284138	Hormonema carpetanum	565	PF00067	154..504
A0A2Z4HPZ7	reviewed	Cytochrome P450 monooxygenase efuB	284138	Hormonema carpetanum	505	PF00067	72..484
A0A2Z5D850	reviewed	6,7,8-trihydroxycoumarin synthase	4041	Pastinaca sativa	504	PF00067	33..494
A0A2Z5D852	reviewed	5-OH-xanthotoxin synthase	4041	Pastinaca sativa	506	PF00067	33..496
A0A2Z5D854	reviewed	Xanthotoxol synthase	4041	Pastinaca sativa	504	PF00067	33..493
A0A2Z5TMB8	reviewed	Cytochrome P450 monooxygenase himC	34381	Aspergillus japonicus	554	PF00067	113..537
A0A2Z6FZ19	reviewed	Cytochrome P450 monooxygenase btcB	1979465	Neocamarosporium betae	528	PF00067	74..510
A0A2Z6FZ20	reviewed	Cytochrome P450 monooxygenase btcC	1979465	Neocamarosporium betae	510	PF00067	46..496
A0A343URW6	reviewed	Tabersonine 6,7-epoxidase isoform 1	4058	Catharanthus roseus	506	PF00067	36..479
A0A343URW7	reviewed	Tabersonine 6,7-epoxidase isoform 2	4058	Catharanthus roseus	515	PF00067	36..487
A0A346B546	reviewed	Cytochrome P450 monooxygenase CYP512U6	5315	Ganoderma lucidum	509	PF00067	65..493
A0A384JQG4	reviewed	Cytochrome P450 monooxygenase aba1	332648	Botryotinia fuckeliana (strain B05.10)	509	PF00067	48..487
A0A384JQH2	reviewed	Cytochrome P450 monooxygenase aba2	332648	Botryotinia fuckeliana (strain B05.10)	527	PF00067	69..489
A0A386KZI3	reviewed	N-geranyl-L-glutamate oxidase	37319	Pseudo-nitzschia multiseries	559	PF00067	133..541
A0A3G9GNK2	reviewed	Cytochrome P450 monooxygenase cdmJ	198730	Talaromyces verruculosus	517	PF00067	227..487
A0A3G9HB50	reviewed	Cytochrome P450 monooxygenase ALT8	5599	Alternaria alternata	599	PF00067	108..580
A0A3G9HRC2	reviewed	Bifunctional cytochrome P450/NADPH--P450 reductase ALT2	5599	Alternaria alternata	1103	PF00067	25..440
A0A3Q7HBJ5	reviewed	Beta-amyrin 28-monooxygenase	4081	Solanum lycopersicum	476	PF00067	31..446
A0A3Q7HS74	reviewed	Beta-amyrin 6-beta-monooxygenase	4081	Solanum lycopersicum	475	PF00067	35..449
A0A3Q9FEJ4	reviewed	Cytochrome P450 monooxygenase astA	28567	Talaromyces wortmannii	493	PF00067	55..468
A0A3Q9R4N5	reviewed	Geranylhydroquinone 3''-hydroxylase CYP76B74	373122	Arnebia euchroma	496	PF00067	28..479
A0A3S5HYN5	reviewed	Cytochrome P450 monooxygenase pvhE	28576	Talaromyces variabilis	539	PF00067	91..497
A0A3S9NM20	reviewed	Cytochrome P450 monooxygenase astB	28567	Talaromyces wortmannii	498	PF00067	59..449
A0A411KUQ5	reviewed	Cytochrome P450 monooxygenase ucsK	2046025	Acremonium sp.	526	PF00067	59..501
A0A411KZY9	reviewed	Cytochrome P450 monooxygenase buaD	2508778	Aspergillus burnettii	539	PF00067	106..512
A0A411KZZ4	reviewed	Cytochrome P450 monooxygenase buaG	2508778	Aspergillus burnettii	503	PF00067	61..481
A0A455LLV8	reviewed	Cytochrome P450 monooxygenase ntnM	1755444	Nectria sp.	516	PF00067	149..489
A0A455LM27	reviewed	Cytochrome P450 monooxygenase atnM	1756131	Arthrinium sp.	480	PF00067	284..459
A0A455R4X0	reviewed	Cytochrome P450 monooxygenase ascG	749675	Acremonium egyptiacum	534	PF00067	257..501
A0A455R5H4	reviewed	Bifunctional cytochrome P450/NADPH--P450 reductase ascE	749675	Acremonium egyptiacum	1064	PF00067	6..454
A0A455R624	reviewed	Cytochrome P450 monooxygenase ascH	749675	Acremonium egyptiacum	512	PF00067	69..489
A0A481NR20	reviewed	Cytochrome P450 72A552	50459	Barbarea vulgaris	513	PF00067	87..487
A0A481WNM6	reviewed	Cytochrome P450 monooxygenase traB	36656	Penicillium crustosum	509	PF00067	64..493
A0A481WPJ6	reviewed	Cytochrome P450 monooxygenase claJ	36656	Penicillium crustosum	438	PF00067	38..410
A0A482NAF7	reviewed	Cytochrome P450 monooxygenase iccC	28576	Talaromyces variabilis	504	PF00067	60..475
A0A482NAL3	reviewed	Cytochrome P450 monooxygenase iccF	28576	Talaromyces variabilis	536	PF00067	182..527
A0A484FVL2	reviewed	Cytochrome P450 monooxygenase btcC	1213857	Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422)	520	PF00067	60..475
A0A484FXR4	reviewed	Cytochrome P450 monooxygenase btcB	1213857	Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422)	534	PF00067	88..511
A0A4D6Q414	reviewed	Flavonoid 3',5'-hydroxylase CYP75B138	1053288	Crocosmia x crocosmiiflora	527	PF00067	38..501
A0A4D6Q415	reviewed	Flavonoid 3'-monooxygenase CYP75B137	1053288	Crocosmia x crocosmiiflora	508	PF00067	34..486
A0A4P8DJC8	reviewed	Cytochrome P450 monooxygenase dmxR5	2572248	Cryptosporiopsis sp. (strain 8999)	508	PF00067	59..500
A0A4P8DJE5	reviewed	Cytochrome P450 monooxygenase dmxL3	2572248	Cryptosporiopsis sp. (strain 8999)	514	PF00067	66..484
A0A4P8GEB4	reviewed	Cytochrome P450 monooxygenase eupD	1707701	Phoma sp.	285	PF00067	48..272
A0A4P8W744	reviewed	Pyrichalasin C-18 hydroxylase	148305	Magnaporthe grisea	535	PF00067	250..523
A0A4V1FW34	reviewed	Pyrichalasin C-7 hydroxylase	148305	Magnaporthe grisea	504	PF00067	231..481
A0A517FNB9	reviewed	Cholesterol 22-monohydroxylase CYP90B52	49666	Paris polyphylla	473	PF00067	32..449
A0A517FNC4	reviewed	Cytochrome P450 CYP72A616	49666	Paris polyphylla	517	PF00067	93..496
A0A517FNC5	reviewed	Cholesterol 16,22-dihydroxylase CYP90G4	49666	Paris polyphylla	485	PF00067	39..462
A0A517FNC6	reviewed	Cholesterol 22-monohydroxylase CYP90B51	78534	Trigonella foenum-graecum	491	PF00067	38..468
A0A517FNC7	reviewed	Cytochrome P450 CYP94D108	49666	Paris polyphylla	497	PF00067	71..479
A0A517FNC9	reviewed	Cytochrome P450 CYP72A613	78534	Trigonella foenum-graecum	525	PF00067	86..501
A0A517FND0	reviewed	Cytochrome P450 CYP94D109	49666	Paris polyphylla	502	PF00067	65..469
A0A517FND1	reviewed	Cytochrome P450 CYP82J17	78534	Trigonella foenum-graecum	523	PF00067	40..504
