Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
14	TR	A0A8J5IJA3	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_000188 PE=4 SV=1	Zingiber officinale	477	892	40.0	61.5	6.8e-112
15	TR	A0A8J5IG05	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_008653 PE=4 SV=1	Zingiber officinale	496	893	38.5	59.5	8.6e-112
16	TR	A0A8J5KYG8	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_043074 PE=4 SV=1	Zingiber officinale	474	879	39.5	61.4	5.5e-110
17	TR	A0A834WWZ7	Putative terpene synthase 2 OS=Senna tora OX=362788 GN=G2W53_008758 PE=4 SV=1	Senna tora	486	880	41.4	59.7	5.6e-110
18	TR	A0A251PN64	Uncharacterized protein OS=Prunus persica OX=3760 GN=PRUPE_4G198000 PE=4 SV=1	Prunus persica	484	878	40.4	60.0	1.1e-109
19	TR	A0A5E4FYD2	PREDICTED: (-)-germacrene D synthase OS=Prunus dulcis OX=3755 GN=ALMOND_2B024324 PE=4 SV=1	Prunus dulcis	484	877	40.4	60.0	1.5e-109
20	TR	A0A8J5HBD6	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_024000 PE=4 SV=1	Zingiber officinale	488	874	41.0	59.6	4.8e-109
21	TR	A0A8J5KT63	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_039025 PE=4 SV=1	Zingiber officinale	474	870	39.5	60.8	1.2e-108
22	TR	A0A8J5GZ52	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_027937 PE=4 SV=1	Zingiber officinale	480	870	40.9	59.7	1.5e-108
23	TR	A0A5D2SZG0	(+)-delta-cadinene synthase OS=Gossypium mustelinum OX=34275 GN=E1A91_D11G326600v1 PE=4 SV=1	Gossypium mustelinum	486	870	39.7	59.0	1.8e-108
24	TR	A0A067D9N6	Uncharacterized protein OS=Citrus sinensis OX=2711 GN=CISIN_1g008206mg PE=4 SV=1	Citrus sinensis	511	872	39.0	62.2	1.9e-108
25	TR	A0A067KMP6	(+)-delta-cadinene synthase OS=Jatropha curcas OX=180498 GN=JCGZ_09953 PE=3 SV=1	Jatropha curcas	510	869	37.4	56.9	5.2e-108
26	TR	A0A8J5H1N5	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_023992 PE=4 SV=1	Zingiber officinale	489	866	40.9	59.1	7.8e-108
27	TR	A0A8X8C0U0	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_059885 PE=4 SV=1	Populus tomentosa	459	861	41.3	58.3	1.7e-107
28	TR	A0A8J5H9I5	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_013742 PE=4 SV=1	Zingiber officinale	511	860	40.5	59.0	1.2e-106
29	TR	A0A8J5G291	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_039443 PE=4 SV=1	Zingiber officinale	474	855	39.5	59.5	2.2e-106
30	TR	A0A2C9UA48	(+)-delta-cadinene synthase OS=Manihot esculenta OX=3983 GN=MANES_16G054700 PE=3 SV=1	Manihot esculenta	464	854	42.3	59.3	2.3e-106
31	TR	A0A8J5L365	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_027943 PE=4 SV=1	Zingiber officinale	582	863	40.9	58.9	3.3e-106
32	TR	A0A8J5HYU5	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_004249 PE=4 SV=1	Zingiber officinale	503	855	36.7	57.7	5.3e-106
33	TR	A0A2H5QJ62	Uncharacterized protein OS=Citrus unshiu OX=55188 GN=CUMW_235110 PE=4 SV=1	Citrus unshiu	562	859	37.8	54.0	7.4e-106
34	TR	A0A8X7Y4F4	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_050596 PE=4 SV=1	Populus tomentosa	542	855	41.0	57.4	1.6e-105
35	TR	A0A5N5HRU3	(-)-germacrene D synthase-like OS=Pyrus ussuriensis x Pyrus communis OX=2448454 GN=D8674_008074 PE=4 SV=1	Pyrus ussuriensis x Pyrus communis	482	848	41.1	61.1	3.1e-105
36	TR	A0A8J5G4J2	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_039446 PE=4 SV=1	Zingiber officinale	474	847	39.7	59.4	3.5e-105
37	TR	A0A8J5GU25	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_027939 PE=4 SV=1	Zingiber officinale	497	848	39.7	58.9	4.9e-105
38	TR	A0A8X7Y3D8	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_050221 PE=4 SV=1	Populus tomentosa	457	844	40.9	58.5	5.8e-105
39	TR	A0A8X9A4L3	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_112454 PE=4 SV=1	Salvia splendens	476	844	37.6	59.3	1e-104
40	TR	A0A8M8VCE0	Beta-caryophyllene synthase-like isoform X2 OS=Sesamum indicum OX=4182 GN=LOC105175139 PE=4 SV=1	Sesamum indicum	479	843	37.9	60.8	1.6e-104
41	TR	A0A1S3ZM31	(E,E)-germacrene B synthase-like isoform X2 OS=Nicotiana tabacum OX=4097 GN=LOC107788173 PE=4 SV=1	Nicotiana tabacum	525	845	39.5	58.9	3.1e-104
42	TR	A0A8X7YBD2	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_050215 PE=4 SV=1	Populus tomentosa	456	836	40.5	57.8	9e-104
43	TR	A0A8X7Y8G8	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_050597 PE=4 SV=1	Populus tomentosa	451	834	40.3	56.1	1.5e-103
44	TR	A0A8X8YU55	(-)-germacrene D synthase OS=Salvia splendens OX=180675 GN=SASPL_101075 PE=4 SV=1	Salvia splendens	432	829	41.0	61.1	4.8e-103
45	TR	A0A8J5G7N5	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_039432 PE=4 SV=1	Zingiber officinale	762	854	39.9	59.7	7.2e-103
46	TR	A0A6A2ZRA3	(+)-delta-cadinene synthase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00110812pilonHSYRG00065 PE=4 SV=1	Hibiscus syriacus	507	834	38.0	56.1	8.2e-103
47	TR	A0A8X8Y487	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_113744 PE=4 SV=1	Salvia splendens	477	831	38.6	60.1	9.5e-103
48	TR	A0A8J5FZH1	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_043553 PE=4 SV=1	Zingiber officinale	474	830	39.3	59.0	1.2e-102
49	TR	A0A8J5GZR6	Sesquiterpene synthase OS=Zingiber officinale OX=94328 GN=ZIOFF_023989 PE=4 SV=1	Zingiber officinale	489	831	39.2	58.4	1.4e-102
50	TR	A0A067KS26	Uncharacterized protein OS=Jatropha curcas OX=180498 GN=JCGZ_00783 PE=3 SV=1	Jatropha curcas	893	860	42.9	59.8	1.6e-102
51	TR	A0A8J5KW55	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_043256 PE=4 SV=1	Zingiber officinale	436	824	41.2	60.8	3.1e-102
52	TR	A0A8J5EMJ8	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_075799 PE=4 SV=1	Zingiber officinale	474	827	39.3	59.0	3.4e-102
53	TR	A0A251PN82	Uncharacterized protein OS=Prunus persica OX=3760 GN=PRUPE_4G199200 PE=4 SV=1	Prunus persica	488	828	39.7	59.5	3.7e-102
54	TR	A0A6J1CP21	Valencene synthase-like isoform X2 OS=Momordica charantia OX=3673 GN=LOC111013401 PE=4 SV=1	Momordica charantia	480	827	38.7	58.6	4.1e-102
55	TR	A0A8J5GAY2	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_039194 PE=4 SV=1	Zingiber officinale	440	823	41.2	60.4	4.9e-102
56	TR	A0A8J5G391	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_039440 PE=4 SV=1	Zingiber officinale	475	826	39.0	59.7	5e-102
57	TR	A0A8J5KPR9	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_043252 PE=4 SV=1	Zingiber officinale	436	822	41.2	60.6	6.1e-102
58	TR	A0A8J5FWZ4	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_043260 PE=4 SV=1	Zingiber officinale	436	821	41.2	60.6	8.6e-102
59	TR	A0A394CZD6	Terpene synthase N-terminal domain-containing protein OS=Lupinus angustifolius OX=3871 GN=TanjilG_00073 PE=4 SV=1	Lupinus angustifolius	443	817	39.4	61.0	4.2e-101
60	TR	A0A8X8WAH2	Vetispiradiene synthase OS=Salvia splendens OX=180675 GN=SASPL_149051 PE=4 SV=1	Salvia splendens	478	820	37.1	60.8	4.3e-101
61	TR	A0A8X8Z2J8	Vetispiradiene synthase OS=Salvia splendens OX=180675 GN=SASPL_151002 PE=4 SV=1	Salvia splendens	477	817	37.6	59.5	1.2e-100
62	TR	A0A8J5G0K6	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_043545 PE=4 SV=1	Zingiber officinale	475	816	38.6	58.9	1.6e-100
63	TR	A0A4U5Q9R9	Terpene synthase OS=Populus alba OX=43335 GN=D5086_0000121540 PE=4 SV=1	Populus alba	477	813	39.0	57.8	4.7e-100
64	TR	A0A8J5LDI9	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_027945 PE=4 SV=1	Zingiber officinale	477	809	42.3	60.0	1.9e-99
65	TR	A0A6J1CR35	(-)-germacrene D synthase-like isoform X2 OS=Momordica charantia OX=3673 GN=LOC111013402 PE=4 SV=1	Momordica charantia	486	809	37.4	59.0	2.4e-99
66	TR	A0A8X8YDX5	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_112461 PE=4 SV=1	Salvia splendens	691	825	36.0	58.5	2.5e-99
67	TR	A0A8X8WG32	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_147685 PE=4 SV=1	Salvia splendens	477	808	37.9	57.8	2.6e-99
68	TR	A0A2H5QJ88	Uncharacterized protein OS=Citrus unshiu OX=55188 GN=CUMW_235100 PE=4 SV=1	Citrus unshiu	563	808	36.0	53.1	3.1e-98
69	TR	A0A8J4VQ39	Uncharacterized protein OS=Castanea mollissima OX=60419 GN=CMV_017945 PE=4 SV=1	Castanea mollissima	467	798	39.7	57.5	6.1e-98
70	TR	A0A8J5B9F5	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_075090 PE=4 SV=1	Zingiber officinale	481	799	38.2	57.4	6.5e-98
71	TR	A0A1U8J407	(+)-delta-cadinene synthase OS=Gossypium hirsutum OX=3635 GN=LOC107903509 PE=4 SV=1	Gossypium hirsutum	481	797	36.2	56.1	1.3e-97
72	TR	A0A1S4CIV4	Probable terpene synthase 3 OS=Nicotiana tabacum OX=4097 GN=LOC107819330 PE=4 SV=1	Nicotiana tabacum	488	796	37.8	56.7	2.3e-97
73	TR	A0A2G2XEK5	Uncharacterized protein OS=Capsicum baccatum OX=33114 GN=CQW23_04257 PE=4 SV=1	Capsicum baccatum	459	793	41.1	60.2	2.7e-97
74	TR	A0A8X8Y037	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_113747 PE=4 SV=1	Salvia splendens	444	791	40.0	61.4	3.4e-97
75	TR	A0A5J5A0D8	Valerianol synthase OS=Nyssa sinensis OX=561372 GN=F0562_010192 PE=4 SV=1	Nyssa sinensis	550	795	36.9	54.9	1.8e-96
76	TR	A0A6J1CR31	(-)-germacrene D synthase-like isoform X2 OS=Momordica charantia OX=3673 GN=LOC111013399 PE=4 SV=1	Momordica charantia	486	788	36.8	57.5	3.3e-96
77	TR	A0A199VU40	Alpha-humulene synthase OS=Ananas comosus OX=4615 GN=ACMD2_23405 PE=4 SV=1	Ananas comosus	430	783	40.3	59.2	3.5e-96
78	TR	D7TLC9	Valencene synthase OS=Vitis vinifera OX=29760 GN=VIT_18s0001g05240 PE=4 SV=1	Vitis vinifera	561	792	34.7	53.4	7e-96
79	TR	A0A6J1DIG3	(+)-gamma-cadinene synthase-like OS=Momordica charantia OX=3673 GN=LOC111021378 PE=4 SV=1	Momordica charantia	494	785	37.8	58.7	1.2e-95
80	TR	A0A5D2V7D0	(+)-delta-cadinene synthase OS=Gossypium mustelinum OX=34275 GN=E1A91_D05G414600v1 PE=4 SV=1	Gossypium mustelinum	481	782	35.8	55.7	2.3e-95
81	TR	A0A199VM96	Alpha-humulene synthase (Fragment) OS=Ananas comosus OX=4615 GN=ACMD2_24128 PE=4 SV=1	Ananas comosus	422	774	39.9	59.2	6.1e-95
82	TR	A0A2P5Y8X3	(+)-delta-cadinene synthase OS=Gossypium barbadense OX=3634 GN=GOBAR_AA08616 PE=4 SV=1	Gossypium barbadense	463	777	37.5	56.1	7.5e-95
83	TR	A0A7J0DYF4	Terpenoid cyclases/Protein prenyltransferases superfamily protein OS=Actinidia rufa OX=165716 GN=Acr_00g0091610 PE=4 SV=1	Actinidia rufa	425	771	40.2	60.0	1.9e-94
84	TR	A0A8X8WIB0	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_145901 PE=4 SV=1	Salvia splendens	456	769	36.4	57.2	9.5e-94
85	TR	A0A1U7VK61	(-)-germacrene D synthase-like isoform X2 OS=Nicotiana sylvestris OX=4096 GN=LOC104219427 PE=4 SV=1	Nicotiana sylvestris	513	772	36.7	54.2	1.8e-93
86	TR	A0A1S4DBI2	(-)-germacrene D synthase-like isoform X2 OS=Nicotiana tabacum OX=4097 GN=LOC107828058 PE=4 SV=1	Nicotiana tabacum	513	772	36.7	54.2	1.8e-93
87	TR	A0A7J0D9D1	Terpenoid cyclases/Protein prenyltransferases superfamily protein OS=Actinidia rufa OX=165716 GN=Acr_00g0006020 PE=4 SV=1	Actinidia rufa	465	765	39.6	56.6	4.9e-93
88	TR	A0A2P6QBW7	Germacrene d synthase OS=Rosa chinensis OX=74649 GN=RchiOBHm_Chr5g0038101 PE=2 SV=1	Rosa chinensis	565	772	36.2	51.2	7.3e-93
89	TR	A0A8X7Y8S2	DhaK domain-containing protein OS=Populus tomentosa OX=118781 GN=POTOM_050213 PE=4 SV=1	Populus tomentosa	496	766	40.2	57.6	8.5e-93
90	TR	A0A067FTE8	Uncharacterized protein OS=Citrus sinensis OX=2711 GN=CISIN_1g044370mg PE=4 SV=1	Citrus sinensis	554	765	35.0	51.5	6e-92
91	TR	A0A8X8WHB0	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_145906 PE=4 SV=1	Salvia splendens	471	758	36.4	57.0	6.5e-92
92	TR	A0A6A2YAC8	(+)-delta-cadinene synthase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00111754pilonHSYRG00003 PE=4 SV=1	Hibiscus syriacus	474	757	38.0	58.1	1e-91
93	TR	A0A8J5G4T6	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_039441 PE=4 SV=1	Zingiber officinale	441	749	40.8	59.5	5.9e-91
94	TR	A0A368UHD3	Terpene synthase N-terminal domain-containing protein OS=Glycine max OX=3847 GN=GLYMA_12G138800 PE=4 SV=1	Glycine max	488	751	36.7	56.8	1.2e-90
95	TR	A0A8J5CPV7	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_075802 PE=4 SV=1	Zingiber officinale	449	747	36.5	55.0	1.5e-90
96	TR	A0A5J5A1V3	Valerianol synthase OS=Nyssa sinensis OX=561372 GN=F0562_010185 PE=4 SV=1	Nyssa sinensis	550	752	36.4	52.9	4.6e-90
97	TR	A0A3Q0ENR5	(-)-germacrene D synthase-like isoform X2 OS=Vigna radiata var. radiata OX=3916 GN=LOC106778773 PE=4 SV=1	Vigna radiata var. radiata	483	746	35.9	58.0	5.6e-90
98	TR	A0A8T1P808	(-)-germacrene D synthase-like OS=Carya illinoinensis OX=32201 GN=CIPAW_11G181000 PE=4 SV=1	Carya illinoinensis	517	748	36.0	52.3	7.3e-90
99	TR	A0A4S8IV27	Terpene synthase N-terminal domain-containing protein OS=Musa balbisiana OX=52838 GN=C4D60_Mb10t00800 PE=4 SV=1	Musa balbisiana	471	744	36.2	57.5	7.9e-90
100	TR	A0A2R6QDS9	(-)-germacrene D synthase OS=Actinidia chinensis var. chinensis OX=1590841 GN=CEY00_Acc19469 PE=4 SV=1	Actinidia chinensis var. chinensis	510	745	35.7	52.4	1.7e-89
101	TR	M1DKK8	(-)-germacrene D synthase OS=Solanum tuberosum OX=4113 PE=4 SV=1	Solanum tuberosum	428	738	39.5	57.4	1.8e-89
102	TR	A0A8J4Q4W3	Uncharacterized protein OS=Castanea mollissima OX=60419 GN=CMV_029611 PE=4 SV=1	Castanea mollissima	555	748	34.4	52.5	2e-89
103	TR	A0A2H5QKQ7	Uncharacterized protein OS=Citrus unshiu OX=55188 GN=CUMW_239410 PE=4 SV=1	Citrus unshiu	562	746	34.7	51.4	4.9e-89
104	TR	A0A8J5KU20	Uncharacterized protein OS=Zingiber officinale OX=94328 GN=ZIOFF_043540 PE=4 SV=1	Zingiber officinale	463	738	40.0	59.8	4.9e-89
105	TR	A0A5B6U4T7	(+)-delta-cadinene synthase OS=Gossypium australe OX=47621 GN=EPI10_009073 PE=4 SV=1	Gossypium australe	457	737	35.6	54.0	5.9e-89
106	TR	A0A7J6FNR5	Uncharacterized protein (Fragment) OS=Cannabis sativa OX=3483 GN=G4B88_007049 PE=4 SV=1	Cannabis sativa	456	735	36.6	57.5	1.1e-88
107	TR	A0A8J4QPE8	Uncharacterized protein OS=Castanea mollissima OX=60419 GN=CMV_023479 PE=4 SV=1	Castanea mollissima	555	741	34.1	52.3	2.2e-88
108	TR	A0A8J4QA86	(-)-germacrene D synthase OS=Castanea mollissima OX=60419 GN=CMV_027368 PE=4 SV=1	Castanea mollissima	586	743	34.4	52.1	2.5e-88
109	TR	A0A368UHD4	Terpene synthase N-terminal domain-containing protein OS=Glycine max OX=3847 GN=GLYMA_12G138800 PE=4 SV=1	Glycine max	500	734	35.4	55.9	5.5e-88
110	TR	A0A2P5C4P3	Squalene/phytoene synthase OS=Trema orientale OX=63057 GN=TorRG33x02_298190 PE=4 SV=1	Trema orientale	530	729	34.1	52.8	6.9e-87
111	TR	A0A2R6QWX2	(-)-germacrene D synthase OS=Actinidia chinensis var. chinensis OX=1590841 GN=CEY00_Acc13742 PE=4 SV=1	Actinidia chinensis var. chinensis	561	729	35.0	51.6	1.6e-86
112	TR	A0A8K0HJV3	Uncharacterized protein OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR03989 PE=4 SV=1	Rhamnella rubrinervis	637	733	37.1	53.8	2.6e-86
113	TR	A0A4U5PZF0	(-)-germacrene D synthase OS=Populus alba OX=43335 GN=D5086_0000163360 PE=4 SV=1	Populus alba	561	727	33.6	50.6	3.1e-86
114	TR	A0A2P5YTQ0	(+)-delta-cadinene synthase OS=Gossypium barbadense OX=3634 GN=GOBAR_AA01626 PE=4 SV=1	Gossypium barbadense	501	721	36.9	52.1	4.9e-86
115	TR	A0A4U5NNE0	(-)-germacrene D synthase OS=Populus alba OX=43335 GN=D5086_0000258980 PE=4 SV=1	Populus alba	561	725	33.7	50.5	6.1e-86
116	TR	A0A7N2N753	Uncharacterized protein OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	552	722	34.0	51.4	1.3e-85
117	TR	A0A3S3NAB6	Terpene synthase 1 OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_01723300 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	376	707	43.2	60.5	1.6e-85
118	TR	A0A8X8Z8S6	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_145905 PE=4 SV=1	Salvia splendens	417	710	37.6	57.4	1.9e-85
119	TR	A0A7N2LUV5	Uncharacterized protein OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	552	720	34.0	51.2	2.7e-85
120	TR	A0A7N2R8W7	Uncharacterized protein OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	573	720	33.6	51.3	4.6e-85
121	TR	A0A7N2M912	Uncharacterized protein OS=Quercus lobata OX=97700 PE=4 SV=1	Quercus lobata	552	717	34.2	51.7	7.4e-85
122	SP	B5A435	Sesquiterpene synthase OS=Santalum album OX=35974 PE=1 SV=1	Santalum album	559	711	33.6	51.4	6.8e-84
123	TR	U5GUD6	Terpene synthase OS=Populus trichocarpa OX=3694 GN=POPTR_001G415100 PE=4 SV=1	Populus trichocarpa	561	710	33.5	50.3	1e-83
124	TR	A0A067EET2	Uncharacterized protein OS=Citrus sinensis OX=2711 GN=CISIN_1g008620mg PE=4 SV=1	Citrus sinensis	559	709	34.1	51.2	1.4e-83
125	TR	A0A843XG03	Uncharacterized protein OS=Colocasia esculenta OX=4460 GN=Taro_051179 PE=4 SV=1	Colocasia esculenta	1376	740	38.4	60.4	5.6e-83
126	TR	A0A978UN89	Terpene synthase 10-like OS=Ziziphus jujuba var. spinosa OX=714518 GN=FEM48_Zijuj10G0119700 PE=4 SV=1	Ziziphus jujuba var. spinosa	520	701	36.0	56.5	7.5e-83
127	TR	A0A4U6T5Y3	Terpene synthase OS=Setaria viridis OX=4556 GN=SEVIR_9G408900v2 PE=4 SV=1	Setaria viridis	470	697	33.7	55.1	7.6e-83
128	TR	A0A2H5QKR2	Uncharacterized protein (Fragment) OS=Citrus unshiu OX=55188 GN=CUMW_239410 PE=4 SV=1	Citrus unshiu	525	699	35.1	51.4	1.7e-82
129	TR	A0A5C7ID84	(+)-delta-cadinene synthase OS=Acer yangbiense OX=1000413 GN=EZV62_008595 PE=4 SV=1	Acer yangbiense	569	701	34.5	50.1	2.6e-82
130	TR	A0A2H5PLT0	Uncharacterized protein OS=Citrus unshiu OX=55188 GN=CUMW_148370 PE=4 SV=1	Citrus unshiu	559	698	33.5	50.8	5.7e-82
131	TR	A0A2U1LVM4	Terpene synthase, metal-binding domain-containing protein OS=Artemisia annua OX=35608 GN=CTI12_AA449000 PE=4 SV=1	Artemisia annua	698	707	35.5	56.8	6.8e-82
132	SP	F6M8H7	Probable sesquiterpene synthase OS=Santalum murrayanum OX=453085 GN=STPS PE=3 SV=1	Santalum murrayanum	562	697	33.3	49.6	8.6e-82
133	TR	A0A1R3IM35	(+)-delta-cadinene synthase OS=Corchorus olitorius OX=93759 GN=COLO4_22399 PE=4 SV=1	Corchorus olitorius	488	689	35.1	55.6	1.9e-81
134	TR	A0A6A2YLV6	(+)-delta-cadinene synthase OS=Hibiscus syriacus OX=106335 GN=F3Y22_tig00111392pilonHSYRG00618 PE=4 SV=1	Hibiscus syriacus	441	684	36.0	54.2	2.9e-81
135	TR	A0A103XRG2	Terpene synthase, metal-binding domain-containing protein OS=Cynara cardunculus var. scolymus OX=59895 GN=Ccrd_002378 PE=4 SV=1	Cynara cardunculus var. scolymus	482	685	36.3	56.2	6.4e-81
136	TR	A0A4S4EH20	Uncharacterized protein OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_029004 PE=4 SV=1	Camellia sinensis var. sinensis	567	691	32.8	50.0	7.5e-81
137	TR	A0A8J4RD07	Uncharacterized protein OS=Castanea mollissima OX=60419 GN=CMV_010239 PE=4 SV=1	Castanea mollissima	587	692	34.1	51.2	8.7e-81
138	TR	A0A8X8WFK2	Viridiflorene synthase OS=Salvia splendens OX=180675 GN=SASPL_147680 PE=4 SV=1	Salvia splendens	667	697	37.5	57.2	1e-80
139	TR	A0A0Q3KNZ3	Terpene synthase OS=Brachypodium distachyon OX=15368 GN=100827547 PE=4 SV=1	Brachypodium distachyon	526	687	35.1	53.8	1e-80
140	TR	A0A8K0INV4	Putative 5-epi-aristolochene synthase (Fragment) OS=Cocos nucifera OX=13894 GN=COCNU_11G002470 PE=4 SV=1	Cocos nucifera	559	689	43.7	63.9	1.2e-80
141	TR	A0A8X7Y956	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_049106 PE=4 SV=1	Populus tomentosa	409	677	35.3	51.1	1.3e-80
142	SP	G5CV52	Terpene synthase 17 OS=Solanum lycopersicum OX=4081 GN=TPS17 PE=1 SV=1	Solanum lycopersicum	554	688	32.4	51.6	1.5e-80
143	TR	A0A8J4Q9W5	(+)-delta-cadinene synthase OS=Castanea mollissima OX=60419 GN=CMV_027368 PE=4 SV=1	Castanea mollissima	532	686	32.8	49.8	1.7e-80
144	TR	A0A7J7HC47	Valerianol synthase OS=Camellia sinensis OX=4442 GN=HYC85_012100 PE=4 SV=1	Camellia sinensis	513	681	34.2	54.2	5.7e-80
145	TR	A0A8X8WPD8	Uncharacterized protein OS=Salvia splendens OX=180675 GN=SASPL_139266 PE=4 SV=1	Salvia splendens	465	677	37.0	56.5	6.2e-80
146	TR	A0A8J4VDG4	(+)-delta-cadinene synthase OS=Castanea mollissima OX=60419 GN=CMV_023479 PE=4 SV=1	Castanea mollissima	532	681	32.3	50.0	9.3e-80
